mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58357.48,3.42e-17,5.97e-18,3.6975e-17,1.9646111111111105e-18
58361.34,3.69e-17,3.32e-18,3.686833333333334e-17,2.0677499999999993e-18
58361.35,3.9e-17,3.69e-18,3.6819999999999994e-17,2.095777777777777e-18
58362.39,3.41e-17,2.24e-18,3.6704999999999997e-17,2.1899166666666658e-18
58362.41,3.59e-17,2.3e-18,3.6708333333333334e-17,2.1871111111111102e-18
58363.42,4.02e-17,2.84e-18,3.661e-17,2.283027777777777e-18
58363.45,3.96e-17,1.79e-18,3.642666666666667e-17,2.4724999999999994e-18
58364.36,3.74e-17,1.61e-18,3.632e-17,2.580583333333333e-18
58365.36,3.75e-17,1.66e-18,3.626e-17,2.5551666666666662e-18
58366.37,3.43e-17,8.65e-19,3.615833333333333e-17,2.4624999999999998e-18
58367.37,3.73e-17,1.195e-18,3.6025000000000004e-17,2.406944444444444e-18
58368.35,3.52e-17,1.05e-18,3.584333333333333e-17,2.3867777777777777e-18
58369.42,3.68e-17,1.49e-18,3.5886666666666665e-17,2.3484444444444446e-18
58370.4,3.635e-17,1.385e-18,3.6036666666666665e-17,2.4974444444444447e-18
58371.4,3.7e-17,4.79e-19,3.6036666666666665e-17,2.488777777777778e-18
58372.36,3.15e-17,1.37e-18,3.601333333333333e-17,2.4563333333333337e-18
58373.33,3.495e-17,1.435e-18,3.608166666666667e-17,2.4152777777777783e-18
58374.34,3.31e-17,1.38e-18,3.622833333333333e-17,2.5166111111111114e-18
58375.36,3.32e-17,1.42e-18,3.6328333333333335e-17,2.5618333333333332e-18
58376.36,3.355e-17,8.625e-19,3.6608333333333336e-17,2.5990000000000006e-18
58377.42,3.11e-17,1.65e-18,3.6861666666666665e-17,2.7191666666666674e-18
58378.38,3.22e-17,1.13e-18,3.6831666666666674e-17,2.5997777777777784e-18
58379.39,3.63e-17,1.19e-18,3.667166666666666e-17,2.663055555555556e-18
58379.4,3.69e-17,8.31e-19,3.674666666666666e-17,2.637777777777778e-18
58380.32,3.58e-17,2.12e-18,3.6850000000000003e-17,2.608222222222223e-18
58382.33,3.465e-17,3.125e-18,3.7073333333333335e-17,2.568944444444445e-18
58383.34,3.01e-17,3.98e-18,3.725833333333334e-17,2.597777777777778e-18
