mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58375.42,5.29e-17,3.28e-18,5.4058333333333335e-17,3.560222222222222e-18
58376.33,5.75e-17,3.0249999999999997e-18,5.4195e-17,3.586722222222224e-18
58377.36,4.94e-17,3.04e-18,5.446833333333333e-17,3.6024444444444446e-18
58378.34,5.87e-17,3.26e-18,5.5108333333333335e-17,3.796166666666666e-18
58379.36,4.9800000000000003e-17,3.145e-18,5.5108333333333335e-17,4.0662222222222226e-18
58380.36,5.18e-17,3.53e-18,5.5155e-17,3.8399444444444435e-18
58382.39,5.72e-17,6.38e-18,5.5565e-17,3.698222222222223e-18
58382.4,5.86e-17,6.01e-18,5.581833333333334e-17,3.738388888888889e-18
58383.42,6.11e-17,9.6e-18,5.5875e-17,3.981e-18
58388.37,6.71e-17,1.3e-17,5.615e-17,4.0098333333333335e-18
58389.34,5.66e-17,9.2e-18,5.615e-17,4.326777777777779e-18
58389.39,5.2e-17,7.88e-18,5.627e-17,4.534722222222223e-18
58390.34,5.68e-17,6.67e-18,5.625e-17,4.911777777777778e-18
58390.35,4.56e-17,5.82e-18,5.632333333333333e-17,4.9217222222222216e-18
58397.34,5.88e-17,3.045e-18,5.667833333333334e-17,4.905555555555555e-18
58423.24,5.52e-17,3.785e-18,5.713166666666668e-17,4.9357222222222224e-18
58424.2,6.65e-17,1.33e-17,5.7675e-17,4.909222222222223e-18
58425.19,6.68e-17,7.47e-18,5.830166666666667e-17,5.023277777777778e-18
58426.23,5.06e-17,4.49e-18,5.890833333333333e-17,4.929e-18
58428.21,6.17e-17,3.67e-18,5.966166666666667e-17,5.1825e-18
58429.23,5.66e-17,3.115e-18,5.996166666666667e-17,5.407111111111112e-18
58430.25,5.71e-17,2.87e-18,6.101166666666668e-17,5.703611111111112e-18
58434.25,5.28e-17,6.08e-18,6.1505e-17,5.650777777777779e-18
58435.21,6.024999999999999e-17,5.7750000000000005e-18,6.202166666666667e-17,5.6055000000000015e-18
58436.21,5.21e-17,6.38e-18,6.279e-17,5.784666666666667e-18
58436.22,5.46e-17,6.78e-18,6.358666666666665e-17,5.9718333333333336e-18
