mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58382.44,4.1e-17,2.93e-18,3.905e-17,3.2323333333333332e-18
58383.44,3.82e-17,5.11e-18,3.9013333333333335e-17,3.2740555555555558e-18
58390.38,4.47e-17,7.97e-18,3.8930000000000005e-17,3.3419444444444447e-18
58397.38,3.99e-17,3.04e-18,3.8588333333333333e-17,3.3160555555555556e-18
58425.34,3.47e-17,3.37e-18,3.8449999999999995e-17,3.4188333333333334e-18
58428.29,4.28e-17,2.9e-18,3.838e-17,3.3951111111111114e-18
58430.31,3.39e-17,2.92e-18,3.830666666666667e-17,3.378277777777778e-18
58434.28,3.78e-17,4.86e-18,3.810166666666667e-17,3.5269444444444445e-18
58436.24,4.63e-17,6.5e-18,3.830833333333333e-17,3.776055555555555e-18
58437.25,3.02e-17,6e-18,3.8054999999999997e-17,3.596833333333333e-18
58469.17,4.4e-17,8.47e-18,3.8121666666666666e-17,3.679833333333333e-18
58483.16,3.645e-17,4.235e-18,3.838166666666667e-17,3.992611111111111e-18
58487.17,3.28e-17,2.91e-18,3.844833333333333e-17,4.105388888888889e-18
58490.12,3.15e-17,4.62e-18,3.8578333333333334e-17,4.059277777777778e-18
58491.16,3.36e-17,4.15e-18,3.8451666666666664e-17,4.142277777777778e-18
58493.19,3.615e-17,4.33e-18,3.8288333333333333e-17,4.003277777777778e-18
58495.19,3.54e-17,6.08e-18,3.808333333333333e-17,4.052055555555555e-18
58507.17,3.365e-17,4.625e-18,3.8106666666666673e-17,4.041777777777778e-18
58509.15,3.42e-17,6.67e-18,3.7686666666666665e-17,4.063944444444445e-18
58514.17,4.06e-17,3.92e-18,3.769166666666667e-17,4.0660000000000006e-18
58514.19,3.75e-17,6.57e-18,3.769166666666667e-17,4.092333333333334e-18
58539.13,3.21e-17,6.01e-18,3.748666666666666e-17,4.034222222222223e-18
58539.15,4.59e-17,7.42e-18,3.7676666666666666e-17,3.902777777777778e-18
58691.48,3.72e-17,6.14e-18,3.764e-17,3.983944444444445e-18
58693.45,4.06e-17,3.77e-18,3.7405e-17,3.7196666666666676e-18
58694.48,5.08e-17,3.06e-18,3.7438333333333336e-17,3.723833333333334e-18
58695.44,4.16e-17,3.89e-18,3.7945e-17,4.199222222222223e-18
58695.45,3.99e-17,3.88e-18,3.800333333333333e-17,4.148333333333334e-18
58696.45,3.55e-17,3.62e-18,3.816666666666667e-17,3.988555555555556e-18
58697.49,3.97e-17,3.53e-18,3.825e-17,3.90188888888889e-18
58698.46,3.485e-17,3.525e-18,3.8263333333333335e-17,3.892666666666667e-18
58699.47,3.89e-17,3.14e-18,3.8395e-17,3.8775555555555564e-18
58700.49,3.21e-17,3.75e-18,3.8535e-17,3.8125555555555564e-18
58701.46,4.0050000000000005e-17,3.7299999999999994e-18,3.867666666666667e-17,3.68988888888889e-18
58703.49,3.47e-17,4.34e-18,3.9240000000000004e-17,3.971555555555557e-18
58704.46,3.665e-17,4.005e-18,3.932666666666667e-17,4.015111111111112e-18
58705.5,3.96e-17,4.1e-18,3.913666666666666e-17,4.255111111111112e-18
58706.47,3.67e-17,3.59e-18,3.943666666666666e-17,4.144666666666668e-18
58707.44,3.9249999999999997e-17,3.46e-18,3.9186666666666665e-17,3.887777777777779e-18
58708.48,3.12e-17,2.99e-18,3.9179999999999996e-17,3.9391111111111125e-18
58722.44,3.82e-17,3.22e-18,3.8604999999999994e-17,3.5342222222222234e-18
58725.46,3.77e-17,3.16e-18,3.8555e-17,3.454722222222224e-18
58732.42,3.4e-17,3.03e-18,3.8478333333333336e-17,3.4357222222222235e-18
58734.48,3.4e-17,4.09e-18,3.8575000000000003e-17,3.3666111111111127e-18
58734.5,4.01e-17,3.8e-18,3.8415e-17,3.461500000000001e-18
58735.44,3.96e-17,4.07e-18,3.8866666666666666e-17,3.631277777777779e-18
58738.46,3.79e-17,7.46e-18,3.8676666666666663e-17,3.8350000000000015e-18
58746.44,5.11e-17,8.84e-18,3.9163333333333335e-17,3.852055555555557e-18
58746.46,4.32e-17,8.16e-18,3.8984999999999994e-17,3.969277777777779e-18
58749.36,3.18e-17,4.78e-18,3.919166666666667e-17,3.881500000000001e-18
58749.38,4.1100000000000005e-17,3.64e-18,3.9026666666666665e-17,4.0380555555555565e-18
58757.42,3.84e-17,4.28e-18,3.891666666666666e-17,4.1183888888888895e-18
58758.44,3.7e-17,4.47e-18,3.898e-17,4.043722222222223e-18
58760.38,3.7e-17,4.19e-18,3.9031666666666665e-17,4.091722222222223e-18
58760.45,3.715e-17,5.725e-18,3.952833333333333e-17,4.047500000000001e-18
58763.41,4.01e-17,4.05e-18,3.8829999999999994e-17,3.4127222222222233e-18
58764.35,3.76e-17,4.565e-18,3.892666666666667e-17,3.4520555555555563e-18
58766.42,3.84e-17,6.91e-18,3.899333333333333e-17,3.428944444444446e-18
58781.39,3.49e-17,5.7e-18,3.919666666666667e-17,3.2910555555555573e-18
58787.36,4.84e-17,8.26e-18,3.9893333333333337e-17,3.65138888888889e-18
58789.35,3.32e-17,5.27e-18,3.981666666666667e-17,3.649722222222223e-18
58790.29,4.67e-17,4.41e-18,3.9753333333333336e-17,3.664777777777779e-18
58806.34,3.47e-17,6.45e-18,3.959e-17,3.836833333333334e-18
58811.21,4.09e-17,5.29e-18,3.899333333333333e-17,3.616555555555556e-18
58833.18,3.17e-17,5.47e-18,3.907333333333333e-17,3.707777777777778e-18
58836.13,3.63e-17,4.7e-18,3.9173333333333334e-17,3.582333333333333e-18
58850.17,3.86e-17,6.38e-18,3.9096666666666666e-17,3.515055555555556e-18
58862.14,4.08e-17,3.86e-18,3.929666666666667e-17,3.685666666666666e-18
58863.27,4.61e-17,6.96e-18,3.944666666666667e-17,3.7083888888888886e-18
58871.15,3.825e-17,5.46e-18,3.934666666666667e-17,3.799166666666666e-18
58874.17,4.11e-17,5.58e-18,3.9515e-17,3.846833333333332e-18
58875.16,3.97e-17,4.09e-18,3.953833333333333e-17,3.888944444444444e-18
58876.15,4.01e-17,3.57e-18,3.975833333333333e-17,4.0544999999999995e-18
58885.12,5.49e-17,9.84e-18,3.9515e-17,4.265166666666666e-18
58891.15,3.78e-17,5.85e-18,3.9435e-17,4.3020555555555545e-18
58891.16,3.77e-17,5.74e-18,3.8885e-17,4.209944444444444e-18
58892.16,3.3e-17,5.62e-18,3.893833333333333e-17,4.081277777777778e-18
58893.15,3.32e-17,5.08e-18,3.852833333333333e-17,3.951388888888889e-18
58894.15,4.56e-17,5.13e-18,3.864833333333334e-17,3.808388888888888e-18
58894.17,3.48e-17,5.84e-18,3.8428333333333334e-17,3.859611111111111e-18
58895.14,3.88e-17,6.29e-18,3.8745e-17,3.743944444444444e-18
58896.19,4.44e-17,6.99e-18,3.8765000000000006e-17,3.666611111111111e-18
58898.17,4.15e-17,6.34e-18,3.883833333333333e-17,3.7687222222222224e-18
58899.15,3.4e-17,5.51e-18,3.8754999999999994e-17,3.764333333333333e-18
58900.14,4.22e-17,7.09e-18,3.839166666666667e-17,3.581722222222222e-18
59052.47,4.08e-17,3.71e-18,3.826666666666667e-17,3.606555555555555e-18
59053.43,4.42e-17,4.16e-18,3.7906666666666665e-17,3.751888888888888e-18
59054.48,3.11e-17,3.92e-18,3.801333333333333e-17,3.970333333333332e-18
59055.43,3.25e-17,4.51e-18,3.7903333333333334e-17,3.979111111111111e-18
59056.45,3.19e-17,4.21e-18,3.764333333333334e-17,3.819666666666666e-18
59057.42,3.48e-17,4.85e-18,3.755666666666667e-17,3.814777777777777e-18
59059.42,3.44e-17,4.51e-18,3.7450000000000003e-17,3.860999999999999e-18
