mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58426.21,1.71e-16,7.16e-18,2.2183333333333332e-16,5.0399444444444447e-17
58429.21,1.76e-16,2.35e-18,2.232111111111111e-16,4.94637037037037e-17
58435.19,1.79e-16,6.24e-18,2.286777777777778e-16,5.300833333333334e-17
58457.12,1.73e-16,6.41e-18,2.3121111111111114e-16,5.3965185185185186e-17
58472.17,1.78e-16,1.43e-17,2.3241111111111114e-16,5.370037037037038e-17
58482.14,1.65e-16,8.68e-18,2.3334444444444446e-16,5.331074074074075e-17
58487.13,1.83e-16,6.03e-18,2.336777777777778e-16,5.352111111111112e-17
58644.44,2.19e-16,5e-18,2.341777777777778e-16,5.357481481481482e-17
58647.47,1.99e-16,5.34e-18,2.304111111111111e-16,5.136666666666667e-17
58651.48,1.72e-16,1.94e-17,2.2274444444444445e-16,4.5110740740740745e-17
58660.46,2.16e-16,1.29e-17,2.224777777777778e-16,4.557814814814815e-17
58669.46,2.28e-16,3.34e-18,2.2184444444444445e-16,4.6417777777777786e-17
58672.43,2.92e-16,3.88e-18,2.2041111111111112e-16,4.5484074074074076e-17
58675.45,2.45e-16,3.34e-18,2.1767777777777777e-16,4.463814814814815e-17
58695.43,2.1433333333333332e-16,1.9433333333333334e-18,2.1547777777777778e-16,4.3962962962962966e-17
58703.46,3.44e-16,3.92e-18,2.1584444444444442e-16,4.2635370370370376e-17
58710.46,2.61e-16,1.67e-17,2.158111111111111e-16,4.163703703703704e-17
58715.5,2.23e-16,1.82e-17,2.1659444444444446e-16,4.0519074074074084e-17
58717.41,2.09e-16,5.2e-18,2.1722777777777778e-16,3.887222222222223e-17
58718.4,2.07e-16,5.29e-18,2.1689444444444443e-16,3.750611111111111e-17
58724.42,2e-16,2.96e-18,2.1689444444444443e-16,3.574444444444445e-17
58727.38,1.85e-16,1.96e-18,2.168722222222222e-16,3.417092592592593e-17
58730.33,1.87e-16,4.31e-18,2.1523888888888887e-16,3.3921481481481486e-17
58733.37,1.97e-16,2.83e-18,2.1440555555555554e-16,3.297425925925926e-17
58737.46,1.86e-16,7.72e-18,2.1483888888888888e-16,3.157518518518519e-17
58743.38,2e-16,2.13e-17,2.1313888888888887e-16,3.17012962962963e-17
58746.38,1.79e-16,8.11e-18,2.1163888888888887e-16,3.1762962962962966e-17
58749.32,1.82e-16,3.72e-18,2.0717222222222222e-16,2.992703703703704e-17
58754.29,1.73e-16,5.81e-18,2.0490555555555556e-16,2.9100370370370376e-17
58760.34,1.82e-16,6.29e-18,1.9300555555555555e-16,1.927148148148148e-17
58764.36,1.75e-16,5.35e-18,1.9226111111111112e-16,1.9799259259259262e-17
58772.27,2.0249999999999999e-16,1.88e-17,1.8636111111111109e-16,1.5795925925925924e-17
58772.28,1.92e-16,2.31e-17,1.8319444444444442e-16,1.462259259259259e-17
58781.21,1.68e-16,6.72e-18,1.8142777777777777e-16,1.45837037037037e-17
58785.22,1.65e-16,5.48e-18,1.8049444444444445e-16,1.452037037037037e-17
58786.27,1.8233333333333335e-16,9.086666666666668e-18,1.788611111111111e-16,1.4772222222222222e-17
58789.21,1.7e-16,5.92e-18,1.7769444444444446e-16,1.4584629629629632e-17
58792.19,1.74e-16,9.91e-18,1.7699444444444444e-16,1.3952962962962963e-17
58797.17,1.85e-16,1.56e-17,1.7622777777777778e-16,1.3449074074074075e-17
58800.17,1.65e-16,1.37e-17,1.752611111111111e-16,1.3198518518518521e-17
58803.17,1.83e-16,1.31e-17,1.7499444444444443e-16,1.2240185185185187e-17
58811.17,1.58e-16,7.54e-18,1.745111111111111e-16,1.2013148148148151e-17
58820.13,1.77e-16,1.3e-17,1.7447777777777778e-16,1.096981481481482e-17
58838.12,1.64e-16,1.6e-17,1.7465555555555556e-16,1.0357777777777782e-17
58852.1,1.92e-16,9.08e-18,1.750222222222222e-16,9.391296296296301e-18
58856.09,1.67e-16,9.72e-18,1.7505555555555555e-16,9.048148148148152e-18
58863.11,1.66e-16,8.03e-18,1.759888888888889e-16,9.18981481481482e-18
58873.11,1.7e-16,9.35e-18,1.752388888888889e-16,8.719259259259265e-18
59036.48,1.81e-16,1.42e-17,1.746722222222222e-16,8.694259259259263e-18
59045.46,1.58e-16,1.96e-18,1.7545000000000002e-16,8.503703703703708e-18
59048.46,1.65e-16,1.8e-18,1.7626666666666665e-16,8.180925925925929e-18
59051.46,1.64e-16,1.83e-18,1.7692222222222222e-16,8.633333333333335e-18
59054.46,1.64e-16,8.37e-19,1.7712222222222223e-16,8.710370370370374e-18
59060.46,1.68e-16,9.35e-19,1.778888888888889e-16,8.970370370370373e-18
59062.39,1.78e-16,7.36e-18,1.780888888888889e-16,8.787777777777777e-18
59073.36,1.855e-16,1.825e-18,1.791722222222222e-16,8.738888888888892e-18
59073.38,1.78e-16,3.82e-18,1.7933888888888892e-16,8.51e-18
59075.41,1.8733333333333333e-16,1.3800000000000002e-18,1.8052222222222222e-16,8.108888888888891e-18
59077.41,1.84e-16,1.6666666666666665e-18,1.8108888888888888e-16,8.171851851851853e-18
59079.35,1.83e-16,2.01e-18,1.8228888888888888e-16,8.160740740740745e-18
59080.43,2.03e-16,3.05e-18,1.814888888888889e-16,8.319629629629633e-18
59080.48,1.8000000000000002e-16,4.575000000000001e-18,1.8202222222222222e-16,8.274814814814818e-18
59082.38,1.75e-16,7.16e-18,1.8305555555555556e-16,8.193148148148153e-18
59082.39,1.9133333333333334e-16,7.47e-18,1.8362222222222224e-16,8.093888888888891e-18
59085.41,1.895e-16,2.0925e-18,1.8368888888888888e-16,8.101666666666669e-18
59085.42,2.02e-16,5.95e-19,1.8495555555555555e-16,7.746851851851854e-18
59087.34,1.76e-16,3.36e-18,1.8600555555555556e-16,7.625370370370372e-18
59089.31,1.97e-16,8.83e-18,1.8620555555555557e-16,7.80055555555556e-18
59089.35,1.91e-16,5.12e-18,1.8770555555555557e-16,8.065000000000004e-18
59090.33,1.975e-16,9.78e-18,1.8870555555555554e-16,8.101111111111116e-18
59090.35,1.88e-16,9.19e-18,1.891388888888889e-16,8.278333333333337e-18
59091.32,1.935e-16,8.57e-18,1.8902222222222224e-16,8.157777777777778e-18
59091.36,1.94e-16,9.84e-18,1.895888888888889e-16,8.46611111111111e-18
59092.36,2e-16,1.2000000000000001e-17,1.8967777777777776e-16,8.457037037037037e-18
59092.39,1.68e-16,1.36e-17,1.8974444444444445e-16,8.464629629629629e-18
59107.35,1.83e-16,5.44e-18,1.8971111111111113e-16,8.445185185185185e-18
59110.33,1.97e-16,5.87e-18,1.8946111111111108e-16,8.157222222222222e-18
59113.36,1.87e-16,3.82e-18,1.892611111111111e-16,8.375185185185185e-18
59116.29,1.83e-16,2.07e-18,1.895611111111111e-16,8.16685185185185e-18
59117.28,1.96e-16,2.9233333333333336e-18,1.8919444444444445e-16,7.929629629629628e-18
59120.3,1.965e-16,1.0449999999999999e-17,1.8887777777777777e-16,7.783518518518517e-18
59120.31,1.7e-16,1.16e-17,1.8817777777777778e-16,7.228888888888887e-18
59125.23,2.09e-16,1.38e-17,1.8794444444444443e-16,7.255740740740738e-18
59128.3,1.98e-16,6.84e-18,1.8702777777777778e-16,7.246296296296295e-18
59128.31,1.91e-16,7.26e-18,1.8559444444444445e-16,8.152407407407407e-18
59129.29,1.82e-16,5.27e-18,1.847111111111111e-16,8.074074074074073e-18
59129.31,1.95e-16,7.34e-18,1.844111111111111e-16,8.114629629629627e-18
59129.4,1.9e-16,7.23e-18,1.834611111111111e-16,8.33796296296296e-18
59131.25,1.86e-16,3.43e-18,1.8286111111111113e-16,8.237222222222221e-18
59134.25,1.82e-16,3.94e-18,1.821277777777778e-16,8.015e-18
59135.28,1.955e-16,1.34e-18,1.8262777777777777e-16,7.602037037037035e-18
59137.23,1.74e-16,4.9e-18,1.825611111111111e-16,7.641296296296295e-18
59137.24,1.8399999999999998e-16,3.385e-18,1.8219444444444446e-16,7.843518518518515e-18
59139.22,1.8033333333333334e-16,1.5533333333333333e-18,1.8092777777777776e-16,8.543518518518516e-18
59141.3,1.8e-16,1.73e-18,1.8142777777777777e-16,9.200555555555552e-18
59145.22,1.8099999999999998e-16,8.96e-19,1.8059444444444444e-16,8.985370370370365e-18
59145.27,1.69e-16,1.47e-18,1.798111111111111e-16,8.826296296296294e-18
59151.3,1.695e-16,1.655e-17,1.8001111111111112e-16,8.419814814814812e-18
59152.27,1.48e-16,1.48e-17,1.7847777777777777e-16,7.978518518518515e-18
