mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58390.27,2.02e-16,2.69e-18,1.572e-16,3.3949444444444446e-17
58426.24,1.25e-16,2.86e-18,1.5696666666666666e-16,3.473666666666667e-17
58429.26,1.28e-16,8.86e-19,1.5703333333333333e-16,3.5145e-17
58432.26,1.37e-16,2.75e-18,1.572e-16,3.551222222222223e-17
58435.26,1.35e-16,5.44e-18,1.5826666666666668e-16,3.5026111111111106e-17
58443.11,1.3150000000000002e-16,4.5400000000000005e-18,1.592e-16,3.469444444444445e-17
58457.15,1.26e-16,4.3e-18,1.6223333333333335e-16,3.523462962962963e-17
58475.16,1.33e-16,6.24e-18,1.633e-16,3.478777777777778e-17
58482.1,1.41e-16,5.77e-18,1.6446666666666666e-16,3.4625740740740733e-17
58510.09,1.39e-16,1.22e-17,1.7006666666666667e-16,3.8493703703703704e-17
58510.1,1.505e-16,9.42e-18,1.7506666666666668e-16,4.278277777777778e-17
58510.11,1.45e-16,8.19e-18,1.72e-16,3.8998518518518524e-17
58511.09,1.35e-16,7.93e-18,1.7273333333333332e-16,3.897833333333334e-17
58511.1,1.37e-16,7.055e-18,1.7396666666666667e-16,3.9265740740740745e-17
58511.11,1.51e-16,8.26e-18,1.7453333333333332e-16,3.91075925925926e-17
58514.1,1.33e-16,4.74e-18,1.7430000000000002e-16,3.8160555555555557e-17
58514.11,1.39e-16,4.73e-18,1.7409999999999998e-16,3.7294629629629635e-17
58655.44,1.49e-16,6.36e-18,1.7563333333333333e-16,3.643833333333333e-17
58666.42,1.76e-16,1.82e-18,1.7676666666666666e-16,3.5966481481481484e-17
58669.44,1.66e-16,1.52e-18,1.77e-16,3.6385185185185186e-17
58672.46,2.22e-16,1.64e-18,1.777111111111111e-16,3.6250555555555554e-17
58675.48,1.75e-16,2.14e-18,1.773277777777778e-16,3.714037037037037e-17
58678.48,1.83e-16,1.44e-18,1.7816111111111112e-16,3.6614629629629636e-17
58681.43,3.1e-16,6.29e-18,1.7842777777777777e-16,3.6573888888888895e-17
58691.42,2.29e-16,1.97e-18,1.783611111111111e-16,3.6506851851851845e-17
58694.38,1.74e-16,1.51e-18,1.7814444444444445e-16,3.5961666666666665e-17
58697.42,1.9e-16,1.03e-18,1.7797777777777778e-16,3.535981481481481e-17
58700.4,2.14e-16,9.92e-19,1.7817777777777777e-16,3.431574074074074e-17
58707.46,2.21e-16,1.96e-18,1.7794444444444446e-16,3.3602777777777775e-17
58710.38,1.96e-16,6.28e-18,1.7717777777777778e-16,3.331537037037037e-17
58715.38,1.71e-16,4.3e-18,1.7727777777777777e-16,3.207462962962963e-17
58716.4,1.62e-16,1.57e-18,1.7687777777777778e-16,3.1271666666666663e-17
58718.37,1.44e-16,4.13e-18,1.7676111111111114e-16,3.067351851851852e-17
58719.44,1.5633333333333334e-16,1.3616666666666665e-18,1.755611111111111e-16,3.0796481481481484e-17
58721.44,1.2e-16,2.1e-17,1.7439444444444443e-16,3.056462962962963e-17
58724.4,1.51e-16,2.2e-18,1.714611111111111e-16,2.9092777777777776e-17
58730.38,1.41e-16,1.66e-18,1.7007777777777777e-16,2.9044074074074074e-17
58737.33,1.44e-16,6.28e-18,1.6827777777777777e-16,2.903944444444445e-17
58743.34,1.34e-16,7.41e-18,1.6224444444444442e-16,2.4802592592592594e-17
58748.33,1.44e-16,1.405e-18,1.522111111111111e-16,1.640574074074074e-17
58748.36,1.4e-16,2.75e-18,1.4894444444444444e-16,1.4755555555555555e-17
58749.28,1.41e-16,1.36e-18,1.4741111111111111e-16,1.4737407407407404e-17
58757.29,1.3e-16,2.22e-18,1.455777777777778e-16,1.4464444444444445e-17
58760.29,1.28e-16,2.51e-18,1.4291111111111111e-16,1.3378703703703701e-17
58764.4,1.36e-16,3.36e-18,1.4007777777777778e-16,1.2126296296296295e-17
58770.25,1.27e-16,9.77e-18,1.3801111111111112e-16,1.1618333333333334e-17
58770.33,1.455e-16,1.016e-17,1.3681111111111112e-16,1.1573518518518518e-17
58771.31,1.4e-16,8.145000000000001e-18,1.3554444444444445e-16,1.1259814814814816e-17
58773.23,1.31e-16,1.61e-17,1.3504444444444447e-16,1.0170555555555554e-17
58773.25,1.34e-16,8.645e-18,1.3386666666666667e-16,9.792407407407406e-18
58774.23,1.335e-16,2.965e-18,1.3436666666666665e-16,8.194814814814816e-18
58777.2,1.29e-16,3.26e-18,1.337e-16,7.596111111111112e-18
58781.25,1.29e-16,5.61e-18,1.3346666666666665e-16,6.815185185185185e-18
58785.25,1.31e-16,3.12e-18,1.3256666666666665e-16,6.388703703703703e-18
58789.23,1.31e-16,3.34e-18,1.3213333333333334e-16,5.694444444444445e-18
58790.21,1.28e-16,1.5300000000000001e-18,1.316e-16,5.426851851851851e-18
58792.18,1.35e-16,4.09e-18,1.3116666666666665e-16,5.16037037037037e-18
58797.11,1.34e-16,8.53e-18,1.3075e-16,4.9683333333333335e-18
58800.25,1.36e-16,8.4e-18,1.3051666666666665e-16,4.594074074074073e-18
58803.23,1.34e-16,4.27e-18,1.3041666666666668e-16,4.1653703703703685e-18
58806.21,1.35e-16,5.26e-18,1.3006666666666669e-16,4.0711111111111085e-18
58811.15,1.24e-16,3.33e-18,1.2946666666666669e-16,4.2846296296296266e-18
58814.15,1.29e-16,5.62e-18,1.2891666666666666e-16,4.09222222222222e-18
58831.07,1.21e-16,5.3e-18,1.2888333333333334e-16,4.368703703703701e-18
58835.09,1.35e-16,1.1e-17,1.2853333333333334e-16,4.422222222222218e-18
58838.09,1.31e-16,3.29e-18,1.285e-16,4.6472222222222174e-18
58852.15,1.34e-16,4.33e-18,1.2835000000000003e-16,4.723333333333329e-18
58856.13,1.17e-16,4.23e-18,1.2848333333333332e-16,4.80055555555555e-18
58860.14,1.21e-16,8.75e-18,1.2841666666666665e-16,4.692222222222217e-18
58863.09,1.28e-16,4.25e-18,1.2818333333333332e-16,4.715740740740736e-18
58872.09,1.27e-16,5.3e-18,1.2795e-16,4.7614814814814766e-18
58872.1,1.2850000000000002e-16,5.89e-18,1.2785e-16,4.6977777777777726e-18
58872.11,1.23e-16,8.14e-18,1.2735e-16,4.801851851851847e-18
58873.09,1.25e-16,6.65e-18,1.2705e-16,4.763703703703698e-18
58874.1,1.2550000000000002e-16,1.34e-17,1.2675e-16,4.594444444444439e-18
58874.11,1.09e-16,7.9e-18,1.2641666666666667e-16,4.598518518518514e-18
58876.1,1.29e-16,1.945e-17,1.2608333333333332e-16,4.5362962962962915e-18
58878.09,1.39e-16,1.66e-17,1.2625e-16,4.355185185185179e-18
58878.1,1.205e-16,2.08e-17,1.2615e-16,4.457962962962957e-18
59024.48,1.33e-16,3.18e-18,1.2611666666666667e-16,4.500740740740734e-18
59033.36,1.29e-16,7.41e-18,1.2585000000000001e-16,4.373518518518512e-18
59036.38,1.33e-16,7.25e-18,1.2598333333333335e-16,4.462222222222215e-18
59042.46,1.27e-16,3.27e-18,1.2578333333333334e-16,4.348518518518511e-18
59045.36,1.24e-16,1.73e-18,1.2627222222222223e-16,4.01666666666666e-18
59048.42,1.24e-16,1.26e-18,1.2650555555555553e-16,3.852222222222215e-18
59049.39,1.25e-16,1.24e-18,1.266888888888889e-16,3.9255555555555496e-18
59051.4,1.2e-16,1.04e-18,1.2695555555555557e-16,4.0133333333333274e-18
59054.4,1.25e-16,1.12e-18,1.2710555555555556e-16,4.0305555555555494e-18
59057.45,1.27e-16,4.09e-19,1.2740555555555556e-16,3.896666666666661e-18
59060.42,1.24e-16,1.23e-18,1.2770555555555556e-16,3.870555555555551e-18
59061.35,1.25e-16,1.73e-18,1.2806666666666665e-16,3.948888888888885e-18
59061.36,1.29e-16,3.1e-18,1.2896666666666665e-16,3.471666666666664e-18
59063.4,1.26e-16,5.2e-18,1.2916666666666666e-16,3.44333333333333e-18
59064.39,1.2e-16,6.16e-18,1.2916666666666666e-16,3.2149999999999964e-18
59064.41,1.27e-16,6.45e-18,1.2965e-16,3.089444444444442e-18
59076.37,1.35e-16,1.2750000000000001e-18,1.298388888888889e-16,3.0372222222222198e-18
59076.38,1.28e-16,1.03e-18,1.3023888888888887e-16,3.184999999999998e-18
59079.41,1.3166666666666668e-16,1.4619999999999998e-18,1.301388888888889e-16,3.0594444444444445e-18
59079.42,1.28e-16,1.25e-18,1.3048333333333333e-16,3.149444444444445e-18
59081.41,1.335e-16,1.34e-18,1.3111666666666665e-16,3.3950000000000004e-18
59082.46,1.35e-16,3.47e-18,1.3141666666666667e-16,3.315740740740743e-18
59086.37,1.33e-16,1.8366666666666665e-18,1.3183333333333331e-16,3.4090740740740777e-18
59087.36,1.32e-16,1.93e-18,1.3233333333333335e-16,3.247962962962966e-18
59098.34,1.34e-16,4.05e-18,1.3273333333333334e-16,3.3196296296296336e-18
59098.37,1.3633333333333334e-16,3.933333333333333e-18,1.3273333333333334e-16,3.4998148148148186e-18
59099.35,1.3600000000000002e-16,3.3733333333333335e-18,1.3289999999999998e-16,3.500000000000003e-18
59107.3,1.35e-16,3.07e-18,1.3293333333333335e-16,3.610000000000003e-18
59110.27,1.39e-16,4.49e-18,1.331e-16,3.672222222222226e-18
59113.3,1.35e-16,1.47e-18,1.3311666666666666e-16,3.754444444444448e-18
59113.31,1.3866666666666667e-16,1.3966666666666667e-18,1.3335e-16,3.6022222222222264e-18
59115.33,1.41e-16,1.405e-18,1.3341666666666666e-16,3.588333333333338e-18
59116.32,1.3e-16,1.01e-18,1.3325000000000002e-16,3.4477777777777827e-18
59118.27,1.3733333333333333e-16,1.4763333333333333e-18,1.3341666666666666e-16,3.4544444444444497e-18
59125.29,1.43e-16,5.42e-18,1.333611111111111e-16,3.415555555555561e-18
59129.23,1.33e-16,2.41e-18,1.331277777777778e-16,3.641666666666673e-18
59130.28,1.3750000000000002e-16,2.03e-18,1.330111111111111e-16,3.576666666666672e-18
59131.23,1.35e-16,2.37e-18,1.3287777777777778e-16,3.51833333333334e-18
59134.3,1.37e-16,2.62e-18,1.3274444444444444e-16,3.490000000000005e-18
59137.19,1.27e-16,1.38e-18,1.328111111111111e-16,3.661666666666671e-18
59139.25,1.29e-16,1.6e-18,1.327111111111111e-16,3.698888888888893e-18
59139.26,1.26e-16,8.42e-19,1.3236666666666667e-16,3.671666666666671e-18
59141.17,1.34e-16,2.35e-18,1.321e-16,3.592222222222225e-18
59141.18,1.2649999999999998e-16,1.97e-18,1.3213333333333331e-16,3.7516666666666694e-18
59143.21,1.27e-16,5.45e-19,1.316e-16,3.759629629629633e-18
59145.18,1.29e-16,1.83e-18,1.3123333333333334e-16,3.874814814814818e-18
59152.21,1.3e-16,5.85e-18,1.3094444444444444e-16,3.722592592592596e-18
59154.17,1.33e-16,5.09e-18,1.3056111111111112e-16,3.47703703703704e-18
59156.2,1.3e-16,4.49e-18,1.303611111111111e-16,3.546296296296299e-18
59158.23,1.21e-16,3.72e-18,1.3026666666666667e-16,3.588703703703705e-18
59164.17,1.3e-16,6.26e-18,1.2956666666666668e-16,3.49888888888889e-18
59167.21,1.31e-16,2.45e-18,1.2916666666666666e-16,3.771666666666665e-18
59169.17,1.29e-16,3.17e-18,1.2868333333333335e-16,3.8535185185185165e-18
59171.19,1.34e-16,2.23e-18,1.285166666666667e-16,3.799814814814812e-18
59173.22,1.31e-16,1.84e-18,1.2861666666666666e-16,3.959814814814812e-18
59179.11,1.26e-16,3.9e-18,1.2878333333333332e-16,3.827962962962961e-18
59181.11,1.28e-16,6.63e-18,1.2871666666666667e-16,3.7846296296296285e-18
59183.09,1.36e-16,8.08e-18,1.2915000000000001e-16,3.912037037037036e-18
59185.13,1.23e-16,5.48e-18,1.291388888888889e-16,4.027222222222221e-18
59187.15,1.24e-16,4.09e-18,1.293388888888889e-16,4.014629629629627e-18
59189.2,1.3e-16,2.7e-18,1.2925e-16,3.9349999999999964e-18
59194.25,1.2949999999999998e-16,7.005e-18,1.292833333333333e-16,4.006851851851848e-18
59195.11,1.24e-16,3.17e-18,1.2932777777777777e-16,4.172777777777774e-18
59197.15,1.345e-16,1.93e-17,1.2931111111111112e-16,4.3549999999999965e-18
59198.11,1.22e-16,2.85e-18,1.2894444444444443e-16,4.516111111111107e-18
59200.12,1.21e-16,4.12e-18,1.2931111111111108e-16,4.497962962962959e-18
59202.11,1.23e-16,3.42e-18,1.2994444444444447e-16,5.349814814814812e-18
59210.11,1.3e-16,6.47e-18,1.305111111111111e-16,6.138333333333329e-18
59215.08,1.4e-16,4.9e-18,1.3094444444444444e-16,6.7929629629629585e-18
59219.13,1.32e-16,3.44e-18,1.3014444444444443e-16,6.983888888888884e-18
59227.13,1.27e-16,4.63e-18,1.294111111111111e-16,7.282592592592589e-18
59229.11,1.39e-16,5.14e-18,1.288111111111111e-16,7.557351851851848e-18
59248.1,1.3366666666666666e-16,6.153333333333333e-18,1.283111111111111e-16,7.710999999999995e-18
59248.11,1.3249999999999998e-16,5.215e-18,1.2724444444444445e-16,7.917925925925922e-18
59250.1,1.2433333333333334e-16,1.0733333333333333e-17,1.2654444444444443e-16,8.173259259259256e-18
59250.11,1.3e-16,8.34e-18,1.256111111111111e-16,8.620259259259254e-18
59251.1,1.3133333333333333e-16,9.716666666666668e-18,1.254111111111111e-16,8.925111111111107e-18
59251.11,1.3249999999999998e-16,7.625e-18,1.2459444444444444e-16,9.190259259259255e-18
59376.45,1.19e-16,3.34e-18,1.2419444444444445e-16,9.016111111111108e-18
59382.46,1.32e-16,2.26e-18,1.2327777777777778e-16,8.9757037037037e-18
59390.38,1.49e-16,7.39e-18,1.230111111111111e-16,8.862777777777774e-18
59392.43,1.48e-16,9.1e-18,1.2251111111111112e-16,8.702740740740738e-18
59397.4,1.42e-16,3.4e-18,1.2204444444444446e-16,8.502037037037034e-18
59400.45,1.1e-16,1.88e-18,1.212111111111111e-16,8.531222222222218e-18
59404.44,1.09e-16,2.13e-18,1.2034444444444445e-16,8.523148148148144e-18
59406.46,1.08e-16,2.76e-18,1.1902611111111112e-16,8.880296296296292e-18
59409.46,1.13e-16,8.24e-19,1.183261111111111e-16,8.840370370370366e-18
59411.46,1.04e-16,1.46e-18,1.1705777777777777e-16,8.623629629629625e-18
59416.41,1.02e-16,3.59e-18,1.157988888888889e-16,8.722999999999997e-18
59418.4,9.6e-17,8.88e-18,1.147488888888889e-16,8.665148148148146e-18
59425.46,1.24e-16,9.9e-18,1.1410444444444444e-16,8.600777777777776e-18
59426.42,1.05e-16,3.13e-18,1.131711111111111e-16,8.549370370370368e-18
59427.42,1.12e-16,1.85e-18,1.1210333333333334e-16,8.512407407407403e-18
59428.46,1.07e-16,1.345e-18,1.1097666666666667e-16,8.420555555555553e-18
59429.41,1.14e-16,7.63e-19,1.1044333333333334e-16,8.26574074074074e-18
59430.36,1.06e-16,1.31e-18,1.0951e-16,7.995555555555554e-18
59434.37,1.09e-16,1.78e-19,1.0807666666666667e-16,7.229259259259257e-18
59439.38,1.05e-16,2.51e-18,1.0638666666666666e-16,6.578518518518517e-18
59448.3,1.14e-16,1.0749999999999999e-17,1.0518666666666668e-16,6.014166666666666e-18
59452.38,9.245e-17,9.739999999999999e-18,1.0502e-16,5.715851851851851e-18
59453.34,1.06e-16,2.86e-18,1.0478666666666667e-16,5.3426481481481466e-18
59454.34,1.0094999999999999e-16,2.2800000000000002e-18,1.0463666666666667e-16,5.008444444444443e-18
59458.34,9.59e-17,5.98e-19,1.0423666666666668e-16,4.878685185185186e-18
59459.36,1.01e-16,1.02e-18,1.0452e-16,4.7767037037037035e-18
59460.35,1.05e-16,2.16e-18,1.0472e-16,4.485462962962962e-18
59461.36,1.02e-16,1.14e-18,1.0484666666666666e-16,3.967333333333334e-18
59462.38,9.93e-17,5.83e-19,1.0411333333333333e-16,3.6782037037037036e-18
59462.39,9.87e-17,1.33e-19,1.0384999999999999e-16,3.608777777777778e-18
59463.32,1.03e-16,1.16e-18,1.0355000000000001e-16,3.6135e-18
59464.39,1.04e-16,1.5000000000000001e-18,1.0338333333333333e-16,3.526111111111111e-18
59466.36,1.06e-16,8.62e-19,1.0299999999999999e-16,3.444388888888889e-18
59468.34,9.73e-17,9.14e-19,1.0326666666666667e-16,3.6672222222222226e-18
59470.41,1.06e-16,1.49e-18,1.0297500000000001e-16,3.804944444444445e-18
59472.36,1.05e-16,1.45e-18,1.0273833333333334e-16,4.030777777777779e-18
59474.31,1.02e-16,4.115e-18,1.0214833333333333e-16,4.084611111111113e-18
59479.26,1.035e-16,8.46e-18,1.025e-16,3.816555555555557e-18
59480.28,1.01e-16,5.93e-18,1.0243333333333333e-16,3.915944444444447e-18
59484.27,1.125e-16,1.84e-18,1.0250166666666666e-16,3.979000000000002e-18
59486.29,1.08e-16,2.7e-18,1.0293833333333333e-16,3.730388888888891e-18
59487.32,9.98e-17,2.67e-18,1.03005e-16,3.847333333333335e-18
