mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58320.46	20.41	nan	3.33e-17	nan
58323.44	20.58	0.17	2.87e-17	4.40e-18
58327.48	20.07	nan	4.56e-17	nan
58330.48	20.23	nan	3.97e-17	nan
58336.49	20.37	0.19	3.46e-17	6.09e-18
58340.48	20.16	0.10	4.21e-17	4.06e-18
58343.46	20.52	0.10	3.01e-17	2.88e-18
58345.44	20.30	0.09	3.70e-17	3.11e-18
58346.47	20.26	0.09	3.86e-17	3.12e-18
58346.47	20.31	0.09	3.66e-17	3.00e-18
58347.48	20.20	0.10	4.07e-17	3.73e-18
58348.48	20.31	0.12	3.68e-17	4.10e-18
58349.42	20.36	0.10	3.49e-17	3.12e-18
58349.42	20.26	0.08	3.84e-17	2.69e-18
58350.46	20.25	0.07	3.87e-17	2.55e-18
58351.45	20.37	0.08	3.48e-17	2.69e-18
58352.44	20.32	0.08	3.63e-17	2.74e-18
58352.44	20.23	0.08	3.95e-17	2.88e-18
58363.41	20.64	nan	2.69e-17	nan
58363.41	20.67	nan	2.64e-17	nan
58364.43	20.29	0.16	3.75e-17	5.53e-18
58364.48	20.34	0.15	3.58e-17	4.78e-18
58365.42	20.48	0.14	3.15e-17	3.96e-18
58366.43	20.33	0.09	3.60e-17	2.94e-18
58366.43	20.26	0.08	3.85e-17	3.00e-18
58367.43	20.28	0.08	3.79e-17	2.69e-18
58368.41	20.11	0.07	4.39e-17	2.73e-18
58369.48	20.25	0.08	3.87e-17	2.87e-18
58369.48	20.27	0.08	3.80e-17	2.74e-18
58370.45	20.14	0.07	4.27e-17	2.76e-18
58371.39	20.22	0.07	3.97e-17	2.51e-18
58372.44	20.30	0.08	3.69e-17	2.70e-18
58372.44	20.23	0.07	3.96e-17	2.67e-18
58373.42	20.22	0.08	3.97e-17	2.77e-18
58374.43	20.09	0.07	4.48e-17	2.87e-18
58375.44	20.25	0.08	3.89e-17	2.87e-18
58375.44	20.26	0.08	3.83e-17	2.76e-18
58376.46	20.14	0.08	4.30e-17	3.02e-18
58377.39	20.23	0.09	3.96e-17	3.17e-18
58378.44	20.33	0.09	3.60e-17	3.03e-18
58378.45	20.24	0.08	3.93e-17	2.89e-18
58382.42	20.10	0.10	4.46e-17	3.98e-18
58382.44	20.19	0.08	4.10e-17	2.93e-18
58383.44	20.27	0.15	3.82e-17	5.11e-18
58384.36	20.54	nan	2.98e-17	nan
58385.44	20.39	nan	3.41e-17	nan
58385.45	20.51	nan	3.05e-17	nan
58386.49	19.98	nan	4.98e-17	nan
58390.38	20.09	0.19	4.47e-17	7.97e-18
