mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58387.38	18.58	nan	6.58e-17	nan
58387.41	18.97	0.20	4.59e-17	8.36e-18
58397.32	19.22	0.08	3.64e-17	2.59e-18
58423.25	19.26	0.08	3.52e-17	2.55e-18
58427.28	19.05	0.17	4.25e-17	6.50e-18
58431.26	19.34	0.21	3.28e-17	6.40e-18
58435.25	19.88	nan	1.98e-17	nan
58738.42	19.43	0.13	3.00e-17	3.60e-18
58747.36	19.42	0.11	3.03e-17	3.06e-18
58751.38	19.33	0.08	3.29e-17	2.55e-18
58757.36	19.23	0.08	3.61e-17	2.77e-18
58761.33	19.28	0.10	3.43e-17	3.23e-18
58765.33	19.38	0.09	3.13e-17	2.72e-18
58769.32	19.63	nan	2.50e-17	nan
59184.34	19.32	0.16	3.31e-17	4.80e-18
59187.28	19.25	0.16	3.54e-17	5.26e-18
59190.26	19.17	0.16	3.83e-17	5.60e-18
59200.28	19.31	0.10	3.36e-17	3.22e-18
59203.26	19.34	0.15	3.26e-17	4.42e-18
59206.28	18.06	nan	1.06e-16	nan
59211.19	19.40	0.16	3.09e-17	4.54e-18
59217.21	19.47	0.19	2.88e-17	4.97e-18
59220.18	19.44	0.08	2.98e-17	2.23e-18
59223.23	19.22	0.09	3.65e-17	2.91e-18
59226.15	19.22	0.14	3.65e-17	4.69e-18
59229.16	19.21	0.15	3.66e-17	4.99e-18
59232.25	19.35	0.07	3.24e-17	2.09e-18
59249.24	17.07	nan	2.63e-16	nan
59253.15	19.33	0.09	3.30e-17	2.69e-18
59256.20	19.29	0.09	3.43e-17	2.88e-18
59266.17	19.77	nan	2.20e-17	nan
59270.17	19.15	0.16	3.87e-17	5.73e-18
59423.47	19.25	0.16	3.53e-17	5.20e-18
59436.40	19.16	0.08	3.86e-17	2.84e-18
59450.46	19.78	nan	2.18e-17	nan
59459.41	19.30	0.07	3.37e-17	2.03e-18
59462.45	19.12	0.06	4.00e-17	2.08e-18
59465.39	19.18	0.07	3.79e-17	2.45e-18
59468.40	19.47	0.07	2.90e-17	1.94e-18
59471.41	19.32	0.10	3.33e-17	3.19e-18
59476.38	19.25	0.11	3.56e-17	3.64e-18
59479.32	19.82	nan	2.11e-17	nan
59484.44	19.42	0.12	3.03e-17	3.25e-18
59487.31	19.32	0.13	3.34e-17	3.96e-18
59491.34	19.18	0.08	3.79e-17	2.89e-18
59497.40	19.21	0.08	3.69e-17	2.67e-18
59502.31	19.12	0.11	3.98e-17	3.95e-18
59505.33	19.17	0.13	3.82e-17	4.61e-18
59512.26	19.29	0.09	3.41e-17	2.92e-18
59517.32	19.34	0.08	3.25e-17	2.41e-18
59520.34	19.27	0.06	3.47e-17	2.06e-18
59523.24	19.23	0.06	3.62e-17	2.04e-18
59526.30	19.19	0.07	3.75e-17	2.42e-18
59529.30	19.22	0.12	3.63e-17	4.14e-18
59532.32	19.25	0.11	3.54e-17	3.43e-18
59540.29	19.08	0.16	4.16e-17	6.23e-18
59550.32	19.40	0.07	3.10e-17	1.97e-18
59623.18	19.34	0.13	3.27e-17	3.84e-18
