mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58320.49	19.41	0.08	4.67e-17	3.61e-18
58323.49	19.74	0.08	3.44e-17	2.52e-18
58327.43	18.38	nan	1.21e-16	nan
58330.42	19.93	nan	2.89e-17	nan
58336.47	19.77	0.09	3.34e-17	2.66e-18
58340.44	20.07	nan	2.55e-17	nan
58345.48	19.62	0.05	3.83e-17	1.88e-18
58346.46	19.70	0.06	3.55e-17	1.99e-18
58346.46	19.79	0.06	3.29e-17	1.72e-18
58347.44	19.66	0.06	3.72e-17	2.00e-18
58348.43	19.68	0.05	3.64e-17	1.78e-18
58349.50	19.57	0.04	4.01e-17	1.60e-18
58349.50	19.65	0.05	3.73e-17	1.73e-18
58350.50	19.59	0.06	3.96e-17	2.06e-18
58351.49	19.57	0.04	4.03e-17	1.39e-18
58352.50	19.59	0.04	3.95e-17	1.34e-18
58352.50	19.57	0.03	4.01e-17	1.25e-18
58353.44	19.64	0.06	3.77e-17	2.10e-18
58353.48	19.69	0.04	3.60e-17	1.27e-18
58354.44	19.60	0.09	3.91e-17	3.09e-18
58354.50	19.61	0.04	3.87e-17	1.47e-18
58355.39	19.57	0.17	4.02e-17	6.40e-18
58355.39	19.72	0.18	3.51e-17	5.98e-18
58355.50	19.76	0.09	3.39e-17	2.89e-18
58356.38	19.90	0.20	2.98e-17	5.56e-18
58356.44	19.60	0.14	3.92e-17	5.06e-18
58356.50	19.79	0.15	3.28e-17	4.49e-18
58357.40	19.69	0.13	3.60e-17	4.17e-18
58357.43	19.81	0.16	3.23e-17	4.66e-18
58357.48	19.66	0.13	3.70e-17	4.39e-18
58358.44	19.74	0.17	3.44e-17	5.30e-18
58358.44	19.74	0.15	3.43e-17	4.88e-18
58359.44	18.65	nan	9.42e-17	nan
58359.48	18.07	nan	1.60e-16	nan
58363.48	19.67	0.12	3.65e-17	3.88e-18
58363.48	19.59	0.10	3.95e-17	3.63e-18
58364.50	19.78	0.07	3.32e-17	2.23e-18
58365.50	19.64	0.07	3.77e-17	2.31e-18
58366.50	12.39	nan	2.99e-14	nan
58366.50	19.73	0.05	3.48e-17	1.61e-18
58367.48	19.64	0.05	3.76e-17	1.73e-18
58368.44	19.80	0.05	3.26e-17	1.53e-18
58369.42	19.59	0.06	3.94e-17	2.02e-18
58369.43	19.67	0.06	3.68e-17	1.93e-18
58370.50	19.58	0.04	4.00e-17	1.61e-18
58371.44	19.63	0.04	3.80e-17	1.57e-18
58372.49	19.76	0.05	3.39e-17	1.49e-18
58372.49	19.62	0.05	3.85e-17	1.60e-18
58373.48	19.70	0.07	3.58e-17	2.44e-18
58374.38	19.69	0.05	3.60e-17	1.76e-18
58375.49	19.70	0.06	3.58e-17	1.89e-18
58375.49	19.54	0.04	4.12e-17	1.64e-18
58376.42	19.66	0.05	3.71e-17	1.72e-18
58377.43	19.64	0.05	3.76e-17	1.80e-18
58378.43	19.59	0.05	3.94e-17	1.80e-18
58378.43	19.74	0.06	3.43e-17	1.86e-18
58379.42	19.58	0.05	4.00e-17	1.86e-18
58380.42	19.61	0.05	3.89e-17	1.78e-18
58382.37	19.72	0.11	3.50e-17	3.51e-18
58382.37	19.56	0.08	4.07e-17	3.03e-18
58383.39	19.59	0.10	3.94e-17	3.49e-18
58384.53	19.48	0.08	4.36e-17	3.34e-18
58385.31	20.14	nan	2.37e-17	nan
58385.31	19.58	0.21	4.00e-17	7.61e-18
58386.39	19.77	0.17	3.34e-17	5.27e-18
58386.40	19.37	0.13	4.84e-17	5.90e-18
58397.40	19.55	0.05	4.09e-17	1.77e-18
58422.35	19.67	0.12	3.68e-17	3.91e-18
58423.37	19.67	0.06	3.67e-17	2.05e-18
58425.28	19.64	0.05	3.76e-17	1.83e-18
58425.32	19.56	0.07	4.05e-17	2.70e-18
58428.29	19.66	0.07	3.71e-17	2.33e-18
58429.32	19.64	0.06	3.79e-17	1.95e-18
58431.29	19.62	0.13	3.84e-17	4.43e-18
58431.35	19.52	0.14	4.20e-17	5.58e-18
58432.31	19.62	0.09	3.83e-17	3.02e-18
58434.31	19.51	0.10	4.27e-17	3.86e-18
58435.33	20.33	nan	1.99e-17	nan
58436.30	20.49	nan	1.72e-17	nan
58437.30	19.73	0.08	3.46e-17	2.46e-18
58438.28	20.13	nan	2.41e-17	nan
58439.30	19.90	0.13	2.98e-17	3.49e-18
58447.35	19.60	0.20	3.90e-17	7.34e-18
58450.33	17.68	nan	2.29e-16	nan
58456.22	19.55	0.07	4.12e-17	2.75e-18
58456.26	19.59	0.06	3.97e-17	2.36e-18
58457.22	19.62	0.11	3.85e-17	3.96e-18
58461.26	19.62	0.07	3.84e-17	2.65e-18
58461.26	19.73	0.07	3.46e-17	2.31e-18
58462.29	19.47	nan	4.43e-17	nan
58464.28	19.80	0.11	3.27e-17	3.24e-18
58464.28	19.54	0.08	4.14e-17	3.02e-18
58466.23	19.22	nan	5.58e-17	nan
58468.26	19.82	0.11	3.19e-17	3.12e-18
58468.26	19.55	0.08	4.09e-17	3.12e-18
58469.19	19.55	0.17	4.09e-17	6.57e-18
58474.31	20.14	nan	2.39e-17	nan
58474.31	19.95	nan	2.84e-17	nan
58475.30	19.50	0.16	4.29e-17	6.51e-18
58481.31	19.65	0.16	3.74e-17	5.43e-18
58486.12	19.58	0.07	4.00e-17	2.74e-18
58487.12	19.68	0.07	3.62e-17	2.24e-18
58488.12	18.98	nan	6.90e-17	nan
58490.18	19.70	0.09	3.58e-17	3.06e-18
58490.18	19.75	0.09	3.42e-17	2.78e-18
58491.11	19.52	0.09	4.20e-17	3.31e-18
58492.17	19.57	nan	4.01e-17	nan
58493.13	19.67	0.08	3.66e-17	2.68e-18
58493.13	19.76	0.09	3.37e-17	2.73e-18
58503.13	19.72	0.14	3.51e-17	4.54e-18
58503.13	19.73	0.16	3.48e-17	5.18e-18
58505.11	20.53	nan	1.66e-17	nan
58507.24	19.64	0.18	3.76e-17	6.33e-18
58507.24	20.24	nan	2.17e-17	nan
58510.11	19.72	0.16	3.52e-17	5.28e-18
58510.11	19.91	0.10	2.93e-17	2.82e-18
58523.17	19.57	0.14	4.01e-17	5.18e-18
58540.12	19.85	0.11	3.12e-17	3.17e-18
58685.45	19.54	0.16	4.14e-17	5.94e-18
58686.42	18.53	nan	1.05e-16	nan
58686.42	17.80	nan	2.05e-16	nan
58691.43	19.57	0.10	4.02e-17	3.65e-18
58692.49	19.70	0.08	3.59e-17	2.66e-18
58692.49	19.66	0.08	3.72e-17	2.79e-18
58693.50	19.77	0.10	3.33e-17	3.20e-18
58695.48	19.55	0.05	4.09e-17	2.05e-18
58695.49	19.61	0.06	3.88e-17	2.12e-18
58696.48	19.68	0.05	3.62e-17	1.79e-18
58697.42	19.72	0.08	3.51e-17	2.49e-18
58698.48	19.60	0.08	3.90e-17	2.85e-18
58698.49	19.68	0.09	3.62e-17	3.04e-18
58699.49	19.64	0.05	3.76e-17	1.84e-18
58700.44	19.68	0.07	3.64e-17	2.31e-18
58701.48	19.49	nan	4.33e-17	nan
58701.48	19.67	nan	3.67e-17	nan
58703.46	19.66	0.07	3.69e-17	2.22e-18
58704.50	19.59	0.07	3.96e-17	2.53e-18
58704.50	19.59	0.09	3.95e-17	3.11e-18
58705.46	19.75	0.07	3.42e-17	2.20e-18
58706.50	19.62	0.06	3.84e-17	2.07e-18
58707.48	19.64	0.05	3.79e-17	1.72e-18
58707.50	19.64	0.07	3.76e-17	2.36e-18
58708.50	19.76	0.05	3.39e-17	1.66e-18
58709.40	19.65	0.14	3.74e-17	4.80e-18
58711.43	19.68	0.16	3.62e-17	5.42e-18
58711.43	19.75	0.15	3.41e-17	4.85e-18
58712.44	19.86	0.17	3.07e-17	4.80e-18
58713.50	19.89	0.18	3.01e-17	5.00e-18
58714.42	19.99	0.21	2.73e-17	5.24e-18
58714.42	19.49	0.14	4.32e-17	5.45e-18
58719.46	19.57	0.10	4.04e-17	3.80e-18
58722.48	19.70	0.05	3.58e-17	1.69e-18
58725.50	19.72	0.05	3.50e-17	1.45e-18
58732.48	19.75	0.05	3.42e-17	1.59e-18
58735.48	19.67	0.06	3.68e-17	2.19e-18
58738.40	19.82	0.16	3.20e-17	4.67e-18
58740.52	19.72	0.21	3.50e-17	6.69e-18
58740.52	20.26	nan	2.13e-17	nan
58741.42	20.16	nan	2.33e-17	nan
58748.38	19.71	0.08	3.53e-17	2.74e-18
58748.38	19.66	0.08	3.72e-17	2.70e-18
58749.30	19.63	0.08	3.80e-17	2.82e-18
58757.52	19.67	0.10	3.68e-17	3.42e-18
58760.33	19.78	0.08	3.32e-17	2.42e-18
58761.42	19.57	0.07	4.04e-17	2.57e-18
58761.42	19.62	0.07	3.86e-17	2.37e-18
58763.36	19.71	0.07	3.54e-17	2.22e-18
58766.49	19.65	0.09	3.75e-17	3.22e-18
58769.34	20.05	nan	2.58e-17	nan
58773.32	19.82	0.17	3.20e-17	5.07e-18
58773.32	19.85	0.17	3.10e-17	4.79e-18
58774.28	20.20	nan	2.26e-17	nan
58774.28	19.68	0.21	3.62e-17	7.04e-18
58774.29	19.78	0.18	3.31e-17	5.46e-18
58775.34	19.61	0.09	3.89e-17	3.23e-18
58775.34	19.71	0.10	3.52e-17	3.31e-18
58776.32	19.51	0.10	4.25e-17	3.89e-18
58776.32	19.75	0.13	3.40e-17	3.93e-18
58777.29	19.64	0.12	3.79e-17	4.06e-18
58777.45	19.62	0.16	3.84e-17	5.55e-18
58777.45	19.53	0.12	4.19e-17	4.70e-18
58781.32	20.11	nan	2.45e-17	nan
58787.27	19.66	0.15	3.71e-17	5.23e-18
58787.27	19.87	0.17	3.04e-17	4.81e-18
58793.36	19.49	0.08	4.34e-17	3.19e-18
58796.29	19.74	0.20	3.43e-17	6.26e-18
58800.32	19.91	nan	2.95e-17	nan
58803.30	19.68	0.14	3.64e-17	4.54e-18
58803.34	19.72	0.16	3.50e-17	5.07e-18
58803.34	19.47	0.13	4.41e-17	5.24e-18
58803.34	19.71	0.15	3.53e-17	4.85e-18
58806.25	19.81	0.08	3.22e-17	2.40e-18
58811.30	19.96	0.20	2.81e-17	5.17e-18
58812.23	19.62	0.07	3.84e-17	2.53e-18
58812.23	19.63	0.07	3.81e-17	2.61e-18
58812.29	19.63	0.07	3.82e-17	2.37e-18
58814.19	19.53	0.19	4.18e-17	7.41e-18
58819.25	19.13	nan	6.05e-17	nan
58828.29	17.87	nan	1.93e-16	nan
58828.29	18.59	nan	9.95e-17	nan
58833.23	19.62	0.11	3.83e-17	3.97e-18
58836.09	19.99	0.18	2.75e-17	4.53e-18
58846.13	19.51	0.11	4.25e-17	4.27e-18
58850.13	19.46	nan	4.44e-17	nan
58856.15	19.67	0.12	3.68e-17	4.12e-18
58859.17	19.62	0.14	3.84e-17	4.97e-18
58859.22	19.60	0.15	3.93e-17	5.35e-18
58860.18	20.54	nan	1.64e-17	nan
58860.20	19.45	0.16	4.50e-17	6.71e-18
58860.20	19.61	0.18	3.86e-17	6.31e-18
58861.18	19.60	0.13	3.91e-17	4.81e-18
58861.18	19.61	0.13	3.88e-17	4.81e-18
58861.18	19.58	0.13	3.99e-17	4.94e-18
58867.11	20.06	nan	2.57e-17	nan
58872.14	19.58	0.07	3.97e-17	2.41e-18
58873.16	19.60	0.06	3.90e-17	2.32e-18
58874.15	19.49	nan	4.34e-17	nan
58875.12	19.72	0.06	3.49e-17	2.00e-18
58876.12	19.72	0.08	3.51e-17	2.68e-18
58877.14	19.74	0.11	3.44e-17	3.46e-18
58877.14	19.58	0.09	3.98e-17	3.12e-18
58884.13	19.88	nan	3.03e-17	nan
58884.15	20.08	nan	2.52e-17	nan
58885.15	19.54	0.19	4.16e-17	7.27e-18
58886.12	19.60	0.13	3.91e-17	4.82e-18
58887.11	19.77	0.14	3.34e-17	4.26e-18
58887.11	19.67	0.12	3.66e-17	3.97e-18
58891.11	19.63	0.10	3.81e-17	3.40e-18
58891.12	19.64	0.09	3.76e-17	3.18e-18
58892.14	19.73	0.09	3.46e-17	2.97e-18
58894.13	19.66	0.07	3.72e-17	2.51e-18
58894.14	19.71	0.09	3.55e-17	2.88e-18
58895.11	19.71	0.09	3.53e-17	2.81e-18
58896.14	19.63	0.11	3.80e-17	3.68e-18
58899.11	19.63	0.11	3.80e-17	3.74e-18
58900.15	19.04	nan	6.54e-17	nan
58905.12	19.77	0.21	3.34e-17	6.41e-18
58913.16	19.67	nan	3.66e-17	nan
59051.42	19.59	0.08	3.96e-17	2.97e-18
59052.44	19.66	0.07	3.69e-17	2.37e-18
59053.49	19.65	0.09	3.72e-17	3.02e-18
59054.42	19.56	0.09	4.06e-17	3.24e-18
59054.42	19.88	0.13	3.02e-17	3.49e-18
59057.46	19.71	0.08	3.55e-17	2.47e-18
59059.46	19.68	0.05	3.63e-17	1.81e-18
59060.44	19.83	0.08	3.17e-17	2.35e-18
59061.44	19.66	0.07	3.69e-17	2.50e-18
59061.44	19.85	0.09	3.12e-17	2.67e-18
59061.44	19.85	0.09	3.11e-17	2.71e-18
59062.48	19.74	0.08	3.44e-17	2.46e-18
59062.50	19.83	0.12	3.16e-17	3.47e-18
59063.40	20.17	nan	2.31e-17	nan
59063.40	20.07	nan	2.54e-17	nan
59064.44	19.67	0.19	3.68e-17	6.32e-18
59064.45	19.52	0.18	4.23e-17	6.82e-18
59065.45	20.26	nan	2.14e-17	nan
59066.48	19.85	0.17	3.11e-17	4.94e-18
59066.49	19.68	0.14	3.64e-17	4.61e-18
59067.44	19.62	0.12	3.84e-17	4.34e-18
59068.43	19.72	0.14	3.49e-17	4.35e-18
59069.47	19.59	0.08	3.97e-17	3.09e-18
59073.46	20.05	0.13	2.59e-17	3.16e-18
59075.47	19.69	0.07	3.62e-17	2.21e-18
59075.47	19.71	0.08	3.53e-17	2.44e-18
59076.43	19.77	0.09	3.35e-17	2.90e-18
59077.48	19.71	0.09	3.53e-17	3.03e-18
59077.49	19.72	0.07	3.49e-17	2.11e-18
59079.45	17.29	nan	3.27e-16	nan
59079.45	19.47	nan	4.43e-17	nan
59080.50	19.70	0.07	3.56e-17	2.43e-18
59081.42	19.72	0.08	3.51e-17	2.46e-18
59082.48	19.79	0.09	3.28e-17	2.78e-18
59082.49	19.58	0.07	3.99e-17	2.52e-18
59083.47	19.82	0.10	3.18e-17	2.81e-18
59084.48	19.81	0.06	3.23e-17	1.78e-18
59085.49	19.66	0.04	3.71e-17	1.33e-18
59086.45	19.71	0.06	3.53e-17	1.94e-18
59086.45	19.65	0.05	3.73e-17	1.81e-18
59086.46	19.71	0.07	3.54e-17	2.13e-18
59087.45	19.63	0.07	3.82e-17	2.39e-18
59087.45	19.69	0.07	3.60e-17	2.29e-18
59088.44	12.29	nan	3.30e-14	nan
59088.44	19.69	0.08	3.61e-17	2.71e-18
59089.47	19.65	0.09	3.73e-17	2.94e-18
59089.48	12.37	nan	3.06e-14	nan
59090.47	19.69	0.05	3.61e-17	1.80e-18
59090.47	12.43	nan	2.88e-14	nan
59090.49	12.43	nan	2.89e-14	nan
59090.51	19.70	0.11	3.58e-17	3.55e-18
59090.51	19.64	0.10	3.78e-17	3.43e-18
59090.51	19.54	0.08	4.14e-17	3.07e-18
59091.46	12.48	nan	2.77e-14	nan
59091.48	19.67	0.05	3.66e-17	1.54e-18
59093.38	12.42	nan	2.93e-14	nan
59093.38	12.43	nan	2.90e-14	nan
59093.38	19.63	0.20	3.80e-17	6.95e-18
59093.38	19.65	0.18	3.74e-17	6.04e-18
59094.39	19.90	nan	2.96e-17	nan
59094.40	20.03	nan	2.63e-17	nan
59094.40	20.07	nan	2.53e-17	nan
59094.42	12.34	nan	3.14e-14	nan
59094.43	19.49	0.21	4.32e-17	8.37e-18
59094.44	20.16	nan	2.34e-17	nan
59094.44	12.38	nan	3.03e-14	nan
59095.44	20.27	nan	2.12e-17	nan
59095.44	20.33	nan	2.01e-17	nan
59095.44	12.41	nan	2.94e-14	nan
59095.44	12.43	nan	2.88e-14	nan
59095.46	19.56	0.19	4.07e-17	7.17e-18
59095.46	19.55	0.19	4.11e-17	7.29e-18
59096.38	20.38	nan	1.90e-17	nan
59096.39	20.40	nan	1.87e-17	nan
59096.39	19.54	0.18	4.13e-17	6.93e-18
59096.40	12.43	nan	2.88e-14	nan
59102.45	19.55	nan	4.12e-17	nan
59102.45	19.68	nan	3.63e-17	nan
59102.45	19.72	nan	3.50e-17	nan
59102.45	11.88	nan	4.82e-14	nan
59104.42	19.66	0.18	3.70e-17	6.30e-18
59104.46	11.89	nan	4.73e-14	nan
59107.42	12.07	nan	4.03e-14	nan
