mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58353.46,7.96e-17,1.24e-18,8.186833333333332e-17,2.4181111111111115e-18
58354.32,8.89e-17,4.14e-18,8.1875e-17,2.420388888888889e-18
58354.42,7.85e-17,3.39e-18,8.1815e-17,2.491333333333333e-18
58355.36,8.659999999999999e-17,9.175e-18,8.196833333333334e-17,2.580611111111111e-18
58355.44,8.41e-17,4.28e-18,8.190833333333335e-17,2.6959999999999994e-18
58355.45,8.6e-17,4.04e-18,8.197833333333333e-17,2.669277777777777e-18
58356.4,8.73e-17,5.38e-18,8.203166666666666e-17,2.655555555555555e-18
58356.47,8.39e-17,6.33e-18,8.209499999999999e-17,2.7010555555555554e-18
58360.35,8.640000000000001e-17,6.425e-18,8.2095e-17,2.693222222222222e-18
58361.31,7.98e-17,2.34e-18,8.207833333333333e-17,2.6912777777777763e-18
58362.34,8.47e-17,1.86e-18,8.207166666666667e-17,2.6639999999999983e-18
58362.38,8.15e-17,1.29e-18,8.201166666666666e-17,2.690055555555554e-18
58363.43,8.475e-17,2.2399999999999996e-18,8.184e-17,2.7104999999999984e-18
58363.46,8.11e-17,2.22e-18,8.166666666666667e-17,2.8178333333333317e-18
58364.34,8.36e-17,1.52e-18,8.142333333333334e-17,2.7679444444444422e-18
58365.35,8.02e-17,1.07e-18,8.16e-17,2.548555555555553e-18
58366.37,7.81e-17,8.835e-19,8.148333333333333e-17,2.6103333333333315e-18
58367.37,8.45e-17,6.9e-19,8.117666666666667e-17,2.3903333333333315e-18
58368.34,7.76e-17,7.43e-19,8.122333333333333e-17,2.2853333333333316e-18
58369.36,7.890000000000001e-17,6.03e-19,8.092666666666667e-17,2.1997777777777767e-18
58370.4,7.93e-17,6.38e-19,8.129666666666667e-17,2.6493333333333326e-18
58371.4,8.25e-17,7.32e-19,8.105333333333333e-17,2.5376111111111096e-18
58372.35,7.93e-17,1.28e-18,8.068e-17,2.4655555555555542e-18
58372.37,7.97e-17,8.525000000000001e-19,8.049333333333333e-17,2.4344999999999985e-18
58373.33,7.98e-17,8e-19,8.034333333333333e-17,2.3907777777777763e-18
58374.32,7.83e-17,2.3e-18,8.023333333333334e-17,2.3949444444444427e-18
58375.36,7.785e-17,6.24e-19,8.002833333333333e-17,2.313555555555554e-18
58376.34,7.68e-17,9.5e-19,8.077833333333333e-17,3.1361666666666653e-18
58377.31,7.82e-17,6.41e-19,8.050333333333333e-17,3.1139999999999986e-18
58378.39,8.02e-17,5.180000000000001e-19,8.044333333333333e-17,3.113722222222221e-18
58379.39,7.61e-17,7.51e-19,8.022166666666667e-17,3.0926111111111098e-18
58380.32,7.97e-17,1.6e-18,8.012500000000001e-17,3.0762777777777766e-18
58382.35,7.99e-17,2.76e-18,8.0065e-17,3.0291666666666654e-18
58383.34,7.77e-17,3.56e-18,7.9765e-17,3.0106111111111097e-18
58388.27,7.87e-17,4.75e-18,7.937e-17,3.2074999999999997e-18
58389.3,7.61e-17,3.58e-18,7.920666666666666e-17,3.2448888888888887e-18
58389.33,7.83e-17,2.9e-18,7.917333333333334e-17,3.3210555555555556e-18
58390.25,8.19e-17,2.02e-18,7.890666666666666e-17,3.4941111111111114e-18
58390.26,7.65e-17,3.02e-18,7.890333333333333e-17,3.539222222222222e-18
58397.29,7.855e-17,1.235e-18,7.873666666666666e-17,3.594444444444445e-18
