mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58285.44	18.57	0.01	1.83e-16	2.47e-18
58288.42	18.55	0.03	1.86e-16	5.85e-18
58291.44	18.56	0.01	1.83e-16	1.65e-18
58295.45	18.55	0.05	1.86e-16	9.15e-18
58298.46	18.54	0.08	1.88e-16	1.46e-17
58301.46	18.62	0.07	1.74e-16	1.12e-17
58318.44	18.50	0.01	1.95e-16	2.04e-18
58321.44	18.56	0.01	1.83e-16	1.43e-18
58324.44	18.56	0.08	1.83e-16	1.33e-17
58327.44	18.59	0.17	1.80e-16	2.75e-17
58333.46	18.46	0.05	2.01e-16	9.40e-18
58336.32	18.50	0.02	1.94e-16	2.74e-18
58340.37	18.86	0.10	1.40e-16	1.29e-17
58343.40	18.61	0.01	1.75e-16	1.84e-18
58344.42	18.62	0.00	1.75e-16	6.48e-19
58344.42	18.58	0.01	1.80e-16	1.71e-18
58346.38	18.63	0.00	1.73e-16	2.03e-19
58349.38	18.58	0.01	1.80e-16	1.08e-18
58352.38	18.55	0.03	1.85e-16	5.84e-18
58360.40	18.54	0.08	1.87e-16	1.30e-17
58360.42	12.39	nan	5.40e-14	nan
58363.34	18.58	0.03	1.81e-16	4.93e-18
58363.37	12.34	nan	5.65e-14	nan
58366.42	18.48	0.01	1.97e-16	2.53e-18
58369.32	18.55	0.00	1.85e-16	2.07e-19
58372.29	18.03	0.01	2.98e-16	2.25e-18
58375.31	17.67	0.01	4.17e-16	3.23e-18
58378.32	18.44	0.01	2.05e-16	2.48e-18
58382.25	18.44	0.05	2.05e-16	9.55e-18
58387.29	18.25	0.07	2.43e-16	1.49e-17
58388.37	12.35	nan	5.59e-14	nan
58390.30	18.18	0.04	2.61e-16	8.54e-18
58390.35	12.39	nan	5.39e-14	nan
58390.35	18.23	0.03	2.48e-16	7.84e-18
58423.22	18.63	0.02	1.73e-16	2.89e-18
58426.21	18.64	0.05	1.71e-16	7.16e-18
58429.21	18.61	0.01	1.76e-16	2.35e-18
58435.19	18.59	0.04	1.79e-16	6.24e-18
58438.23	17.78	nan	3.78e-16	nan
58457.12	18.63	0.04	1.73e-16	6.41e-18
58472.17	18.60	0.09	1.78e-16	1.43e-17
58482.14	18.68	0.06	1.65e-16	8.68e-18
58487.13	18.56	0.04	1.83e-16	6.03e-18
58644.44	18.37	0.02	2.19e-16	5.00e-18
58647.47	18.47	0.03	1.99e-16	5.34e-18
58651.48	18.63	0.12	1.72e-16	1.94e-17
58660.46	18.39	0.06	2.16e-16	1.29e-17
58669.46	18.32	0.02	2.28e-16	3.34e-18
58672.43	18.06	0.01	2.92e-16	3.88e-18
58675.45	18.25	0.01	2.45e-16	3.34e-18
58688.44	17.43	0.02	5.21e-16	7.33e-18
58695.43	18.42	0.01	2.09e-16	2.32e-18
