mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58288.46	18.24	0.02	1.37e-16	2.74e-18
58298.44	18.28	0.05	1.32e-16	6.58e-18
58301.46	18.25	0.04	1.36e-16	4.61e-18
58305.44	18.15	0.03	1.49e-16	3.66e-18
58312.42	18.29	0.01	1.31e-16	1.48e-18
58324.46	18.20	0.01	1.42e-16	1.95e-18
58327.42	18.09	0.11	1.57e-16	1.52e-17
58333.34	18.23	0.04	1.38e-16	4.81e-18
58335.43	18.14	0.01	1.50e-16	1.71e-18
58335.43	18.13	0.01	1.52e-16	1.58e-18
58335.44	18.11	0.01	1.54e-16	1.39e-18
58335.44	18.17	0.01	1.46e-16	1.52e-18
58336.40	18.12	0.01	1.53e-16	1.40e-18
58336.46	18.11	0.01	1.55e-16	1.14e-18
58336.46	18.10	0.01	1.56e-16	1.85e-18
58340.40	18.26	0.03	1.34e-16	3.20e-18
58343.37	18.27	0.00	1.34e-16	4.88e-19
58346.42	18.29	0.01	1.31e-16	9.20e-19
58349.35	18.22	0.01	1.40e-16	9.62e-19
58352.33	18.24	0.02	1.37e-16	2.56e-18
58353.36	18.18	0.02	1.44e-16	2.38e-18
58353.36	12.37	nan	3.04e-14	nan
58355.36	18.19	0.03	1.44e-16	4.52e-18
58355.44	18.23	0.04	1.38e-16	4.99e-18
58360.35	18.29	0.04	1.31e-16	4.70e-18
58362.36	12.38	nan	3.02e-14	nan
58363.43	18.20	0.02	1.43e-16	2.65e-18
58366.34	18.16	0.01	1.48e-16	7.76e-19
58369.36	18.20	0.01	1.42e-16	1.80e-18
58372.37	17.46	0.01	2.82e-16	2.30e-18
58375.36	17.32	0.01	3.21e-16	2.45e-18
58378.39	18.13	0.01	1.52e-16	1.35e-18
58382.32	18.12	0.02	1.53e-16	2.91e-18
58387.42	17.85	0.05	1.97e-16	9.49e-18
58389.32	17.69	0.02	2.28e-16	4.01e-18
58389.32	12.36	nan	3.08e-14	nan
58390.27	17.82	0.01	2.02e-16	2.69e-18
58426.24	18.34	0.02	1.25e-16	2.86e-18
58429.26	18.31	0.01	1.28e-16	8.86e-19
58432.26	18.24	0.02	1.37e-16	2.75e-18
58435.26	18.26	0.04	1.35e-16	5.44e-18
58438.23	17.57	nan	2.53e-16	nan
58443.11	18.28	0.03	1.32e-16	4.17e-18
58443.11	18.29	0.04	1.31e-16	4.91e-18
58457.15	18.33	0.04	1.26e-16	4.30e-18
58475.16	18.27	0.05	1.33e-16	6.24e-18
58482.10	18.21	0.04	1.41e-16	5.77e-18
58492.12	17.94	nan	1.80e-16	nan
58510.09	18.23	0.10	1.39e-16	1.22e-17
58510.10	18.08	0.06	1.58e-16	9.20e-18
58510.10	18.19	0.07	1.43e-16	9.64e-18
58510.11	18.18	0.06	1.45e-16	8.19e-18
58511.09	18.25	0.06	1.35e-16	7.93e-18
58511.10	18.14	0.05	1.51e-16	7.18e-18
58511.10	18.36	0.06	1.23e-16	6.93e-18
58511.11	18.14	0.06	1.51e-16	8.26e-18
58514.10	18.27	0.04	1.33e-16	4.74e-18
58514.11	18.23	0.04	1.39e-16	4.73e-18
58655.44	18.15	0.05	1.49e-16	6.36e-18
58666.42	17.97	0.01	1.76e-16	1.82e-18
58669.44	18.03	0.01	1.66e-16	1.52e-18
58672.46	17.72	0.01	2.22e-16	1.64e-18
58675.48	17.97	0.01	1.75e-16	2.14e-18
58678.48	17.92	0.01	1.83e-16	1.44e-18
58681.43	17.35	0.02	3.10e-16	6.29e-18
58688.41	16.99	0.01	4.32e-16	4.25e-18
58691.42	17.68	0.01	2.29e-16	1.97e-18
58694.38	17.98	0.01	1.74e-16	1.51e-18
58697.42	17.89	0.01	1.90e-16	1.03e-18
58700.40	17.76	0.01	2.14e-16	9.92e-19
58707.46	17.72	0.01	2.21e-16	1.96e-18
58710.38	17.85	0.03	1.96e-16	6.28e-18
58715.38	18.00	0.03	1.71e-16	4.30e-18
58716.40	18.06	0.01	1.62e-16	1.57e-18
58718.37	18.18	0.03	1.44e-16	4.13e-18
58719.44	18.09	0.01	1.58e-16	1.20e-18
58719.44	18.08	0.00	1.59e-16	6.15e-19
58719.44	18.13	0.02	1.52e-16	2.27e-18
58721.44	18.39	0.19	1.20e-16	2.10e-17
58724.40	18.13	0.02	1.51e-16	2.20e-18
58730.38	18.21	0.01	1.41e-16	1.66e-18
58737.33	18.19	0.05	1.44e-16	6.28e-18
58743.34	18.26	0.06	1.34e-16	7.41e-18
58748.33	18.18	0.01	1.45e-16	1.79e-18
58748.33	18.19	0.01	1.43e-16	1.02e-18
58748.36	18.22	0.02	1.40e-16	2.75e-18
58749.28	18.21	0.01	1.41e-16	1.36e-18
58757.29	18.30	0.02	1.30e-16	2.22e-18
58760.29	18.32	0.02	1.28e-16	2.51e-18
58764.40	18.25	0.03	1.36e-16	3.36e-18
58770.25	18.32	0.08	1.27e-16	9.77e-18
58770.33	18.16	0.08	1.47e-16	1.05e-17
58770.33	18.19	0.07	1.44e-16	9.82e-18
58771.31	18.24	0.07	1.36e-16	8.30e-18
58771.31	18.19	0.06	1.44e-16	7.99e-18
58773.23	18.29	0.13	1.31e-16	1.61e-17
58773.25	18.29	0.09	1.31e-16	1.14e-17
58773.25	18.24	0.05	1.37e-16	5.89e-18
58774.23	18.29	0.02	1.31e-16	2.90e-18
58774.23	18.25	0.02	1.36e-16	3.03e-18
58777.20	18.31	0.03	1.29e-16	3.26e-18
58781.25	18.31	0.05	1.29e-16	5.61e-18
58785.25	18.29	0.03	1.31e-16	3.12e-18
58789.23	18.29	0.03	1.31e-16	3.34e-18
58790.21	18.30	0.03	1.29e-16	3.58e-18
58790.21	18.33	0.00	1.26e-16	4.80e-19
58790.21	18.31	0.00	1.29e-16	5.30e-19
58792.18	18.25	0.03	1.35e-16	4.09e-18
58797.11	18.27	0.07	1.34e-16	8.53e-18
58800.25	18.25	0.07	1.36e-16	8.40e-18
58803.23	18.27	0.03	1.34e-16	4.27e-18
58806.21	18.26	0.04	1.35e-16	5.26e-18
58811.15	18.35	0.03	1.24e-16	3.33e-18
58814.15	18.31	0.05	1.29e-16	5.62e-18
58820.11	18.85	nan	7.82e-17	nan
58831.07	18.37	0.05	1.21e-16	5.30e-18
58835.09	18.26	0.09	1.35e-16	1.10e-17
58838.09	18.29	0.03	1.31e-16	3.29e-18
58852.15	18.26	0.04	1.34e-16	4.33e-18
58856.13	18.41	0.04	1.17e-16	4.23e-18
58860.14	18.37	0.08	1.21e-16	8.75e-18
58863.09	18.31	0.04	1.28e-16	4.25e-18
58872.09	18.32	0.05	1.27e-16	5.30e-18
58872.10	18.33	0.05	1.26e-16	6.09e-18
58872.10	18.29	0.05	1.31e-16	5.69e-18
58872.11	18.35	0.07	1.23e-16	8.14e-18
58873.09	18.34	0.06	1.25e-16	6.65e-18
58874.10	18.28	0.11	1.32e-16	1.34e-17
58874.10	18.39	0.12	1.19e-16	1.34e-17
58874.11	18.49	0.08	1.09e-16	7.90e-18
58876.10	18.25	0.19	1.36e-16	2.40e-17
58876.10	18.37	0.13	1.22e-16	1.49e-17
58876.11	18.34	nan	1.25e-16	nan
58878.09	18.23	0.13	1.39e-16	1.66e-17
58878.10	18.34	0.18	1.25e-16	2.08e-17
58878.10	18.42	0.20	1.16e-16	2.08e-17
59024.48	18.27	0.03	1.33e-16	3.18e-18
59033.36	18.31	0.06	1.29e-16	7.41e-18
59036.38	18.27	0.06	1.33e-16	7.25e-18
59042.46	18.32	0.03	1.27e-16	3.27e-18
59045.36	18.35	0.02	1.24e-16	1.73e-18
59048.42	18.35	0.01	1.24e-16	1.26e-18
59049.39	18.34	0.01	1.25e-16	1.24e-18
59051.40	18.38	0.01	1.20e-16	1.04e-18
59054.40	18.34	0.01	1.25e-16	1.12e-18
59057.45	18.32	0.00	1.27e-16	4.09e-19
59060.42	18.34	0.01	1.24e-16	1.23e-18
59061.35	18.34	0.02	1.25e-16	1.73e-18
59061.36	18.31	0.03	1.29e-16	3.10e-18
59063.40	18.33	0.04	1.26e-16	5.20e-18
59064.39	18.39	0.06	1.20e-16	6.16e-18
59064.41	18.32	0.06	1.27e-16	6.45e-18
59074.43	17.55	nan	2.59e-16	nan
59074.43	17.40	nan	2.98e-16	nan
59074.43	18.24	nan	1.37e-16	nan
59076.37	18.26	0.01	1.35e-16	1.19e-18
59076.37	18.25	0.01	1.35e-16	1.36e-18
59076.38	18.31	0.01	1.28e-16	1.03e-18
59079.41	18.26	0.01	1.35e-16	1.65e-18
59079.41	18.25	0.01	1.36e-16	1.74e-18
59079.41	18.35	0.01	1.24e-16	9.96e-19
59079.42	18.32	0.01	1.28e-16	1.25e-18
59081.41	18.26	0.01	1.34e-16	1.16e-18
59081.41	18.27	0.01	1.33e-16	1.52e-18
59082.46	18.26	0.03	1.35e-16	3.47e-18
59086.37	18.28	0.02	1.32e-16	2.13e-18
59086.37	18.25	0.02	1.36e-16	2.17e-18
59086.37	18.29	0.01	1.31e-16	1.21e-18
59087.36	18.28	0.02	1.32e-16	1.93e-18
59098.34	18.27	0.03	1.34e-16	4.05e-18
59098.37	18.27	0.04	1.33e-16	4.32e-18
59098.37	18.25	0.03	1.36e-16	3.67e-18
59098.37	18.22	0.03	1.40e-16	3.81e-18
59099.35	18.25	0.02	1.35e-16	2.40e-18
59099.35	18.23	0.03	1.38e-16	3.87e-18
59099.35	18.26	0.03	1.35e-16	3.85e-18
59107.30	18.26	0.02	1.35e-16	3.07e-18
59110.27	18.22	0.03	1.39e-16	4.49e-18
59113.30	18.25	0.01	1.35e-16	1.47e-18
59113.31	18.21	0.01	1.41e-16	1.53e-18
59113.31	18.21	0.01	1.41e-16	1.41e-18
59113.31	18.26	0.01	1.34e-16	1.25e-18
59115.33	18.23	0.01	1.38e-16	1.22e-18
59115.33	18.19	0.01	1.44e-16	1.59e-18
59116.32	18.29	0.01	1.30e-16	1.01e-18
59118.27	18.26	0.01	1.35e-16	1.16e-18
59118.27	18.18	0.01	1.45e-16	9.19e-19
59118.27	18.28	0.02	1.32e-16	2.35e-18
59125.29	18.20	0.04	1.43e-16	5.42e-18
59127.32	18.05	nan	1.63e-16	nan
59127.32	18.01	nan	1.69e-16	nan
59129.23	18.27	0.02	1.33e-16	2.41e-18
59130.28	18.22	0.01	1.40e-16	1.91e-18
59130.28	18.25	0.02	1.35e-16	2.15e-18
59131.23	18.26	0.02	1.35e-16	2.37e-18
59134.30	18.24	0.02	1.37e-16	2.62e-18
59137.19	18.32	0.01	1.27e-16	1.38e-18
59139.25	18.31	0.01	1.29e-16	1.60e-18
59139.26	18.31	0.01	1.28e-16	8.10e-19
59139.26	18.35	0.01	1.24e-16	8.74e-19
59141.17	18.27	0.02	1.34e-16	2.35e-18
59141.18	18.30	0.01	1.30e-16	1.55e-18
59141.18	18.36	0.02	1.23e-16	2.39e-18
59143.21	18.33	0.00	1.27e-16	5.45e-19
59145.18	18.30	0.02	1.29e-16	1.83e-18
59147.29	17.47	nan	2.78e-16	nan
59152.21	18.30	0.05	1.30e-16	5.85e-18
59154.17	18.27	0.04	1.33e-16	5.09e-18
59156.20	18.30	0.04	1.30e-16	4.49e-18
59158.23	18.37	0.03	1.21e-16	3.72e-18
59164.17	18.30	0.05	1.30e-16	6.26e-18
59167.21	18.29	0.02	1.31e-16	2.45e-18
59169.17	18.30	0.03	1.29e-16	3.17e-18
59171.19	18.26	0.02	1.34e-16	2.23e-18
59173.22	18.29	0.02	1.31e-16	1.84e-18
59175.16	18.01	nan	1.69e-16	nan
59179.11	18.33	0.03	1.26e-16	3.90e-18
59181.11	18.31	0.06	1.28e-16	6.63e-18
