mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58475.11	18.71	0.09	1.60e-16	1.26e-17
58475.11	12.41	nan	5.30e-14	nan
58475.11	18.78	0.09	1.51e-16	1.27e-17
58481.27	18.91	0.05	1.33e-16	6.07e-18
58481.27	12.38	nan	5.44e-14	nan
58483.16	18.79	0.03	1.48e-16	4.06e-18
58483.16	12.45	nan	5.12e-14	nan
58483.16	18.80	0.03	1.47e-16	3.58e-18
58487.15	18.78	0.03	1.51e-16	3.89e-18
58487.15	12.45	nan	5.12e-14	nan
58487.15	12.43	nan	5.21e-14	nan
58487.15	18.81	0.03	1.46e-16	3.67e-18
58491.16	12.43	nan	5.21e-14	nan
58491.16	18.86	0.03	1.39e-16	4.27e-18
58491.17	12.44	nan	5.14e-14	nan
58491.17	18.78	0.03	1.49e-16	4.29e-18
58492.17	18.77	nan	1.52e-16	nan
58492.17	10.47	nan	3.15e-13	nan
58493.19	12.36	nan	5.53e-14	nan
58493.19	18.82	0.03	1.45e-16	4.27e-18
58494.15	18.85	0.04	1.41e-16	4.57e-18
58494.15	12.39	nan	5.39e-14	nan
58494.16	12.41	nan	5.28e-14	nan
58494.16	18.70	0.03	1.62e-16	4.01e-18
58495.17	10.74	nan	2.46e-13	nan
58495.17	19.13	nan	1.09e-16	nan
58503.17	12.41	nan	5.28e-14	nan
58503.17	18.70	0.09	1.62e-16	1.27e-17
58503.20	12.35	nan	5.58e-14	nan
58503.20	18.75	0.10	1.55e-16	1.49e-17
58505.15	12.42	nan	5.26e-14	nan
58505.15	18.85	0.09	1.41e-16	1.20e-17
58507.15	18.74	0.03	1.55e-16	4.39e-18
58507.15	12.43	nan	5.21e-14	nan
58509.19	12.35	nan	5.58e-14	nan
58509.19	18.82	0.07	1.44e-16	8.89e-18
58510.15	12.31	nan	5.83e-14	nan
58510.15	18.78	0.05	1.51e-16	7.63e-18
58510.16	18.84	0.06	1.42e-16	7.30e-18
58510.16	12.31	nan	5.80e-14	nan
58511.15	12.34	nan	5.64e-14	nan
58511.15	18.79	0.04	1.48e-16	5.94e-18
58514.17	12.23	nan	6.24e-14	nan
58514.19	11.81	nan	9.23e-14	nan
58522.14	12.36	nan	5.58e-14	nan
58522.14	18.79	0.05	1.49e-16	6.57e-18
58523.12	18.72	0.04	1.59e-16	5.53e-18
58539.13	12.30	nan	5.86e-14	nan
58539.13	18.74	0.04	1.56e-16	5.72e-18
58540.13	12.30	nan	5.87e-14	nan
58540.13	18.80	0.05	1.47e-16	6.16e-18
58540.13	12.31	nan	5.84e-14	nan
58540.13	18.74	0.04	1.56e-16	6.37e-18
58691.48	18.57	0.04	1.82e-16	6.17e-18
58693.45	18.61	0.02	1.76e-16	3.67e-18
58694.44	18.63	0.02	1.73e-16	3.27e-18
58695.44	18.70	0.03	1.62e-16	3.81e-18
58695.46	18.62	0.02	1.74e-16	3.28e-18
58696.44	18.64	0.02	1.70e-16	3.33e-18
58698.45	18.64	0.02	1.71e-16	3.74e-18
58700.50	18.56	0.04	1.84e-16	7.22e-18
58701.46	18.61	0.02	1.75e-16	3.86e-18
58704.44	18.69	0.03	1.64e-16	4.87e-18
58704.46	18.61	0.02	1.76e-16	4.01e-18
58705.50	18.61	0.03	1.75e-16	4.30e-18
58706.46	18.61	0.02	1.75e-16	3.19e-18
58707.44	18.59	0.03	1.79e-16	4.58e-18
58707.44	18.56	0.02	1.84e-16	3.70e-18
58711.49	18.48	0.06	1.98e-16	1.08e-17
58711.49	18.56	0.08	1.84e-16	1.30e-17
58713.48	18.67	0.08	1.65e-16	1.28e-17
58714.48	18.67	0.07	1.66e-16	1.03e-17
58714.48	18.70	0.07	1.62e-16	9.90e-18
58718.45	18.64	0.05	1.71e-16	7.95e-18
58724.46	18.63	0.03	1.72e-16	4.19e-18
58727.46	18.56	0.02	1.84e-16	3.69e-18
58730.46	18.59	0.03	1.79e-16	4.23e-18
58732.42	18.57	0.02	1.83e-16	2.96e-18
58734.48	18.63	0.02	1.73e-16	3.50e-18
58734.50	18.66	0.03	1.67e-16	4.23e-18
58735.44	18.62	0.03	1.74e-16	4.27e-18
58738.46	18.62	0.05	1.74e-16	8.68e-18
58741.50	18.47	0.08	2.00e-16	1.54e-17
58745.50	18.58	0.09	1.81e-16	1.44e-17
58746.46	18.71	0.05	1.60e-16	7.72e-18
58746.46	18.50	0.04	1.95e-16	7.50e-18
58749.38	18.57	0.02	1.83e-16	3.33e-18
58749.38	18.63	0.02	1.72e-16	3.46e-18
58751.40	18.61	0.03	1.76e-16	4.84e-18
58756.42	18.57	0.02	1.82e-16	3.99e-18
58758.44	18.64	0.03	1.71e-16	4.37e-18
58758.44	18.63	0.02	1.72e-16	3.56e-18
58759.42	18.53	0.02	1.88e-16	3.35e-18
58760.45	18.65	0.03	1.69e-16	4.71e-18
58760.45	18.61	0.03	1.75e-16	4.63e-18
58763.41	18.59	0.02	1.79e-16	3.83e-18
58764.35	18.54	0.03	1.87e-16	4.77e-18
58764.35	18.55	0.03	1.85e-16	4.73e-18
58766.33	18.52	0.06	1.91e-16	1.04e-17
58766.33	18.57	0.07	1.83e-16	1.13e-17
58766.40	18.55	0.05	1.85e-16	7.80e-18
58767.36	18.59	0.10	1.79e-16	1.72e-17
58768.42	18.71	0.08	1.60e-16	1.22e-17
58768.42	18.55	0.07	1.85e-16	1.13e-17
58769.48	18.35	0.13	2.23e-16	2.58e-17
58772.32	18.41	0.19	2.11e-16	3.79e-17
58781.39	18.54	0.04	1.88e-16	6.88e-18
58787.36	18.59	0.06	1.80e-16	1.01e-17
58790.29	18.60	0.03	1.77e-16	5.15e-18
58800.22	18.52	0.14	1.91e-16	2.43e-17
58803.23	18.46	0.06	2.01e-16	1.19e-17
58806.34	18.51	0.05	1.93e-16	8.07e-18
58811.21	18.53	0.03	1.88e-16	5.50e-18
58811.21	12.25	nan	6.14e-14	nan
58833.17	18.51	0.03	1.93e-16	5.49e-18
58836.13	18.46	0.03	2.01e-16	4.80e-18
58839.13	18.42	0.14	2.09e-16	2.69e-17
58850.17	18.47	0.04	2.00e-16	6.97e-18
58859.09	18.41	0.06	2.11e-16	1.17e-17
58862.14	18.51	0.02	1.93e-16	4.37e-18
58871.15	18.50	0.03	1.94e-16	6.20e-18
58874.15	18.41	0.04	2.11e-16	8.14e-18
58875.15	18.48	0.02	1.99e-16	4.27e-18
58875.16	18.55	0.02	1.86e-16	3.62e-18
58876.13	18.40	0.03	2.14e-16	6.09e-18
58882.10	18.42	0.06	2.10e-16	1.16e-17
58882.11	18.37	0.05	2.20e-16	9.27e-18
58885.11	18.36	0.05	2.21e-16	1.05e-17
58886.15	18.58	0.10	1.81e-16	1.66e-17
58887.19	18.54	0.09	1.86e-16	1.61e-17
58891.15	18.51	0.04	1.92e-16	6.67e-18
58894.17	18.44	0.03	2.06e-16	6.62e-18
58895.14	18.52	0.04	1.90e-16	6.96e-18
58900.14	18.49	0.05	1.96e-16	8.61e-18
58905.14	18.51	0.07	1.93e-16	1.17e-17
59053.43	18.64	0.03	1.70e-16	4.86e-18
59054.48	18.62	0.03	1.73e-16	4.37e-18
59056.45	18.61	0.03	1.76e-16	4.68e-18
59062.42	18.66	0.10	1.68e-16	1.60e-17
59063.44	18.55	0.09	1.86e-16	1.61e-17
59064.48	18.55	0.07	1.85e-16	1.25e-17
59066.42	18.63	0.10	1.72e-16	1.59e-17
