mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58320.48	18.52	0.02	1.06e-16	2.30e-18
58320.48	11.86	nan	4.87e-14	nan
58323.48	18.49	0.02	1.08e-16	1.56e-18
58323.48	12.30	nan	3.26e-14	nan
58330.42	18.49	0.10	1.09e-16	9.63e-18
58330.42	12.15	nan	3.75e-14	nan
58335.46	12.34	nan	3.13e-14	nan
58335.46	18.49	0.03	1.09e-16	3.09e-18
58338.50	12.34	nan	3.12e-14	nan
58338.50	18.46	0.01	1.12e-16	1.05e-18
58342.48	18.45	0.01	1.13e-16	1.37e-18
58342.48	12.27	nan	3.34e-14	nan
58345.48	18.50	0.01	1.08e-16	7.44e-19
58345.48	12.31	nan	3.24e-14	nan
58345.48	12.30	nan	3.25e-14	nan
58345.48	18.48	0.01	1.10e-16	9.73e-19
58346.46	12.26	nan	3.39e-14	nan
58346.46	18.53	0.00	1.05e-16	3.69e-19
58347.44	12.28	nan	3.33e-14	nan
58347.44	18.53	0.01	1.04e-16	7.44e-19
58348.42	12.27	nan	3.35e-14	nan
58348.42	18.52	0.00	1.06e-16	2.98e-19
58348.42	12.26	nan	3.39e-14	nan
58348.42	18.51	0.01	1.06e-16	5.24e-19
58349.50	18.52	0.01	1.06e-16	6.60e-19
58349.50	12.34	nan	3.13e-14	nan
58351.49	18.51	0.02	1.07e-16	1.50e-18
58351.49	12.35	nan	3.11e-14	nan
58351.49	18.54	0.02	1.04e-16	1.48e-18
58351.49	12.35	nan	3.11e-14	nan
58352.50	18.49	0.01	1.09e-16	1.41e-18
58352.50	12.34	nan	3.13e-14	nan
58353.40	12.31	nan	3.22e-14	nan
58353.40	18.53	0.03	1.05e-16	2.84e-18
58353.48	12.39	nan	3.00e-14	nan
58353.48	18.49	0.01	1.09e-16	1.24e-18
58354.44	12.35	nan	3.10e-14	nan
58354.44	18.54	0.02	1.04e-16	2.36e-18
58354.44	12.36	nan	3.09e-14	nan
58354.44	18.57	0.03	1.01e-16	3.26e-18
58354.50	12.38	nan	3.03e-14	nan
58354.50	18.51	0.01	1.06e-16	1.23e-18
58355.39	18.50	0.04	1.08e-16	3.81e-18
58355.39	12.30	nan	3.24e-14	nan
58355.50	18.59	0.03	9.95e-17	2.41e-18
58355.50	12.37	nan	3.05e-14	nan
58356.38	18.47	0.05	1.11e-16	4.73e-18
58356.43	12.41	nan	2.94e-14	nan
58356.43	18.50	0.05	1.08e-16	4.89e-18
