mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58279.47	19.72	0.12	6.30e-17	7.10e-18
58280.45	12.26	nan	6.08e-14	nan
58282.42	19.66	0.10	6.70e-17	5.97e-18
58283.44	12.27	nan	6.05e-14	nan
58285.44	19.66	0.06	6.68e-17	3.81e-18
58286.44	12.32	nan	5.78e-14	nan
58288.42	19.54	0.11	7.48e-17	7.65e-18
58291.44	19.67	0.06	6.61e-17	3.38e-18
58292.44	12.35	nan	5.60e-14	nan
58294.38	19.87	nan	5.52e-17	nan
58295.45	12.34	nan	5.65e-14	nan
58297.46	19.39	0.21	8.58e-17	1.69e-17
58300.46	19.71	0.19	6.38e-17	1.10e-17
58301.46	12.36	nan	5.57e-14	nan
58306.46	11.96	nan	8.01e-14	nan
58313.46	19.73	0.06	6.26e-17	3.29e-18
58316.42	19.72	0.09	6.30e-17	5.04e-18
58318.42	12.38	nan	5.44e-14	nan
58319.42	19.61	0.04	6.99e-17	2.66e-18
58321.44	12.43	nan	5.21e-14	nan
58322.46	19.56	0.04	7.34e-17	2.85e-18
58327.44	11.95	nan	8.09e-14	nan
58333.46	12.33	nan	5.70e-14	nan
58333.46	19.57	0.13	7.25e-17	8.68e-18
58336.32	19.52	0.06	7.57e-17	4.16e-18
58336.33	12.35	nan	5.60e-14	nan
58340.37	19.66	0.19	6.70e-17	1.20e-17
58342.44	12.23	nan	6.25e-14	nan
58343.40	19.72	0.05	6.32e-17	2.74e-18
58344.41	19.56	0.04	7.33e-17	2.59e-18
58344.42	12.40	nan	5.34e-14	nan
58344.42	19.68	0.05	6.53e-17	2.90e-18
58345.40	19.63	0.05	6.85e-17	3.14e-18
58345.41	12.31	nan	5.84e-14	nan
58346.37	19.59	0.04	7.14e-17	2.81e-18
58346.37	19.66	0.04	6.70e-17	2.71e-18
58347.34	19.65	0.09	6.74e-17	5.35e-18
58348.40	19.59	0.05	7.14e-17	3.40e-18
58349.40	19.66	0.04	6.66e-17	2.69e-18
58349.40	19.65	0.04	6.73e-17	2.62e-18
58351.42	19.69	0.04	6.49e-17	2.37e-18
58351.42	12.38	nan	5.46e-14	nan
58352.38	19.55	0.11	7.38e-17	7.55e-18
58352.38	19.80	0.14	5.87e-17	7.69e-18
58360.40	12.45	nan	5.10e-14	nan
58360.40	19.48	0.19	7.89e-17	1.37e-17
58360.41	20.14	nan	4.28e-17	nan
58360.42	12.44	nan	5.14e-14	nan
58360.42	12.48	nan	4.96e-14	nan
58360.42	19.63	0.19	6.89e-17	1.23e-17
58361.43	19.62	0.12	6.94e-17	7.64e-18
58361.43	12.48	nan	4.98e-14	nan
58362.47	19.50	0.12	7.77e-17	8.69e-18
58363.31	19.60	0.11	7.09e-17	7.18e-18
58363.34	19.67	0.13	6.62e-17	7.81e-18
58363.36	12.39	nan	5.40e-14	nan
58363.37	12.43	nan	5.19e-14	nan
58363.37	12.38	nan	5.43e-14	nan
58364.29	19.65	0.07	6.73e-17	4.21e-18
58365.31	19.59	0.07	7.14e-17	4.30e-18
58366.40	12.43	nan	5.20e-14	nan
58366.40	19.61	0.05	6.96e-17	3.33e-18
58366.40	19.60	0.05	7.07e-17	3.06e-18
58367.30	19.55	0.06	7.36e-17	4.28e-18
58368.37	19.58	0.04	7.18e-17	2.71e-18
58369.32	19.54	0.04	7.46e-17	2.91e-18
58369.33	19.58	0.04	7.21e-17	2.89e-18
58369.33	12.42	nan	5.24e-14	nan
58370.37	19.62	0.04	6.89e-17	2.64e-18
58371.35	19.64	0.04	6.79e-17	2.49e-18
58372.29	19.75	0.05	6.15e-17	3.10e-18
58372.29	19.55	0.05	7.37e-17	3.30e-18
58372.40	12.42	nan	5.27e-14	nan
58373.36	19.61	0.05	6.97e-17	2.94e-18
58374.28	19.64	0.06	6.81e-17	3.86e-18
58375.31	19.64	0.05	6.80e-17	3.03e-18
58375.31	19.58	0.05	7.18e-17	3.00e-18
58375.31	12.44	nan	5.14e-14	nan
58376.33	19.72	0.06	6.32e-17	3.23e-18
58377.35	19.67	0.05	6.63e-17	2.77e-18
58378.32	19.72	0.05	6.29e-17	3.13e-18
58378.32	19.68	0.05	6.55e-17	3.09e-18
58378.34	12.43	nan	5.23e-14	nan
58379.35	19.66	0.05	6.70e-17	3.17e-18
58380.37	19.70	0.05	6.43e-17	3.25e-18
58382.39	19.55	0.11	7.39e-17	7.72e-18
58382.39	19.65	0.11	6.74e-17	7.03e-18
58383.28	19.62	0.19	6.93e-17	1.21e-17
58384.30	19.39	0.21	8.52e-17	1.61e-17
58384.33	20.01	nan	4.84e-17	nan
58384.33	12.43	nan	5.22e-14	nan
58388.32	19.81	0.19	5.83e-17	9.94e-18
58388.37	20.38	nan	3.45e-17	nan
58388.37	12.44	nan	5.17e-14	nan
58389.35	20.07	0.16	4.56e-17	6.85e-18
58390.30	19.62	0.13	6.95e-17	8.30e-18
58390.31	19.73	0.13	6.26e-17	7.41e-18
58390.34	12.49	nan	4.92e-14	nan
58390.34	19.78	0.10	5.96e-17	5.54e-18
58397.34	19.76	0.05	6.10e-17	3.07e-18
58397.34	19.63	0.05	6.88e-17	3.47e-18
58423.22	19.63	0.07	6.88e-17	4.23e-18
58423.22	19.67	0.07	6.64e-17	3.99e-18
58424.20	19.79	0.18	5.91e-17	1.01e-17
58425.18	19.54	0.06	7.48e-17	4.40e-18
58425.19	11.98	nan	7.89e-14	nan
58426.22	19.75	0.10	6.15e-17	5.80e-18
58426.22	19.65	0.09	6.76e-17	5.37e-18
58427.20	18.80	nan	1.48e-16	nan
58428.20	19.72	0.06	6.30e-17	3.59e-18
58428.20	12.46	nan	5.04e-14	nan
58429.21	19.71	0.05	6.39e-17	3.09e-18
58429.21	19.69	0.05	6.51e-17	3.24e-18
58430.26	19.67	0.05	6.64e-17	3.12e-18
58431.21	12.37	nan	5.49e-14	nan
58431.21	19.49	0.11	7.77e-17	7.69e-18
58432.23	19.61	0.08	7.00e-17	4.93e-18
58434.15	12.40	nan	5.34e-14	nan
58434.15	19.76	0.11	6.11e-17	6.07e-18
58435.21	19.72	0.10	6.33e-17	5.67e-18
58435.21	19.73	0.09	6.28e-17	5.30e-18
58436.23	19.91	0.16	5.30e-17	8.05e-18
58437.21	19.73	0.11	6.24e-17	6.04e-18
58437.24	12.43	nan	5.20e-14	nan
58438.23	17.88	nan	3.45e-16	nan
58442.24	18.27	nan	2.41e-16	nan
58443.31	12.35	nan	5.60e-14	nan
58443.31	19.86	nan	5.54e-17	nan
58443.31	12.28	nan	5.97e-14	nan
58457.12	19.65	0.12	6.71e-17	7.18e-18
58472.15	19.79	0.20	5.90e-17	1.06e-17
58474.10	19.68	0.17	6.53e-17	1.01e-17
58482.13	12.40	nan	5.36e-14	nan
58482.14	19.69	0.14	6.51e-17	8.43e-18
58486.15	19.66	0.13	6.66e-17	8.28e-18
58487.13	12.37	nan	5.49e-14	nan
58487.14	19.85	0.10	5.60e-17	4.94e-18
58487.14	19.84	0.10	5.64e-17	4.99e-18
58488.14	19.75	0.07	6.17e-17	4.21e-18
58490.10	19.67	0.10	6.62e-17	5.96e-18
58491.13	19.99	0.12	4.92e-17	5.62e-18
58491.13	19.90	0.10	5.37e-17	5.04e-18
58491.15	12.33	nan	5.72e-14	nan
58493.15	19.61	0.09	6.99e-17	5.97e-18
58505.16	19.33	nan	9.08e-17	nan
58505.16	12.19	nan	6.50e-14	nan
58505.16	19.26	nan	9.61e-17	nan
58510.13	12.15	nan	6.77e-14	nan
58510.13	20.15	nan	4.23e-17	nan
58510.13	19.93	nan	5.18e-17	nan
58511.13	19.88	nan	5.44e-17	nan
58643.46	19.93	0.12	5.19e-17	5.68e-18
58646.45	19.95	0.11	5.10e-17	5.26e-18
58649.47	19.77	0.16	6.02e-17	8.78e-18
58655.48	20.13	nan	4.31e-17	nan
58661.48	19.89	0.13	5.38e-17	6.63e-18
58669.46	19.89	0.07	5.42e-17	3.57e-18
58670.44	12.31	nan	5.79e-14	nan
58672.43	20.01	0.08	4.83e-17	3.39e-18
58673.48	12.36	nan	5.53e-14	nan
58675.45	20.01	0.07	4.82e-17	3.33e-18
58677.45	19.95	0.07	5.11e-17	3.09e-18
58678.44	19.92	0.11	5.25e-17	5.14e-18
58678.44	19.85	0.10	5.60e-17	5.00e-18
58679.45	12.33	nan	5.69e-14	nan
58679.45	19.60	0.13	7.04e-17	8.36e-18
58683.49	20.36	nan	3.49e-17	nan
58684.40	20.21	nan	4.03e-17	nan
58684.41	20.18	nan	4.14e-17	nan
58688.46	12.33	nan	5.70e-14	nan
58688.46	20.17	0.15	4.16e-17	5.73e-18
58688.46	20.03	0.15	4.74e-17	6.34e-18
58690.48	19.89	0.09	5.40e-17	4.53e-18
58691.46	19.84	0.08	5.67e-17	4.02e-18
58691.46	19.95	0.07	5.10e-17	3.40e-18
58691.50	19.98	0.15	4.98e-17	6.96e-18
58691.50	12.37	nan	5.51e-14	nan
58693.42	19.81	0.05	5.81e-17	2.83e-18
58694.46	19.96	0.06	5.05e-17	2.89e-18
58694.46	19.85	0.04	5.59e-17	2.30e-18
58694.46	12.37	nan	5.50e-14	nan
58695.43	19.80	0.06	5.89e-17	3.16e-18
58695.43	12.40	nan	5.37e-14	nan
58695.43	19.86	0.05	5.53e-17	2.37e-18
58695.43	12.40	nan	5.34e-14	nan
58695.43	19.86	0.05	5.56e-17	2.75e-18
58696.44	19.91	0.06	5.28e-17	2.74e-18
58697.46	12.33	nan	5.71e-14	nan
58698.46	19.77	0.05	6.05e-17	2.90e-18
58699.44	19.79	0.07	5.94e-17	3.59e-18
58700.46	12.35	nan	5.62e-14	nan
58700.48	19.88	0.06	5.47e-17	3.09e-18
58701.45	19.83	0.06	5.72e-17	2.96e-18
58703.46	19.77	0.07	6.00e-17	3.84e-18
58703.46	19.91	0.07	5.30e-17	3.27e-18
58704.42	19.88	0.08	5.45e-17	3.88e-18
58705.40	19.81	0.06	5.83e-17	3.36e-18
58707.43	19.80	0.07	5.88e-17	3.60e-18
58707.44	19.91	0.07	5.28e-17	3.30e-18
58708.46	19.75	0.11	6.16e-17	6.02e-18
58709.45	20.07	0.21	4.60e-17	8.78e-18
58709.45	12.36	nan	5.54e-14	nan
58710.46	20.04	nan	4.68e-17	nan
58715.50	12.32	nan	5.75e-14	nan
58718.41	19.77	0.10	6.03e-17	5.38e-18
58718.41	12.35	nan	5.62e-14	nan
58724.42	12.30	nan	5.85e-14	nan
58724.42	19.78	0.07	5.99e-17	3.71e-18
58727.38	19.79	0.06	5.90e-17	3.11e-18
58727.40	12.30	nan	5.85e-14	nan
58730.33	19.81	0.07	5.82e-17	3.80e-18
58733.37	12.33	nan	5.73e-14	nan
58733.37	19.68	0.06	6.55e-17	3.44e-18
58736.46	19.73	0.07	6.27e-17	4.12e-18
58736.46	12.27	nan	6.05e-14	nan
58739.50	19.48	nan	7.87e-17	nan
58742.51	18.61	nan	1.76e-16	nan
58743.38	12.28	nan	5.99e-14	nan
58746.38	12.30	nan	5.87e-14	nan
58748.25	19.62	0.08	6.91e-17	5.20e-18
58749.32	12.30	nan	5.85e-14	nan
58754.29	19.74	0.09	6.23e-17	5.11e-18
58754.29	12.30	nan	5.89e-14	nan
58760.35	19.86	0.08	5.57e-17	4.35e-18
58760.35	12.30	nan	5.89e-14	nan
58763.38	19.93	0.10	5.21e-17	4.83e-18
58764.31	12.35	nan	5.59e-14	nan
58764.31	19.95	0.13	5.13e-17	6.07e-18
58764.31	12.35	nan	5.58e-14	nan
58764.31	19.84	0.11	5.65e-17	5.77e-18
58764.32	12.30	nan	5.87e-14	nan
58766.29	12.33	nan	5.73e-14	nan
58766.31	19.89	nan	5.41e-17	nan
58766.38	12.25	nan	6.13e-14	nan
58766.38	20.11	nan	4.43e-17	nan
58766.38	12.35	nan	5.60e-14	nan
58766.38	19.99	nan	4.92e-17	nan
58766.38	12.31	nan	5.81e-14	nan
58772.28	19.74	nan	6.20e-17	nan
58772.28	12.15	nan	6.74e-14	nan
58772.28	19.90	nan	5.36e-17	nan
58772.28	12.18	nan	6.57e-14	nan
58772.28	12.15	nan	6.75e-14	nan
58783.21	12.33	nan	5.68e-14	nan
58783.21	19.78	0.09	5.97e-17	5.04e-18
58786.21	12.30	nan	5.85e-14	nan
58786.21	12.36	nan	5.56e-14	nan
58786.21	19.90	0.10	5.36e-17	5.18e-18
58786.21	19.99	0.13	4.90e-17	5.82e-18
58786.21	12.37	nan	5.50e-14	nan
58786.21	12.31	nan	5.83e-14	nan
58786.27	20.11	0.20	4.41e-17	7.97e-18
58789.21	19.98	0.10	4.98e-17	4.43e-18
58789.21	12.33	nan	5.71e-14	nan
58797.17	20.10	nan	4.47e-17	nan
58797.21	12.26	nan	6.08e-14	nan
58800.19	12.31	nan	5.82e-14	nan
58800.19	20.28	nan	3.76e-17	nan
58803.17	11.81	nan	9.24e-14	nan
58803.17	19.87	0.22	5.52e-17	1.10e-17
58806.17	10.20	nan	4.06e-13	nan
58806.18	19.86	0.10	5.56e-17	5.31e-18
58811.17	12.26	nan	6.07e-14	nan
58811.17	19.87	0.11	5.52e-17	5.71e-18
58814.11	11.26	nan	1.52e-13	nan
58814.11	19.66	nan	6.67e-17	nan
58820.15	11.90	nan	8.45e-14	nan
58820.17	19.86	nan	5.55e-17	nan
58828.09	12.23	nan	6.23e-14	nan
58828.09	20.05	nan	4.67e-17	nan
58838.13	19.66	0.21	6.66e-17	1.30e-17
58852.10	19.86	0.16	5.54e-17	8.22e-18
58852.11	12.31	nan	5.83e-14	nan
58863.11	12.39	nan	5.41e-14	nan
58863.12	19.71	0.10	6.39e-17	6.05e-18
58872.16	20.54	nan	2.97e-17	nan
58873.11	12.35	nan	5.62e-14	nan
58875.13	20.02	0.17	4.78e-17	7.60e-18
59024.38	19.79	0.19	5.90e-17	1.05e-17
59030.38	19.63	0.13	6.83e-17	8.44e-18
59033.45	19.75	0.13	6.16e-17	7.59e-18
59036.46	19.72	0.17	6.32e-17	9.69e-18
59036.46	12.49	nan	4.93e-14	nan
59039.36	20.07	nan	4.57e-17	nan
59043.36	19.58	0.11	7.20e-17	7.46e-18
59046.46	19.80	0.06	5.87e-17	3.21e-18
59052.46	19.72	0.04	6.34e-17	2.60e-18
59055.42	19.86	0.06	5.55e-17	3.32e-18
59056.44	12.42	nan	5.24e-14	nan
59060.46	12.48	nan	4.97e-14	nan
59060.46	19.70	0.05	6.42e-17	2.75e-18
59064.48	12.44	nan	5.14e-14	nan
59066.40	20.20	nan	4.05e-17	nan
59071.48	19.70	0.09	6.43e-17	5.07e-18
59071.48	12.54	nan	4.70e-14	nan
59071.48	19.74	0.08	6.22e-17	4.46e-18
59071.48	12.55	nan	4.65e-14	nan
59071.48	19.78	0.10	5.99e-17	5.74e-18
59073.38	19.57	0.07	7.27e-17	4.73e-18
59073.41	19.64	0.07	6.83e-17	4.55e-18
59073.41	12.52	nan	4.79e-14	nan
59073.41	19.84	0.07	5.67e-17	3.85e-18
59073.41	12.52	nan	4.78e-14	nan
59073.41	19.85	0.10	5.61e-17	5.09e-18
59075.41	12.39	nan	5.38e-14	nan
59075.41	19.72	0.06	6.34e-17	3.71e-18
59075.41	19.70	0.05	6.43e-17	3.03e-18
59075.41	12.44	nan	5.13e-14	nan
59075.41	19.93	0.09	5.23e-17	4.14e-18
59075.41	12.45	nan	5.09e-14	nan
59076.44	12.38	nan	5.44e-14	nan
59076.44	19.57	0.07	7.24e-17	4.62e-18
59077.41	19.74	0.05	6.18e-17	2.87e-18
59077.41	19.66	0.06	6.67e-17	3.52e-18
59077.41	12.44	nan	5.14e-14	nan
59077.41	12.45	nan	5.13e-14	nan
59077.41	19.80	0.06	5.87e-17	3.26e-18
59079.35	19.60	0.05	7.05e-17	3.48e-18
59080.43	19.68	0.08	6.56e-17	4.56e-18
59080.43	18.56	nan	1.84e-16	nan
59080.43	9.92	nan	5.23e-13	nan
59080.43	11.81	nan	9.18e-14	nan
59080.43	19.83	0.14	5.72e-17	7.21e-18
59082.38	19.77	nan	6.01e-17	nan
59082.39	19.54	0.15	7.44e-17	9.94e-18
59082.39	19.96	0.17	5.05e-17	7.97e-18
59082.39	11.83	nan	9.07e-14	nan
59082.39	11.79	nan	9.37e-14	nan
59082.39	19.65	0.12	6.72e-17	7.17e-18
59085.38	19.75	0.06	6.15e-17	3.42e-18
59085.41	19.87	0.06	5.52e-17	3.06e-18
59085.41	19.81	0.06	5.79e-17	3.12e-18
59085.41	12.42	nan	5.25e-14	nan
59085.41	12.42	nan	5.24e-14	nan
59085.41	19.70	0.05	6.45e-17	3.06e-18
59086.46	12.28	nan	5.99e-14	nan
59089.33	19.88	0.13	5.45e-17	6.32e-18
59089.35	12.35	nan	5.59e-14	nan
59089.35	19.92	0.11	5.26e-17	5.11e-18
59089.35	12.35	nan	5.59e-14	nan
59089.35	19.71	0.08	6.36e-17	4.96e-18
59089.36	12.31	nan	5.80e-14	nan
59089.38	12.32	nan	5.78e-14	nan
59090.33	19.64	0.15	6.82e-17	9.40e-18
59090.33	19.79	0.17	5.94e-17	9.43e-18
59090.33	12.41	nan	5.31e-14	nan
59090.33	12.41	nan	5.29e-14	nan
59090.33	20.09	0.21	4.47e-17	8.51e-18
59090.35	12.38	nan	5.43e-14	nan
59091.32	19.56	0.14	7.31e-17	9.17e-18
59091.33	19.60	0.16	7.06e-17	1.02e-17
59091.33	12.53	nan	4.74e-14	nan
59091.33	19.73	0.18	6.24e-17	1.06e-17
59091.33	12.55	nan	4.68e-14	nan
59091.36	12.48	nan	4.95e-14	nan
59092.36	20.38	nan	3.44e-17	nan
59092.36	12.50	nan	4.87e-14	nan
59092.36	19.76	0.22	6.11e-17	1.22e-17
59092.36	19.74	0.19	6.21e-17	1.11e-17
59092.36	12.49	nan	4.93e-14	nan
59107.35	19.88	0.10	5.45e-17	4.97e-18
59107.35	11.95	nan	8.11e-14	nan
59107.38	19.63	0.09	6.83e-17	5.47e-18
59107.38	11.95	nan	8.09e-14	nan
59107.38	19.59	0.09	7.11e-17	5.79e-18
59110.33	19.71	0.09	6.36e-17	5.47e-18
59110.33	12.06	nan	7.29e-14	nan
59111.37	19.72	0.07	6.34e-17	4.16e-18
59111.37	19.91	0.09	5.32e-17	4.19e-18
59111.37	12.37	nan	5.49e-14	nan
59113.36	12.35	nan	5.62e-14	nan
59113.36	19.81	0.07	5.81e-17	3.53e-18
59116.29	12.39	nan	5.39e-14	nan
59116.29	19.64	0.06	6.83e-17	3.87e-18
59117.28	19.72	0.07	6.29e-17	4.27e-18
59117.28	12.50	nan	4.89e-14	nan
59117.28	19.91	0.08	5.33e-17	3.84e-18
59117.28	12.50	nan	4.87e-14	nan
59117.28	19.67	0.07	6.64e-17	4.03e-18
59117.28	12.46	nan	5.05e-14	nan
59120.30	19.73	0.18	6.24e-17	1.05e-17
59120.30	12.51	nan	4.85e-14	nan
59120.30	19.95	0.21	5.09e-17	9.73e-18
59120.30	19.99	0.20	4.92e-17	9.03e-18
59120.30	12.50	nan	4.87e-14	nan
59121.34	19.65	0.19	6.75e-17	1.21e-17
59121.34	12.50	nan	4.90e-14	nan
59121.34	20.23	nan	3.94e-17	nan
59121.34	20.30	nan	3.70e-17	nan
59121.34	12.50	nan	4.88e-14	nan
59121.35	12.41	nan	5.28e-14	nan
59125.38	19.50	0.20	7.71e-17	1.42e-17
59127.21	17.94	nan	3.24e-16	nan
59128.29	12.33	nan	5.69e-14	nan
59128.30	12.39	nan	5.40e-14	nan
59128.30	19.67	0.13	6.60e-17	8.16e-18
59128.30	19.75	0.14	6.15e-17	7.75e-18
59128.30	12.40	nan	5.34e-14	nan
59129.33	19.88	0.12	5.45e-17	6.11e-18
59130.25	12.49	nan	4.94e-14	nan
59131.32	19.72	0.10	6.29e-17	5.63e-18
59134.25	19.83	0.08	5.68e-17	4.15e-18
59134.25	12.45	nan	5.12e-14	nan
59136.23	12.49	nan	4.91e-14	nan
59136.23	19.67	0.05	6.60e-17	3.21e-18
59138.23	12.33	nan	5.73e-14	nan
59138.23	19.60	0.07	7.05e-17	4.85e-18
59140.28	19.80	0.07	5.87e-17	3.54e-18
59144.32	12.36	nan	5.56e-14	nan
59144.32	19.84	0.05	5.65e-17	2.84e-18
59152.25	20.19	nan	4.08e-17	nan
59152.27	12.50	nan	4.89e-14	nan
59154.30	20.19	nan	4.10e-17	nan
59154.31	12.47	nan	5.03e-14	nan
59156.22	12.51	nan	4.82e-14	nan
59156.22	20.35	nan	3.54e-17	nan
59158.17	19.85	0.10	5.60e-17	4.98e-18
59158.19	12.49	nan	4.92e-14	nan
59164.23	19.71	0.11	6.36e-17	6.22e-18
59164.25	12.46	nan	5.07e-14	nan
59169.23	12.50	nan	4.89e-14	nan
59169.23	19.90	0.09	5.33e-17	4.34e-18
59171.24	12.44	nan	5.14e-14	nan
59171.24	19.76	0.08	6.08e-17	4.30e-18
59173.20	11.78	nan	9.43e-14	nan
59173.20	19.51	0.06	7.66e-17	4.24e-18
59175.21	18.20	nan	2.56e-16	nan
59179.17	20.52	nan	3.04e-17	nan
59180.15	12.46	nan	5.06e-14	nan
59181.15	19.46	0.19	8.05e-17	1.43e-17
59182.17	12.50	nan	4.86e-14	nan
59183.13	20.04	nan	4.69e-17	nan
59184.16	12.49	nan	4.91e-14	nan
59185.17	19.73	0.17	6.27e-17	9.98e-18
59187.12	19.80	0.08	5.85e-17	4.13e-18
59187.13	12.50	nan	4.86e-14	nan
59189.13	12.51	nan	4.83e-14	nan
59189.13	19.64	0.07	6.79e-17	4.67e-18
59192.17	19.30	nan	9.30e-17	nan
59194.21	19.88	0.11	5.43e-17	5.51e-18
59194.21	12.40	nan	5.33e-14	nan
59197.13	9.83	nan	5.70e-13	nan
59197.14	18.90	nan	1.34e-16	nan
59198.18	19.72	0.07	6.32e-17	4.06e-18
59199.17	12.46	nan	5.04e-14	nan
59200.19	19.64	0.15	6.79e-17	9.67e-18
59200.19	11.72	nan	1.00e-13	nan
59202.17	12.44	nan	5.14e-14	nan
59202.17	19.76	0.12	6.10e-17	6.76e-18
59203.15	12.45	nan	5.13e-14	nan
59203.15	19.60	0.15	7.04e-17	9.41e-18
59211.10	12.46	nan	5.05e-14	nan
59211.11	19.79	0.18	5.90e-17	9.90e-18
59216.13	12.21	nan	6.36e-14	nan
59216.13	19.85	0.12	5.60e-17	6.16e-18
59218.10	19.78	0.12	6.00e-17	6.64e-18
59220.15	19.76	0.10	6.07e-17	5.85e-18
59222.14	9.53	nan	7.52e-13	nan
59222.14	18.22	nan	2.51e-16	nan
59224.15	12.38	nan	5.44e-14	nan
