mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58282.48	18.82	0.10	8.03e-17	7.34e-18
58283.46	12.27	nan	3.34e-14	nan
58288.46	18.96	0.07	7.06e-17	4.46e-18
58289.46	12.31	nan	3.23e-14	nan
58291.46	18.84	0.02	7.90e-17	1.37e-18
58297.42	18.90	0.08	7.49e-17	5.78e-18
58298.44	12.24	nan	3.44e-14	nan
58300.44	18.97	0.07	6.97e-17	4.69e-18
58301.46	12.28	nan	3.33e-14	nan
58310.44	18.91	0.05	7.37e-17	3.06e-18
58312.44	12.20	nan	3.56e-14	nan
58313.40	18.89	0.03	7.54e-17	1.83e-18
58316.46	18.83	0.01	7.98e-17	8.69e-19
58319.46	18.86	0.01	7.71e-17	9.04e-19
58322.48	18.78	0.03	8.31e-17	1.97e-18
58324.46	12.28	nan	3.31e-14	nan
58325.46	18.84	0.06	7.92e-17	4.14e-18
58327.42	12.18	nan	3.64e-14	nan
58328.40	18.73	0.11	8.73e-17	9.15e-18
58333.34	18.95	0.09	7.10e-17	6.17e-18
58333.48	12.29	nan	3.27e-14	nan
58335.44	18.83	0.02	7.99e-17	1.31e-18
58335.44	18.86	0.02	7.76e-17	1.30e-18
58335.44	12.50	nan	2.70e-14	nan
58335.44	18.79	0.00	8.25e-17	1.84e-19
58335.44	12.51	nan	2.67e-14	nan
58335.44	18.80	0.02	8.14e-17	1.21e-18
58335.44	12.33	nan	3.18e-14	nan
58336.38	18.83	0.01	7.93e-17	9.48e-19
58336.42	12.37	nan	3.05e-14	nan
58336.46	12.34	nan	3.12e-14	nan
58336.46	18.80	0.01	8.15e-17	4.15e-19
58336.46	18.85	0.01	7.85e-17	4.72e-19
58340.40	18.83	0.03	7.99e-17	2.26e-18
58342.46	12.24	nan	3.46e-14	nan
58343.37	18.83	0.02	7.99e-17	1.17e-18
58345.38	12.24	nan	3.45e-14	nan
58345.39	18.83	0.01	7.94e-17	8.29e-19
58346.41	18.87	0.01	7.68e-17	9.02e-19
58346.42	18.86	0.02	7.77e-17	1.09e-18
58347.40	18.82	0.01	8.06e-17	3.94e-19
58348.40	18.83	0.02	7.93e-17	1.37e-18
58348.41	12.31	nan	3.24e-14	nan
58349.34	18.82	0.01	8.02e-17	4.98e-19
58349.35	18.82	0.01	8.00e-17	8.26e-19
58350.38	18.82	0.02	8.01e-17	1.36e-18
58351.40	18.78	0.02	8.30e-17	1.40e-18
58351.40	12.36	nan	3.09e-14	nan
58352.30	18.72	0.04	8.81e-17	3.22e-18
58352.30	18.88	0.04	7.59e-17	2.98e-18
58353.36	12.51	nan	2.68e-14	nan
58353.36	18.75	0.03	8.55e-17	2.36e-18
58353.44	18.90	0.02	7.49e-17	1.03e-18
58353.46	18.83	0.02	7.96e-17	1.24e-18
58354.32	18.71	0.05	8.89e-17	4.14e-18
58354.34	12.33	nan	3.17e-14	nan
58354.42	12.34	nan	3.14e-14	nan
58354.42	18.84	0.05	7.85e-17	3.39e-18
58355.36	18.77	0.06	8.41e-17	4.35e-18
58355.36	18.71	0.17	8.91e-17	1.40e-17
58355.44	18.77	0.06	8.41e-17	4.28e-18
58355.45	18.75	0.05	8.60e-17	4.04e-18
58356.40	18.73	0.07	8.73e-17	5.38e-18
58356.41	12.36	nan	3.09e-14	nan
58356.47	18.77	0.08	8.39e-17	6.33e-18
58360.35	18.77	0.08	8.41e-17	6.33e-18
58360.35	18.71	0.08	8.87e-17	6.52e-18
58360.35	12.36	nan	3.08e-14	nan
58361.31	18.83	0.03	7.98e-17	2.34e-18
58362.34	18.76	0.02	8.47e-17	1.86e-18
58362.38	18.80	0.02	8.15e-17	1.29e-18
58362.38	12.53	nan	2.62e-14	nan
58363.42	12.30	nan	3.25e-14	nan
58363.43	18.78	0.03	8.33e-17	2.06e-18
58363.43	18.74	0.03	8.62e-17	2.42e-18
58363.46	18.81	0.03	8.11e-17	2.22e-18
58363.46	12.49	nan	2.74e-14	nan
58364.34	18.78	0.02	8.36e-17	1.52e-18
58365.35	18.82	0.01	8.02e-17	1.07e-18
58366.34	12.35	nan	3.11e-14	nan
58366.37	18.81	0.02	8.13e-17	1.14e-18
58366.37	18.90	0.01	7.49e-17	6.27e-19
58367.37	18.76	0.01	8.45e-17	6.90e-19
58368.34	18.86	0.01	7.76e-17	7.43e-19
58369.36	18.84	0.01	7.87e-17	1.05e-18
58369.36	18.84	0.00	7.91e-17	1.56e-19
58369.38	12.33	nan	3.18e-14	nan
58370.40	18.83	0.01	7.93e-17	6.38e-19
58371.40	18.79	0.01	8.25e-17	7.32e-19
58372.35	12.53	nan	2.64e-14	nan
58372.35	18.83	0.02	7.93e-17	1.28e-18
58372.37	18.82	0.02	8.03e-17	1.11e-18
58372.37	18.84	0.01	7.91e-17	5.95e-19
58372.37	12.35	nan	3.11e-14	nan
58373.33	18.83	0.01	7.98e-17	8.00e-19
58374.32	18.85	0.03	7.83e-17	2.30e-18
58375.36	12.34	nan	3.13e-14	nan
58375.36	18.87	0.01	7.69e-17	7.67e-19
58375.36	18.84	0.01	7.88e-17	4.81e-19
58376.34	18.87	0.01	7.68e-17	9.50e-19
58377.31	18.85	0.01	7.82e-17	6.41e-19
58378.38	12.34	nan	3.15e-14	nan
58378.39	18.78	0.01	8.32e-17	9.13e-19
58378.39	18.86	0.00	7.72e-17	1.23e-19
58379.39	18.88	0.01	7.61e-17	7.51e-19
58380.32	18.83	0.02	7.97e-17	1.60e-18
58382.35	18.85	0.04	7.81e-17	2.66e-18
58382.35	18.80	0.04	8.17e-17	2.86e-18
58383.34	18.86	0.05	7.77e-17	3.56e-18
58387.42	18.50	0.12	1.08e-16	1.23e-17
58387.42	18.79	0.17	8.24e-17	1.26e-17
58388.27	18.84	0.07	7.87e-17	4.75e-18
58389.30	18.88	0.05	7.61e-17	3.58e-18
58389.33	12.48	nan	2.76e-14	nan
58389.33	18.85	0.04	7.83e-17	2.90e-18
58390.25	18.80	0.03	8.19e-17	2.02e-18
58390.26	18.87	0.04	7.65e-17	3.02e-18
58397.29	18.80	0.01	8.20e-17	1.06e-18
58397.29	18.89	0.02	7.51e-17	1.41e-18
58424.23	19.57	nan	4.01e-17	nan
58425.23	18.54	0.21	1.04e-16	2.01e-17
58425.24	11.07	nan	1.01e-13	nan
58426.24	18.88	0.04	7.59e-17	2.63e-18
58426.24	18.86	0.04	7.71e-17	2.72e-18
58427.23	19.23	nan	5.50e-17	nan
58428.24	18.83	0.03	7.93e-17	2.25e-18
58428.25	12.35	nan	3.12e-14	nan
58429.26	18.85	0.02	7.78e-17	1.78e-18
58429.26	18.88	0.02	7.61e-17	1.57e-18
58430.21	18.86	0.02	7.73e-17	1.30e-18
58431.19	18.88	0.05	7.63e-17	3.74e-18
58431.19	12.32	nan	3.19e-14	nan
58432.26	18.84	0.04	7.88e-17	2.79e-18
58432.26	18.93	0.04	7.22e-17	2.53e-18
58434.19	18.96	0.05	7.03e-17	3.29e-18
58434.19	12.35	nan	3.12e-14	nan
58435.26	18.86	0.08	7.76e-17	5.69e-18
58435.26	18.95	0.09	7.11e-17	5.65e-18
58436.26	18.83	nan	7.93e-17	nan
58437.25	12.31	nan	3.22e-14	nan
58437.27	18.90	0.06	7.44e-17	4.03e-18
58438.23	17.94	nan	1.80e-16	nan
58442.25	18.86	nan	7.76e-17	nan
58443.14	18.80	0.06	8.15e-17	4.41e-18
58443.14	12.47	nan	2.78e-14	nan
58443.14	12.34	nan	3.15e-14	nan
58456.16	18.95	0.05	7.13e-17	3.24e-18
58456.17	18.83	0.05	7.96e-17	3.44e-18
58456.17	12.34	nan	3.14e-14	nan
58457.15	18.90	0.06	7.48e-17	4.07e-18
58466.23	17.80	nan	2.05e-16	nan
58466.23	17.97	nan	1.75e-16	nan
58471.14	18.81	0.09	8.09e-17	6.88e-18
58471.14	18.82	0.10	8.01e-17	7.54e-18
58471.14	12.24	nan	3.44e-14	nan
58472.11	18.88	0.06	7.59e-17	3.98e-18
58474.13	12.33	nan	3.15e-14	nan
58474.13	18.89	0.06	7.50e-17	4.07e-18
58474.13	18.85	0.06	7.84e-17	4.36e-18
58475.13	19.34	nan	4.96e-17	nan
58487.10	18.99	0.03	6.85e-17	2.03e-18
58487.10	18.92	0.03	7.30e-17	1.93e-18
58488.10	18.94	0.07	7.17e-17	4.69e-18
58490.14	18.85	0.08	7.79e-17	5.63e-18
58491.10	12.33	nan	3.18e-14	nan
58491.10	18.83	0.06	7.96e-17	4.18e-18
58492.12	17.62	nan	2.43e-16	nan
58493.10	18.92	0.05	7.31e-17	3.39e-18
58514.10	18.80	0.05	8.15e-17	3.57e-18
58514.10	12.28	nan	3.32e-14	nan
58514.11	18.84	0.05	7.90e-17	3.72e-18
58514.11	12.26	nan	3.37e-14	nan
58514.11	18.93	0.05	7.25e-17	3.63e-18
58514.11	12.26	nan	3.38e-14	nan
58522.10	18.64	0.14	9.47e-17	1.18e-17
58522.10	12.24	nan	3.44e-14	nan
58522.10	18.86	0.11	7.77e-17	7.98e-18
58522.10	12.23	nan	3.48e-14	nan
58523.10	18.80	0.14	8.18e-17	1.03e-17
58523.10	12.22	nan	3.52e-14	nan
58523.10	18.87	0.11	7.66e-17	7.54e-18
58523.10	12.16	nan	3.70e-14	nan
58523.11	19.26	0.17	5.38e-17	8.23e-18
58523.11	12.17	nan	3.66e-14	nan
58523.11	18.86	0.10	7.77e-17	6.92e-18
58523.11	12.19	nan	3.60e-14	nan
58652.46	19.00	0.10	6.83e-17	6.21e-18
58655.44	19.02	0.12	6.68e-17	7.51e-18
58665.46	18.99	0.01	6.84e-17	6.26e-19
58667.46	12.27	nan	3.34e-14	nan
58669.44	19.07	0.01	6.37e-17	8.77e-19
58670.46	12.27	nan	3.33e-14	nan
58672.46	19.04	0.01	6.59e-17	6.07e-19
58673.45	12.28	nan	3.32e-14	nan
58676.46	12.25	nan	3.42e-14	nan
58677.48	19.06	0.02	6.44e-17	1.25e-18
58678.48	19.11	0.02	6.16e-17	1.02e-18
58678.48	19.06	0.01	6.43e-17	5.57e-19
58679.46	19.07	0.05	6.41e-17	2.83e-18
58681.43	19.07	0.08	6.38e-17	4.73e-18
58681.44	19.12	0.08	6.09e-17	4.48e-18
58682.40	12.27	nan	3.35e-14	nan
58682.40	18.95	0.07	7.11e-17	4.52e-18
58688.44	19.01	0.05	6.72e-17	3.16e-18
58688.44	18.95	0.05	7.14e-17	3.01e-18
58688.44	12.26	nan	3.38e-14	nan
58690.41	19.00	0.02	6.81e-17	1.08e-18
58691.42	19.09	0.02	6.24e-17	9.01e-19
58691.42	18.98	0.02	6.92e-17	1.30e-18
58693.38	19.02	0.01	6.66e-17	4.78e-19
58694.40	18.99	0.02	6.89e-17	1.11e-18
58694.40	12.26	nan	3.37e-14	nan
58694.40	19.00	0.02	6.82e-17	1.12e-18
58695.48	19.04	0.01	6.59e-17	7.28e-19
58696.38	19.04	0.01	6.57e-17	8.20e-19
58697.42	19.09	0.02	6.27e-17	1.05e-18
58697.42	19.05	0.02	6.51e-17	1.07e-18
58697.44	12.27	nan	3.34e-14	nan
58698.43	18.58	nan	1.00e-16	nan
58699.40	18.99	0.01	6.84e-17	8.11e-19
58700.42	19.02	0.02	6.69e-17	1.24e-18
58700.42	18.99	0.02	6.89e-17	1.22e-18
58703.42	19.02	0.01	6.67e-17	6.53e-19
58703.42	19.01	0.00	6.77e-17	2.03e-19
58704.48	19.07	0.02	6.37e-17	1.24e-18
58707.46	19.07	0.03	6.39e-17	1.56e-18
58707.46	19.01	0.01	6.72e-17	7.14e-19
58708.48	19.05	0.01	6.49e-17	6.84e-19
58710.38	18.92	0.08	7.35e-17	5.38e-18
58710.38	19.04	0.09	6.58e-17	5.29e-18
58711.40	18.94	0.09	7.16e-17	5.91e-18
58715.38	19.07	0.08	6.40e-17	4.60e-18
58715.38	19.04	0.07	6.58e-17	4.29e-18
58715.42	12.29	nan	3.30e-14	nan
58716.38	18.93	0.04	7.29e-17	2.59e-18
58719.43	12.24	nan	3.45e-14	nan
58719.43	12.43	nan	2.89e-14	nan
58719.43	18.97	0.03	7.01e-17	1.80e-18
58719.44	18.97	0.02	7.01e-17	1.20e-18
58719.44	12.41	nan	2.93e-14	nan
58721.44	16.47	nan	6.99e-16	nan
58724.38	18.91	0.03	7.41e-17	1.82e-18
58724.40	12.24	nan	3.43e-14	nan
58727.33	12.24	nan	3.46e-14	nan
58727.33	18.93	0.03	7.23e-17	1.93e-18
58730.38	18.99	0.01	6.85e-17	4.78e-19
58736.40	12.27	nan	3.35e-14	nan
58736.40	19.00	0.04	6.81e-17	2.53e-18
58739.34	12.29	nan	3.28e-14	nan
58743.34	12.23	nan	3.47e-14	nan
58745.35	18.94	0.05	7.16e-17	3.30e-18
58745.38	18.95	0.07	7.15e-17	4.33e-18
58745.38	12.43	nan	2.90e-14	nan
58745.38	12.42	nan	2.92e-14	nan
58745.38	18.95	0.06	7.13e-17	3.72e-18
58748.31	18.94	0.03	7.22e-17	1.90e-18
58748.36	12.14	nan	3.78e-14	nan
58748.36	18.93	0.03	7.22e-17	2.29e-18
58748.36	12.32	nan	3.19e-14	nan
58748.36	12.37	nan	3.05e-14	nan
58748.36	19.07	0.04	6.36e-17	2.31e-18
58749.29	12.20	nan	3.57e-14	nan
58751.29	18.98	0.02	6.93e-17	1.55e-18
58757.30	18.97	0.03	7.00e-17	2.03e-18
58757.32	12.26	nan	3.37e-14	nan
58759.33	19.00	0.02	6.81e-17	1.29e-18
58759.33	12.42	nan	2.91e-14	nan
58759.33	12.42	nan	2.92e-14	nan
58759.33	18.97	0.03	6.98e-17	1.87e-18
58760.29	18.92	0.02	7.34e-17	1.68e-18
58760.30	12.25	nan	3.40e-14	nan
58763.31	12.24	nan	3.45e-14	nan
58763.32	12.41	nan	2.93e-14	nan
58763.32	18.91	0.03	7.40e-17	2.36e-18
58763.35	18.98	0.04	6.95e-17	2.57e-18
58770.27	12.20	nan	3.55e-14	nan
58770.27	19.04	0.17	6.55e-17	1.01e-17
58771.31	12.39	nan	2.99e-14	nan
58771.31	18.92	0.12	7.30e-17	8.14e-18
58771.32	12.40	nan	2.97e-14	nan
58771.32	19.21	0.16	5.59e-17	8.22e-18
58771.33	12.23	nan	3.46e-14	nan
58773.23	18.80	nan	8.18e-17	nan
58773.25	11.15	nan	9.41e-14	nan
58773.26	11.92	nan	4.61e-14	nan
58773.26	19.14	0.18	6.00e-17	9.97e-18
58773.26	19.15	0.16	5.95e-17	8.61e-18
58773.26	11.96	nan	4.44e-14	nan
58774.23	18.91	0.06	7.39e-17	3.91e-18
58774.23	12.40	nan	2.98e-14	nan
58774.23	12.40	nan	2.97e-14	nan
58774.23	19.02	0.07	6.66e-17	3.99e-18
58775.35	18.96	0.05	7.06e-17	3.40e-18
58775.35	12.37	nan	3.04e-14	nan
58775.35	12.37	nan	3.05e-14	nan
58775.35	18.97	0.05	6.96e-17	3.29e-18
58776.21	12.26	nan	3.38e-14	nan
58776.21	18.98	0.05	6.93e-17	3.13e-18
58779.23	12.24	nan	3.43e-14	nan
58779.23	18.97	0.03	6.99e-17	1.96e-18
58779.24	19.01	0.03	6.76e-17	2.13e-18
58779.24	12.42	nan	2.92e-14	nan
58779.24	12.42	nan	2.92e-14	nan
58779.24	19.00	0.03	6.79e-17	2.17e-18
58783.30	12.25	nan	3.41e-14	nan
58783.30	18.99	0.04	6.90e-17	2.55e-18
58789.23	19.04	0.05	6.59e-17	3.25e-18
58789.23	12.24	nan	3.44e-14	nan
58790.16	18.95	0.05	7.10e-17	3.56e-18
58790.21	12.24	nan	3.43e-14	nan
58790.21	18.98	0.04	6.95e-17	2.28e-18
58790.21	12.44	nan	2.87e-14	nan
58790.21	12.43	nan	2.88e-14	nan
58790.21	18.91	0.04	7.38e-17	2.62e-18
58792.15	19.04	0.06	6.57e-17	3.59e-18
58792.18	12.19	nan	3.59e-14	nan
58797.11	18.95	0.13	7.13e-17	8.42e-18
58797.32	12.21	nan	3.53e-14	nan
58800.25	12.07	nan	4.01e-14	nan
58800.25	18.97	0.11	6.97e-17	7.31e-18
58803.23	12.20	nan	3.56e-14	nan
58803.23	19.05	0.06	6.51e-17	3.40e-18
58806.21	18.95	0.04	7.09e-17	2.35e-18
58806.23	12.18	nan	3.65e-14	nan
58811.13	12.06	nan	4.06e-14	nan
58811.15	18.90	0.04	7.49e-17	2.55e-18
58814.15	18.87	0.09	7.63e-17	6.09e-18
58814.17	11.50	nan	6.77e-14	nan
58820.11	10.91	nan	1.17e-13	nan
58828.13	19.08	0.14	6.30e-17	7.93e-18
58831.07	18.78	0.05	8.31e-17	3.99e-18
58831.07	12.40	nan	2.98e-14	nan
58835.08	12.27	nan	3.34e-14	nan
58835.09	18.93	0.12	7.28e-17	7.80e-18
58838.09	12.35	nan	3.10e-14	nan
58838.09	18.92	0.04	7.30e-17	2.53e-18
58852.15	12.36	nan	3.09e-14	nan
58852.15	18.96	0.06	7.04e-17	3.72e-18
58855.19	12.29	nan	3.30e-14	nan
58855.19	18.91	0.12	7.39e-17	8.30e-18
58860.14	19.07	0.11	6.40e-17	6.74e-18
58860.14	12.30	nan	3.24e-14	nan
58863.09	12.36	nan	3.09e-14	nan
58863.09	18.98	0.05	6.96e-17	3.49e-18
58873.09	12.33	nan	3.16e-14	nan
58875.10	19.47	nan	4.40e-17	nan
58886.10	19.14	0.18	5.96e-17	9.61e-18
58886.10	12.28	nan	3.31e-14	nan
58886.10	18.82	0.11	8.00e-17	7.83e-18
58886.10	12.28	nan	3.32e-14	nan
58886.11	18.96	0.13	7.03e-17	8.38e-18
58886.11	12.28	nan	3.33e-14	nan
58886.11	18.88	0.11	7.57e-17	7.93e-18
58886.11	12.26	nan	3.37e-14	nan
59020.47	18.89	0.02	7.53e-17	1.40e-18
59024.48	18.85	0.03	7.81e-17	2.49e-18
59033.36	18.79	0.09	8.23e-17	7.00e-18
59036.38	18.80	0.08	8.14e-17	5.81e-18
59039.48	18.95	0.08	7.10e-17	5.37e-18
59043.46	18.86	0.03	7.72e-17	1.81e-18
59046.44	18.84	0.01	7.88e-17	6.52e-19
59049.39	12.53	nan	2.63e-14	nan
59049.39	18.87	0.01	7.66e-17	8.95e-19
59049.42	18.88	0.01	7.63e-17	8.14e-19
59052.42	18.94	0.02	7.22e-17	1.15e-18
59053.46	12.41	nan	2.95e-14	nan
59055.44	18.90	0.01	7.47e-17	6.20e-19
59056.46	12.39	nan	3.00e-14	nan
59060.42	18.86	0.01	7.71e-17	8.96e-19
59060.44	12.39	nan	2.98e-14	nan
59061.36	18.93	0.04	7.22e-17	2.59e-18
59061.36	12.50	nan	2.70e-14	nan
59061.36	18.87	0.03	7.66e-17	2.43e-18
59061.37	12.36	nan	3.08e-14	nan
59063.40	18.76	0.07	8.47e-17	5.82e-18
59064.39	18.90	0.08	7.46e-17	5.55e-18
59064.41	18.90	0.09	7.49e-17	6.05e-18
59064.41	12.54	nan	2.62e-14	nan
59064.41	12.38	nan	3.01e-14	nan
59064.42	12.38	nan	3.02e-14	nan
59066.44	18.88	0.08	7.58e-17	5.56e-18
59074.43	18.80	nan	8.15e-17	nan
59074.43	19.24	nan	5.46e-17	nan
59074.43	10.67	nan	1.45e-13	nan
59074.43	10.25	nan	2.15e-13	nan
59074.43	18.22	nan	1.40e-16	nan
59076.38	18.90	0.03	7.46e-17	1.90e-18
59076.41	18.94	0.01	7.17e-17	9.59e-19
59076.41	12.49	nan	2.74e-14	nan
59076.41	18.90	0.02	7.48e-17	1.15e-18
59076.41	12.49	nan	2.72e-14	nan
59076.41	18.89	0.02	7.53e-17	1.18e-18
59079.40	18.86	0.01	7.73e-17	8.03e-19
59079.40	18.95	0.01	7.10e-17	9.53e-19
59079.40	12.45	nan	2.83e-14	nan
59079.40	18.89	0.01	7.49e-17	9.32e-19
59079.40	12.45	nan	2.83e-14	nan
59079.42	18.88	0.00	7.58e-17	2.20e-19
59081.41	18.87	0.01	7.67e-17	1.01e-18
59081.41	12.40	nan	2.96e-14	nan
59081.41	18.93	0.03	7.24e-17	1.89e-18
59081.41	18.90	0.02	7.43e-17	1.25e-18
59081.41	12.41	nan	2.94e-14	nan
59082.46	18.73	0.06	8.71e-17	4.72e-18
59085.33	18.90	0.01	7.45e-17	4.06e-19
59086.37	18.90	0.01	7.48e-17	7.11e-19
59086.37	18.93	0.00	7.25e-17	2.98e-19
59086.37	12.49	nan	2.73e-14	nan
59086.37	12.50	nan	2.71e-14	nan
59086.37	18.90	0.02	7.48e-17	1.26e-18
59087.38	18.90	0.01	7.47e-17	8.65e-19
59087.38	18.96	0.01	7.09e-17	7.50e-19
59087.38	12.42	nan	2.92e-14	nan
59087.38	18.92	0.02	7.31e-17	1.55e-18
59087.38	12.41	nan	2.94e-14	nan
59087.38	12.24	nan	3.44e-14	nan
59088.40	18.85	0.01	7.84e-17	1.08e-18
59088.44	18.95	0.04	7.11e-17	2.90e-18
59098.34	18.88	0.07	7.60e-17	4.62e-18
59098.34	12.38	nan	3.03e-14	nan
59099.35	18.93	0.06	7.28e-17	4.16e-18
59104.39	11.67	nan	5.83e-14	nan
59104.44	18.88	0.11	7.57e-17	7.40e-18
59107.31	18.97	0.04	7.00e-17	2.74e-18
59107.31	11.93	nan	4.56e-14	nan
59110.27	18.90	0.08	7.48e-17	5.41e-18
