mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58370.5,8.6e-17,1.9e-18,8.463166666666667e-17,3.3143333333333333e-18
58371.44,8.71e-17,1.58e-18,8.465666666666668e-17,3.3557777777777777e-18
58372.48,8.69e-17,1.59e-18,8.47e-17,3.373555555555556e-18
58372.49,8.92e-17,1.67e-18,8.512000000000002e-17,3.015777777777778e-18
58373.48,8.83e-17,2.45e-18,8.523333333333333e-17,2.954777777777778e-18
58374.5,8.97e-17,2.39e-18,8.540999999999999e-17,2.821333333333334e-18
58375.49,8.73e-17,2.245e-18,8.545333333333334e-17,2.811444444444445e-18
58376.42,8.92e-17,1.63e-18,8.534e-17,2.772444444444445e-18
58377.43,8.33e-17,2.17e-18,8.513333333333334e-17,2.5441111111111123e-18
58378.43,8.52e-17,1.845e-18,8.542333333333333e-17,2.8236666666666675e-18
58379.42,8.62e-17,1.86e-18,8.587999999999999e-17,2.859611111111112e-18
58380.42,8.89e-17,2.59e-18,8.58e-17,2.962277777777779e-18
58382.37,8.63e-17,3.745e-18,8.5715e-17,2.9452777777777786e-18
58383.4,9.05e-17,3.87e-18,8.570166666666667e-17,2.9790555555555566e-18
58384.53,8.84e-17,4.69e-18,8.558833333333333e-17,3.0267777777777793e-18
58385.32,8.095e-17,8.279999999999999e-18,8.562833333333334e-17,2.996944444444446e-18
58386.39,7.87e-17,5.32e-18,8.5425e-17,3.10927777777778e-18
58386.4,8.34e-17,6.48e-18,8.532833333333334e-17,3.0415000000000023e-18
58390.26,8.39e-17,8.1e-18,8.516833333333334e-17,3.0622777777777796e-18
58397.43,8e-17,1.87e-18,8.511833333333334e-17,3.0128333333333353e-18
58423.37,8.43e-17,2.39e-18,8.4875e-17,3.061166666666669e-18
58424.29,8.33e-17,8.55e-18,8.479833333333334e-17,2.9713888888888912e-18
58425.28,8.63e-17,1.86e-18,8.467166666666667e-17,2.9882222222222245e-18
58425.3,9.31e-17,3.71e-18,8.4455e-17,2.9953888888888905e-18
58428.27,9.18e-17,2.82e-18,8.479333333333333e-17,3.157555555555557e-18
58429.32,7.62e-17,2.42e-18,8.473666666666667e-17,3.253611111111113e-18
58431.29,8.36e-17,5.39e-18,8.513333333333334e-17,3.62988888888889e-18
58431.35,8.39e-17,5.85e-18,8.500666666666668e-17,3.583555555555556e-18
58432.31,8.22e-17,2.67e-18,8.4945e-17,3.6509444444444455e-18
58434.31,8.47e-17,5.18e-18,8.478833333333334e-17,3.536777777777779e-18
58435.33,7.99e-17,6.7e-18,8.463833333333334e-17,3.5621666666666675e-18
58436.3,8.42e-17,6.78e-18,8.461e-17,3.652111111111112e-18
58437.31,8.21e-17,3.1e-18,8.492333333333333e-17,3.4672777777777786e-18
58438.28,8.77e-17,9.66e-18,8.510333333333334e-17,3.484555555555556e-18
58439.3,8.1e-17,4.16e-18,8.551666666666668e-17,3.786833333333334e-18
58447.35,8.74e-17,8.42e-18,8.580333333333333e-17,3.7322222222222234e-18
58456.22,8.35e-17,3.29e-18,8.585166666666665e-17,3.751277777777778e-18
58456.25,8.27e-17,2.72e-18,8.677499999999999e-17,4.610777777777779e-18
58462.27,9.345e-17,8.795e-18,8.675166666666667e-17,4.639833333333335e-18
58464.27,8.35e-17,3.86e-18,8.6605e-17,4.553111111111112e-18
58466.23,9.810000000000001e-17,1.605e-17,8.649166666666668e-17,4.542944444444444e-18
58468.25,8.51e-17,3.89e-18,8.681e-17,4.4089999999999994e-18
58474.31,8.445e-17,9.064999999999999e-18,8.705666666666668e-17,4.7158333333333335e-18
58475.29,8.58e-17,6.75e-18,8.717333333333333e-17,4.933444444444444e-18
58481.31,8.39e-17,5.01e-18,8.747333333333333e-17,5.250277777777777e-18
58486.14,8.01e-17,3.93e-18,8.747666666666667e-17,5.4667777777777775e-18
58487.23,8.81e-17,3.68e-18,8.692e-17,5.79061111111111e-18
58487.24,8.88e-17,3e-18,8.635333333333333e-17,6.112944444444445e-18
58488.12,9.63e-17,6.48e-18,8.596333333333333e-17,6.234277777777778e-18
58490.18,8.86e-17,3.18e-18,8.512e-17,6.6095e-18
58491.22,8.575e-17,3.49e-18,8.460333333333333e-17,6.788722222222222e-18
58492.17,1.11e-16,1.5e-17,8.371666666666666e-17,7.199388888888887e-18
58493.13,8.56e-17,3.34e-18,8.31e-17,7.425944444444445e-18
58503.13,8.869999999999999e-17,5.94e-18,8.265666666666667e-17,7.41138888888889e-18
58505.11,8.84e-17,6.81e-18,8.169833333333334e-17,7.454388888888891e-18
58507.24,8.575e-17,7.529999999999999e-18,8.123166666666668e-17,7.443055555555556e-18
58508.21,9.1e-17,7.15e-18,8.026166666666666e-17,7.152944444444445e-18
58514.11,8.74e-17,2.61e-18,7.9765e-17,7.139722222222224e-18
58523.17,9.12e-17,5.36e-18,7.894999999999999e-17,7.426944444444445e-18
58540.12,8.48e-17,3.99e-18,7.821666666666665e-17,7.619277777777779e-18
58692.49,6.32e-17,3.34e-18,7.765333333333333e-17,7.624277777777777e-18
58693.5,6.72e-17,3.7e-18,7.728e-17,7.424944444444445e-18
58694.49,7.04e-17,2.22e-18,7.686333333333333e-17,7.525055555555556e-18
58695.48,6.24e-17,2.32e-18,7.625333333333333e-17,7.489888888888889e-18
58695.49,6.55e-17,2.58e-18,7.539333333333333e-17,7.200833333333333e-18
58696.48,6.08e-17,2.07e-18,7.471666666666666e-17,7.227481481481481e-18
58698.48,6.5e-17,3.12e-18,7.414833333333333e-17,7.330796296296296e-18
58704.5,6.94e-17,3.46e-18,7.303833333333334e-17,6.556981481481482e-18
58707.5,6.47e-17,2.54e-18,7.268833333333333e-17,6.50238888888889e-18
58708.5,6.95e-17,2.41e-18,7.2265e-17,6.351185185185186e-18
58711.44,6.9e-17,5.64e-18,7.1905e-17,6.22314814814815e-18
