mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58280.38	18.62	0.04	6.34e-17	2.27e-18
58280.38	11.94	nan	2.98e-14	nan
58289.34	11.93	nan	3.00e-14	nan
58289.34	18.60	0.05	6.42e-17	3.07e-18
58295.35	18.72	0.06	5.78e-17	3.40e-18
58295.35	11.95	nan	2.96e-14	nan
58302.47	18.68	0.06	5.98e-17	3.31e-18
58302.47	11.94	nan	2.97e-14	nan
58307.42	11.85	nan	3.23e-14	nan
58307.42	18.65	0.03	6.18e-17	1.50e-18
58321.36	11.93	nan	2.99e-14	nan
58321.36	18.69	0.03	5.95e-17	1.67e-18
58329.38	11.91	nan	3.07e-14	nan
58329.38	18.85	0.17	5.13e-17	8.04e-18
58333.36	18.87	0.06	5.03e-17	2.93e-18
58333.36	11.91	nan	3.06e-14	nan
58337.44	18.66	0.03	6.12e-17	1.63e-18
58337.44	11.93	nan	3.00e-14	nan
58342.36	11.88	nan	3.15e-14	nan
58342.36	18.68	0.04	5.99e-17	2.17e-18
58347.36	18.69	0.03	5.92e-17	1.43e-18
58347.36	11.83	nan	3.30e-14	nan
58351.32	11.93	nan	2.99e-14	nan
58351.32	18.72	0.03	5.78e-17	1.86e-18
58361.36	11.97	nan	2.90e-14	nan
58361.36	18.55	0.04	6.73e-17	2.35e-18
58365.32	18.71	0.05	5.82e-17	2.62e-18
58365.32	11.93	nan	3.00e-14	nan
58369.34	11.93	nan	2.99e-14	nan
58369.34	18.60	0.04	6.43e-17	2.22e-18
58373.34	11.96	nan	2.92e-14	nan
58373.34	18.75	0.04	5.63e-17	2.04e-18
58377.32	11.92	nan	3.03e-14	nan
58377.32	18.74	0.04	5.69e-17	1.90e-18
58390.29	11.95	nan	2.95e-14	nan
58390.29	18.58	0.05	6.60e-17	2.82e-18
58400.24	18.70	0.04	5.87e-17	2.43e-18
58400.24	11.95	nan	2.96e-14	nan
58424.21	10.69	nan	9.45e-14	nan
58424.21	18.62	nan	6.32e-17	nan
58430.22	18.76	0.05	5.58e-17	2.69e-18
58430.22	11.92	nan	3.02e-14	nan
58434.22	18.67	0.10	6.02e-17	5.39e-18
