RA,DEC,F_var_g,F_var_r,F_var_i,Error_g,Error_r,Error_i
10.421125,-0.3271667,0.3263669398332428,0.2498256301357309,,0.1039553554061953,0.089130275424393,
22.444625,15.0825556,0.411024188809108,0.2223226752480604,,0.0754891174001258,0.0575191629702323,
23.0934583,-3.2766944,0.2836193601696582,0.1666971339822563,,0.1013742663899583,0.083991328106575,
10.1277917,25.3350833,0.3015297377644785,0.3044192370575534,,0.0460387347497793,0.0448073654070856,
353.835,-1.51930556,0.4923680876194007,0.4624331023047902,,0.045594825632787,0.0375643541949945,
38.6626667,1.1278056,0.0429303591446152,,,0.1796334666966014,,
39.0157083,-0.5139444,0.120524333703847,0.1068791327101114,,0.0539699732300845,0.0409504849526674,
41.0576667,0.3093056,0.1229362263607431,0.1205831625204571,,0.0639571350524515,0.0638014340240702,
321.5722917,-1.6240278,0.0691971330598136,0.0484529935286114,,0.1057773752337605,0.0736829182182995,
359.2413333,1.2183333,0.028105641379341233,0.04311810233833632,,0.1741272679647908,0.07605568301605793,
