mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58300.46	19.90	0.21	5.34e-17	1.04e-17
58312.48	20.03	0.09	4.73e-17	3.94e-18
58315.44	20.40	0.13	3.38e-17	4.00e-18
58318.44	20.25	0.09	3.87e-17	3.09e-18
58321.44	20.31	0.09	3.66e-17	2.96e-18
58324.44	20.53	nan	2.99e-17	nan
58334.46	20.14	0.19	4.30e-17	7.41e-18
58337.40	20.03	0.08	4.76e-17	3.60e-18
58342.44	20.04	0.07	4.72e-17	2.95e-18
58345.44	19.98	0.11	4.96e-17	4.81e-18
58345.44	19.97	0.08	5.01e-17	3.71e-18
58346.36	19.91	0.08	5.31e-17	3.83e-18
58347.46	19.89	0.05	5.38e-17	2.50e-18
58348.38	19.85	0.06	5.60e-17	2.88e-18
58348.38	19.96	0.06	5.08e-17	2.61e-18
58349.42	19.91	0.05	5.32e-17	2.56e-18
58350.42	20.02	0.05	4.79e-17	2.30e-18
58351.42	19.84	0.05	5.64e-17	2.34e-18
58351.42	20.02	0.05	4.80e-17	2.35e-18
58361.40	19.95	0.20	5.11e-17	9.22e-18
58362.46	19.81	0.13	5.83e-17	7.00e-18
58363.36	20.03	0.16	4.76e-17	7.07e-18
58363.37	12.49	nan	4.94e-14	nan
58363.37	19.96	0.13	5.06e-17	5.97e-18
58364.40	19.77	0.10	6.03e-17	5.33e-18
58364.42	20.11	0.13	4.43e-17	5.45e-18
58365.41	19.98	0.07	4.95e-17	3.32e-18
58367.40	19.93	0.06	5.23e-17	2.80e-18
58367.40	19.98	0.07	4.99e-17	3.32e-18
58368.38	19.93	0.05	5.20e-17	2.46e-18
58369.33	19.93	0.07	5.21e-17	3.33e-18
58370.39	19.92	0.07	5.27e-17	3.27e-18
58370.39	19.99	0.07	4.93e-17	3.02e-18
58371.36	19.91	0.06	5.29e-17	2.73e-18
58372.40	19.80	0.06	5.87e-17	3.28e-18
58373.39	19.90	0.06	5.37e-17	2.84e-18
58373.39	19.82	0.06	5.74e-17	2.92e-18
58374.41	19.91	0.06	5.28e-17	2.84e-18
58375.42	19.91	0.07	5.29e-17	3.28e-18
58376.33	19.84	0.06	5.68e-17	3.07e-18
58376.33	19.81	0.06	5.82e-17	2.98e-18
58377.36	19.99	0.07	4.94e-17	3.04e-18
58378.34	19.80	0.06	5.87e-17	3.26e-18
58379.36	19.99	0.07	4.94e-17	3.37e-18
58379.36	19.97	0.06	5.02e-17	2.92e-18
58380.36	19.93	0.07	5.18e-17	3.53e-18
58382.39	19.83	0.12	5.72e-17	6.38e-18
58382.40	19.80	0.11	5.86e-17	6.01e-18
58383.42	19.76	0.17	6.11e-17	9.60e-18
58384.34	20.21	nan	4.02e-17	nan
58384.38	12.37	nan	5.48e-14	nan
58384.38	19.43	nan	8.28e-17	nan
58388.36	20.48	nan	3.15e-17	nan
58388.37	19.65	0.21	6.71e-17	1.30e-17
58389.34	19.84	0.18	5.66e-17	9.20e-18
58389.39	12.50	nan	4.90e-14	nan
58389.39	19.93	0.16	5.20e-17	7.88e-18
58390.34	19.84	0.13	5.68e-17	6.67e-18
58390.35	12.55	nan	4.66e-14	nan
58390.35	20.07	0.14	4.56e-17	5.82e-18
58397.34	19.80	0.05	5.85e-17	2.95e-18
58397.34	19.79	0.06	5.91e-17	3.14e-18
58423.24	19.81	0.07	5.84e-17	3.99e-18
58423.24	19.93	0.07	5.20e-17	3.58e-18
58424.20	19.66	0.22	6.65e-17	1.33e-17
58425.19	19.66	0.12	6.68e-17	7.47e-18
58426.23	19.96	0.10	5.06e-17	4.49e-18
58427.20	18.83	nan	1.43e-16	nan
58428.21	19.75	0.06	6.17e-17	3.67e-18
58429.23	19.87	0.06	5.49e-17	3.18e-18
58429.23	19.81	0.06	5.83e-17	3.05e-18
58430.25	19.83	0.05	5.71e-17	2.87e-18
58434.25	19.91	0.13	5.28e-17	6.08e-18
58435.21	19.77	0.10	6.06e-17	5.45e-18
58435.21	19.78	0.11	5.99e-17	6.10e-18
58436.21	19.93	0.13	5.21e-17	6.38e-18
58436.22	19.88	0.13	5.46e-17	6.78e-18
