mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58390.27	19.24	0.09	3.59e-17	2.99e-18
58397.33	19.25	0.06	3.53e-17	1.92e-18
58422.31	19.48	0.18	2.86e-17	4.72e-18
58426.30	19.07	0.10	4.17e-17	4.03e-18
58430.24	19.20	0.06	3.70e-17	2.05e-18
58434.23	19.35	0.15	3.22e-17	4.30e-18
58738.40	19.12	0.11	3.99e-17	4.08e-18
58743.46	19.12	nan	4.01e-17	nan
58748.29	19.23	0.09	3.61e-17	3.13e-18
58757.35	19.13	0.06	3.96e-17	2.19e-18
58761.32	19.01	0.07	4.42e-17	2.96e-18
58765.32	19.09	0.08	4.10e-17	2.85e-18
58771.25	19.44	nan	2.98e-17	nan
59187.26	19.00	0.13	4.44e-17	5.41e-18
59190.22	19.32	0.12	3.31e-17	3.59e-18
59200.13	19.21	0.15	3.68e-17	5.19e-18
59203.14	19.28	0.09	3.44e-17	2.81e-18
59211.19	19.18	0.13	3.79e-17	4.48e-18
59219.15	19.14	0.09	3.92e-17	3.32e-18
59223.19	19.11	0.10	4.05e-17	3.62e-18
59403.45	19.55	0.07	2.70e-17	1.84e-18
59417.42	19.44	0.18	2.98e-17	4.80e-18
59427.40	19.46	0.09	2.93e-17	2.32e-18
59430.44	19.46	0.08	2.92e-17	2.14e-18
59434.40	19.60	0.08	2.57e-17	1.96e-18
59439.41	19.25	0.07	3.54e-17	2.32e-18
59443.42	19.39	0.09	3.11e-17	2.59e-18
59453.41	19.32	0.10	3.33e-17	3.22e-18
59458.32	19.73	0.14	2.28e-17	2.88e-18
59461.35	19.30	0.07	3.39e-17	2.15e-18
59464.36	19.37	0.07	3.18e-17	2.05e-18
59467.34	19.34	0.08	3.25e-17	2.26e-18
59470.34	19.39	0.08	3.13e-17	2.22e-18
59473.40	19.37	0.10	3.18e-17	2.81e-18
59476.39	19.31	0.15	3.36e-17	4.65e-18
59484.30	19.36	0.08	3.21e-17	2.38e-18
59487.29	19.47	0.12	2.89e-17	3.10e-18
59491.31	19.46	0.12	2.92e-17	3.18e-18
59494.32	19.34	0.10	3.28e-17	2.94e-18
59502.30	19.31	0.13	3.36e-17	3.96e-18
59509.29	19.48	0.15	2.88e-17	3.85e-18
59512.25	19.20	0.06	3.70e-17	2.02e-18
59517.30	19.50	0.08	2.82e-17	2.13e-18
59520.32	19.18	0.06	3.79e-17	2.14e-18
59523.23	19.23	0.06	3.61e-17	2.10e-18
59526.29	19.35	0.07	3.24e-17	1.98e-18
59529.28	19.23	0.10	3.60e-17	3.34e-18
59538.13	19.39	nan	3.11e-17	nan
59542.25	19.27	0.10	3.48e-17	3.24e-18
