mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58683.44,1.47e-16,2.64e-18,1.4799333333333334e-16,8.000666666666666e-18
58690.44,1.53e-16,6.71e-19,1.4732666666666667e-16,8.006666666666666e-18
58693.47,1.49e-16,1.56e-18,1.4709333333333331e-16,7.916444444444446e-18
58695.49,1.48e-16,1.7650000000000002e-18,1.4672666666666667e-16,7.704555555555553e-18
58696.48,1.45e-16,1.56e-18,1.4665999999999998e-16,7.749777777777777e-18
58699.39,1.41e-16,9.53e-19,1.4574333333333333e-16,7.213444444444444e-18
58703.43,1.51e-16,1.41e-18,1.4537666666666666e-16,6.985999999999998e-18
58706.4,1.44e-16,1.3e-18,1.4497666666666667e-16,6.725222222222219e-18
58710.38,1.455e-16,3.845e-18,1.4452666666666665e-16,6.5644444444444416e-18
58712.4,1.42e-16,4.12e-18,1.438933333333333e-16,6.177555555555553e-18
58713.41,1.4950000000000001e-16,5.01e-18,1.4372666666666667e-16,6.179555555555554e-18
58715.38,1.44e-16,3.57e-18,1.4396e-16,5.8742222222222194e-18
58716.5,1.5e-16,3.585e-18,1.4386e-16,5.840666666666664e-18
58717.5,1.41e-16,3.14e-18,1.4372666666666665e-16,5.9131111111111076e-18
58717.51,1.48e-16,3.3e-18,1.4367666666666665e-16,5.929555555555551e-18
58718.48,1.45e-16,1.59e-18,1.4371e-16,5.941999999999996e-18
58719.43,1.5e-16,9.36e-19,1.4645e-16,3.157777777777773e-18
58721.45,1.48e-16,2.91e-18,1.4610000000000002e-16,3.1042222222222184e-18
58724.4,1.48e-16,6.38e-19,1.4603333333333333e-16,3.043999999999995e-18
58726.38,1.425e-16,1.815e-18,1.46e-16,3.0093333333333295e-18
58730.4,1.48e-16,1.38e-18,1.4596666666666666e-16,3.056222222222219e-18
58733.39,1.46e-16,1.29e-18,1.4636666666666665e-16,3.087555555555552e-18
58735.33,1.4350000000000001e-16,1.9150000000000002e-18,1.461e-16,3.0617777777777733e-18
58736.43,1.44e-16,1.06e-18,1.4616666666666667e-16,3.0881111111111064e-18
58738.38,1.45e-16,3.5e-18,1.4621666666666666e-16,3.1062222222222173e-18
58743.37,1.39e-16,6.73e-18,1.4648333333333334e-16,3.085888888888884e-18
58745.36,1.49e-16,2.815e-18,1.4643333333333334e-16,2.918444444444439e-18
58748.31,1.43e-16,2.17e-18,1.465e-16,3.0298888888888837e-18
58749.3,1.48e-16,6.56e-19,1.4663333333333333e-16,2.8532222222222175e-18
58750.33,1.44e-16,9.7e-19,1.4636666666666665e-16,3.004111111111106e-18
