mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58364.28,2.02e-16,3.21e-18,2.2429999999999997e-16,5.696111111111107e-18
58364.45,2.25e-16,2.13e-18,2.2336666666666664e-16,5.82444444444444e-18
58365.42,2.17e-16,3.02e-18,2.228666666666667e-16,5.853888888888887e-18
58366.46,2.24e-16,2.25e-18,2.2213333333333335e-16,5.273333333333333e-18
58367.42,2.24e-16,4.51e-18,2.2206666666666665e-16,5.228333333333336e-18
58367.46,2.3e-16,4.39e-18,2.2196666666666669e-16,5.245555555555557e-18
58368.39,2.2049999999999998e-16,3.955e-18,2.2173333333333333e-16,5.425000000000002e-18
58369.33,2.14e-16,3.3e-18,2.227e-16,5.835555555555557e-18
58370.34,2.26e-16,4.35e-18,2.225e-16,6.045000000000002e-18
58370.35,2.25e-16,3.8e-18,2.2233333333333333e-16,6.301111111111113e-18
58372.43,2.155e-16,4.04e-18,2.22e-16,6.625000000000001e-18
58373.4,2.18e-16,4.44e-18,2.221e-16,6.664444444444446e-18
58376.32,2.29e-16,4.59e-18,2.2273333333333335e-16,6.5061111111111136e-18
58378.33,2.19e-16,3.8300000000000004e-18,2.243e-16,7.12777777777778e-18
58379.36,2.23e-16,4.37e-18,2.247e-16,7.245000000000001e-18
58382.27,2.13e-16,5.22e-18,2.2503333333333335e-16,7.303333333333334e-18
58382.43,2.21e-16,4.32e-18,2.2623333333333335e-16,6.718333333333334e-18
58383.29,2.32e-16,7.23e-18,2.266333333333333e-16,6.7599999999999995e-18
58384.31,2.27e-16,8.28e-18,2.2700000000000004e-16,6.799444444444443e-18
58385.38,2.26e-16,1.18e-17,2.274e-16,6.765555555555553e-18
58388.34,2.15e-16,9.53e-18,2.278e-16,6.703888888888886e-18
58388.37,2.49e-16,9.08e-18,2.278e-16,6.643333333333333e-18
58389.38,2.19e-16,6.1e-18,2.2858333333333333e-16,6.7972222222222206e-18
58390.34,2.19e-16,5.76e-18,2.2955e-16,6.676666666666664e-18
58397.36,2.18e-16,4.46e-18,2.2951666666666666e-16,7.017222222222219e-18
58424.2,2.28e-16,1.28e-17,2.2988333333333332e-16,7.04444444444444e-18
58425.2,2.35e-16,1.47e-18,2.3053333333333335e-16,7.007222222222218e-18
58428.21,2.36e-16,3.07e-18,2.316166666666667e-16,6.7961111111111036e-18
58429.25,2.4e-16,3.28e-18,2.3258333333333335e-16,6.917777777777769e-18
58430.26,2.38e-16,3.5e-18,2.3325000000000004e-16,7.00277777777777e-18
58431.21,2.37e-16,3.78e-18,2.3411666666666667e-16,6.60888888888888e-18
58432.25,2.28e-16,2.7e-18,2.3505e-16,6.791666666666657e-18
58434.26,2.36e-16,3.24e-18,2.3515000000000003e-16,6.708888888888878e-18
58435.2,2.36e-16,2.82e-18,2.3591666666666667e-16,7.109444444444433e-18
58436.18,2.3e-16,6.53e-18,2.362166666666667e-16,7.156296296296284e-18
58437.24,2.44e-16,1.87e-18,2.3815000000000003e-16,7.903888888888876e-18
58441.26,2.43e-16,9.04e-18,2.379166666666667e-16,7.343703703703692e-18
58443.2,2.25e-16,1.21e-17,2.3871666666666664e-16,7.228888888888878e-18
58468.3,2.36e-16,7.76e-18,2.394833333333333e-16,7.071851851851839e-18
58471.1,2.35e-16,1.55e-17,2.4038333333333335e-16,6.983703703703692e-18
58482.15,2.42e-16,1.56e-18,2.4045000000000004e-16,7.11185185185184e-18
58483.12,2.375e-16,1.243e-18,2.3998333333333333e-16,7.429444444444434e-18
58493.16,2.48e-16,3.57e-18,2.3905e-16,6.483703703703695e-18
58503.16,2.43e-16,1.17e-17,2.3875000000000003e-16,6.564629629629623e-18
58509.15,2.39e-16,7.24e-18,2.3878333333333333e-16,6.59314814814814e-18
58514.15,2.49e-16,1.95e-18,2.382833333333333e-16,6.731851851851845e-18
58642.42,2.35e-16,1.48e-18,2.3788333333333336e-16,6.840555555555548e-18
58646.45,2.5e-16,5.18e-18,2.3798333333333335e-16,6.6307407407407346e-18
58649.47,2.35e-16,6.05e-18,2.3780555555555556e-16,6.634259259259257e-18
58658.47,2.42e-16,5.55e-18,2.3760555555555553e-16,6.739814814814811e-18
58661.47,2.43e-16,2.6e-18,2.368611111111111e-16,6.712407407407405e-18
58674.45,2.42e-16,3.67e-18,2.3616111111111115e-16,6.679444444444443e-18
58677.47,2.45e-16,3.91e-18,2.3612777777777775e-16,6.260925925925926e-18
58680.48,2.3e-16,7.34e-18,2.357277777777778e-16,6.1501851851851855e-18
58683.48,2.21e-16,5.73e-18,2.3499444444444445e-16,6.318333333333333e-18
58686.48,2.33e-16,5.84e-18,2.3429444444444446e-16,6.3387037037037065e-18
58688.48,2.27e-16,5.39e-18,2.338111111111111e-16,6.257962962962966e-18
58688.49,2.4099999999999997e-16,3.9800000000000004e-18,2.327277777777778e-16,6.21055555555556e-18
58690.47,2.23e-16,3.7e-18,2.3191111111111113e-16,6.207592592592599e-18
58691.49,2.25e-16,1.599e-18,2.3114444444444444e-16,6.386851851851859e-18
58693.43,2.31e-16,4.69e-18,2.302444444444444e-16,6.045370370370378e-18
58695.41,2.306666666666667e-16,3.5499999999999996e-18,2.2971111111111106e-16,6.035740740740748e-18
58696.43,2.35e-16,4.55e-18,2.2866111111111113e-16,5.733888888888897e-18
58699.45,2.25e-16,4.18e-18,2.2812777777777777e-16,5.708333333333343e-18
