# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.5 on 2023-10-31 at 15:48:39
#
# Requested input R.A. = 41.0576667 degrees
# Requested input Dec. = 0.3093056 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460247.91245234 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 402 16 1 ZTF_r 565464746015 0 1.9678 124.027 5.9347 25.9638 1.48421e-05 0.0248981 0.0926408 2.01374e-05 294 30. 0.058882 0.049205 20.2804 25.9638 1 2458319.9647454 402120260 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458340.958518 2458366.999143 57,61
 1 402 16 2 ZTF_r 565464746115 0 1.8795 134.98 5.2279 25.8554 2.53751e-05 0.0288497 0.111962 3.03393e-05 268 30. 0.062316 0.051966 20.3723 25.8554 1 2458319.9647454 402120261 4.53896155893 19.943327 0.253171 1.107835 -30.6720420322 37.795830 -0.816985 1.052281 0.0589366902336419 18.8340000152588 0.017000000923872 0.49099999666214 0.0219999998807907 2458323.984201 2458365.997014 0
 2 402 16 2 ZTF_g 569443426115 0 2.2248 61.9272 4.6331 25.8737 5.6127e-05 0.0433535 -0.0577836 6.91665e-05 266 30. 0.071443 0.063148 20.31 25.8737 1 2458323.9434259 402120161 -38.44907095786 21.272314 -2.010601 0.958857 -35.99066380853 37.380562 -0.969302 1.084439 0.0793176449672546 18.9140002250671 0.0179999992251396 0.591000020503998 0.0020000000949949 2458323.943426 2458366.961887 0
 3 402 16 1 ZTF_g 569443426015 0 2.1466 66.6054 5.01952 25.9343 3.40674e-05 0.0380269 -0.033939 4.67015e-05 289 30. 0.08345 0.072251 20.3484 25.9343 1 2458323.9434259 402120160 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458323.943426 2458368.983461 57,61
 4 402 16 2 ZTF_r 569484206115 0 1.9162 141.88 5.9851 25.9134 1.99095e-05 0.0259044 0.108794 2.37584e-05 277 30. 0.058416 0.049896 20.2819 25.9134 1 2458323.9842014 402120261 21.7908080575 20.210024 1.199392 1.010563 68.8249202026 37.998909 1.823433 1.056312 0.0589366902336419 18.8340000152588 0.017000000923872 0.49099999666214 0.0219999998807907 2458323.984201 2458365.997014 0
 5 402 16 1 ZTF_r 569484206015 0 1.9366 129.516 6.2902 26.024 1.4135e-05 0.0239378 0.0913214 1.88305e-05 287 30. 0.055522 0.051473 20.248 26.024 1 2458323.9842014 402120260 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458340.958518 2458366.999143 57,61
 6 402 16 1 ZTF_g 573464426015 33554432 3.4736 29.9772 13.7387 25.0499 0.000238609 0.0450301 -0.0834277 0.000469348 65 30. 0.078599 0.07956 17.9122 25.0499 1 2458327.9644213 402120160 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458323.943426 2458368.983461 57,61
 7 402 16 2 ZTF_g 573464426115 37750816 3.2507 4.01917 13.1674 22.6794 0.102597 0.669005 -0.47258 0.225417 35 30. 0.06894 0.069536 15.6377 22.6794 1 2458327.9644213 402120161 186.52191305528 64.880081 3.197962 1.055817 192.51301476931 99.763657 1.942687 1.055769 0.0793176449672546 18.9140002250671 0.0179999992251396 0.591000020503998 0.0020000000949949 2458323.943426 2458366.961887 0
 8 402 16 1 ZTF_r 576420096015 0 2.4121 110.722 15.5518 25.8689 6.01079e-05 0.0492638 0.0851803 7.96295e-05 280 30. 0.089962 0.075699 18.8958 25.8689 1 2458330.9200926 402120260 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458340.958518 2458366.999143 57,61
