# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.5 on 2023-10-31 at 15:12:05
#
# Requested input R.A. = 359.2413333 degrees
# Requested input Dec. = 1.2183333 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460247.91245234 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 498 2 4 ZTF_g 516465540715 0 3.0825 64.8218 14.3 25.9448 7.30682e-05 0.0366649 -0.0113198 0.000150709 123 30. 0.101866 0.086771 18.8729 25.9448 1 2458270.965544 498120107 47.09701762369 85.064232 0.615887 0.966605 59.11796609699 123.460838 0.482065 1.097206 0.082496386623902 19.7329999923706 0.025000000372529 0.792999982833862 -0.0160000007599592 2458279.970752 2458351.923866 0
 1 396 16 1 ZTF_r 520482286015 0 1.9651 137.488 14.211 25.9897 3.44786e-05 0.0308848 0.100293 5.23227e-05 164 30. 0.059635 0.051213 19.2757 25.9897 1 2458274.9822801 396120260 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458283.963588 2458434.691713 57,61
 2 498 2 4 ZTF_g 521453100715 0 2.9996 72.1893 10.0058 26.073 4.69479e-05 0.0344462 -0.0534795 8.83668e-05 158 30. 0.085827 0.073412 19.4125 26.073 1 2458275.9531019 498120107 29.80871699265 56.228344 0.589716 1.018258 84.16049224258 86.068542 0.984417 1.064362 0.082496386623902 19.7329999923706 0.025000000372529 0.792999982833862 -0.0160000007599592 2458279.970752 2458351.923866 0
 3 498 2 4 ZTF_g 525470750715 0 2.8771 78.0437 6.82754 26.139 2.81108e-05 0.0294737 -0.0410235 4.61188e-05 192 30. 0.082371 0.07798 19.9566 26.139 1 2458279.9707523 498120107 -22.70636764988 39.453041 -0.640209 0.960708 -73.82904314666 59.030315 -1.259121 1.094588 0.082496386623902 19.7329999923706 0.025000000372529 0.792999982833862 -0.0160000007599592 2458279.970752 2458351.923866 0
 4 396 16 1 ZTF_g 526446036015 0 2.7089 73.5869 5.21029 26.0347 3.58398e-05 0.0321265 -0.0645482 6.05981e-05 167 30. 0.070133 0.063761 20.1403 26.0347 1 2458280.9460301 396120160 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458280.946030 2458369.826204 57,61
 5 498 2 4 ZTF_g 528420780715 0 2.5449 52.4853 4.64651 25.6955 4.18683e-05 0.0372221 -0.0234594 6.27397e-05 214 30. 0.087424 0.072662 20.0398 25.6955 1 2458282.920787 498120107 -0.9010016722 22.278399 -0.044988 1.007360 -0.14616655981 37.293839 -0.003946 1.052737 0.082496386623902 19.7329999923706 0.025000000372529 0.792999982833862 -0.0160000007599592 2458279.970752 2458351.923866 0
 6 498 2 4 ZTF_r 528478090715 0 2.0552 87.1427 9.1161 25.4705 3.62368e-05 0.0352409 0.162793 4.93096e-05 234 30. 0.063667 0.051975 19.2508 25.4705 1 2458282.9780903 498120207 -3.93915529038 41.368683 -0.105922 0.933984 20.34346161556 75.786697 0.270238 1.056375 0.0616493212090375 18.8670000076294 0.028999999165535 1.36500000953674 0.151999995112419 2458291.964780 2458369.859352 0
 7 396 16 1 ZTF_g 529443346015 0 2.7391 74.1541 4.74076 26.0403 3.97173e-05 0.0337728 -0.0542293 6.63667e-05 166 30. 0.071338 0.071987 20.2611 26.0403 1 2458283.9433449 396120160 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458280.946030 2458369.826204 57,61
 8 396 16 1 ZTF_r 529463586015 0 2.4799 142.54 6.33389 26.0205 1.84124e-05 0.0233878 0.10217 2.88945e-05 176 30. 0.061749 0.055044 20.0464 26.0205 1 2458283.963588 396120260 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458283.963588 2458434.691713 57,61
