 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 9 452 3 3 ZTF_r 576420551015 0 2.5785 130.303 15.1071 25.9331 7.39188e-05 0.0462684 0.122932 0.00010804 210 30. 0.078806 0.072707 18.9631 25.9331 1 2458330.9205556 452120210 -7.48954021662 80.507950 -0.103484 1.041412 71.50744524212 130.429260 0.551939 1.062261 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 10 452 3 3 ZTF_g 576484861015 0 1.9484 91.6163 13.8202 26.098 5.31188e-05 0.0372937 -0.0131554 9.33573e-05 169 30. 0.054611 0.055108 19.4594 26.098 1 2458330.9848611 452120110 -72.63813704058 69.758759 -1.158299 0.920850 -71.16928377903 124.020348 -0.577717 1.061596 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 11 452 3 3 ZTF_r 582473551015 0 1.9062 158.08 6.48094 26.1359 1.59281e-05 0.0222882 0.108029 2.30295e-05 225 30. 0.052834 0.051216 20.3517 26.1359 1 2458336.9735532 452120210 -37.73835246762 28.812977 -1.456967 0.990731 53.7217608498 54.926014 0.984662 1.043222 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 12 452 3 3 ZTF_g 582485051015 0 15.2571 104.451 6.16693 26.2071 4.31438e-05 0.0363722 0.00937088 6.60575e-05 212 30. 0.065453 0.063547 20.2084 26.2071 1 2458336.9850579 452120110 -5.41000955073 35.988979 -0.167218 0.926154 27.71886385712 54.067062 0.516129 1.114508 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 13 452 3 3 ZTF_r 586441371015 0 2.378 43.1986 5.1498 24.7714 0.000741596 0.149716 0.116581 0.00106951 220 30. 0.075861 0.087362 19.0338 24.7714 1 2458340.9413773 452120210 0.46294977266 24.407011 0.021100 0.928523 -4.22674463172 42.445137 -0.100252 1.042834 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 14 452 3 3 ZTF_g 586484141015 0 2.1679 73.9305 3.9963 25.8699 2.65574e-05 0.0289985 -0.0483133 3.88817e-05 227 30. 0.061155 0.064184 20.5544 25.8699 1 2458340.9841435 452120110 28.32428199251 17.937733 1.756492 0.993444 8.54917680236 31.314590 0.274848 1.050213 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 15 452 3 3 ZTF_g 589457881015 0 1.9927 96.1322 3.92187 26.1581 2.2575e-05 0.0269483 -0.0561367 3.27183e-05 227 30. 0.056472 0.059943 20.8491 26.1581 1 2458343.9578819 452120110 -29.69139331692 17.129200 -1.928183 0.959925 -33.41833956034 31.817480 -1.057388 1.047203 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 16 452 3 3 ZTF_g 591440921015 0 2.1966 89.9841 4.00117 26.0903 1.92824e-05 0.025132 -0.058179 2.75575e-05 234 30. 0.056281 0.060352 20.7517 26.0903 3 2458345.9409259 452120110 7.95928800042 17.221350 0.514117 0.972816 -3.19568289186 30.371683 -0.105928 1.050884 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 17 452 3 3 ZTF_r 591475241015 0 1.9188 146.675 4.80114 26.0546 1.78708e-05 0.0240925 0.109782 2.53026e-05 235 30. 0.053828 0.057936 20.6653 26.0546 3 2458345.9752431 452120210 10.36418557532 20.247290 0.569407 0.959251 58.55676581319 39.224174 1.502929 1.042026 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 18 452 3 3 ZTF_r 592455001015 0 1.8817 141.008 4.90289 26.012 1.78088e-05 0.0237092 0.116466 2.5327e-05 229 30. 0.054372 0.056541 20.5765 26.012 1 2458346.955 452120210 -14.89389942986 20.317137 -0.815456 0.990347 -26.82221384653 39.089756 -0.690791 1.041551 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 19 452 3 3 ZTF_r 592456811015 0 1.765 141.537 4.87159 26.0131 1.73093e-05 0.0231674 0.105327 2.45151e-05 228 30. 0.054348 0.057934 20.6216 26.0131 3 2458346.9568171 452120210 -38.61375237319 18.219606 -2.357533 1.081900 -50.92569352411 36.337273 -1.410912 1.037156 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 20 452 3 3 ZTF_g 592471581015 0 1.9757 90.6882 3.86188 26.0792 2.47786e-05 0.0281602 -0.047367 3.53472e-05 227 30. 0.051832 0.058215 20.8234 26.0792 1 2458346.9715856 452120110 15.91829732014 17.105265 1.035194 1.029850 -38.60447563549 30.920958 -1.256898 1.053182 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 21 452 3 3 ZTF_g 592472511015 0 1.8798 89.9684 3.84221 26.0738 2.04491e-05 0.0256511 -0.0476933 2.94005e-05 228 30. 0.054057 0.054223 20.8468 26.0738 3 2458346.9725116 452120110 5.69303227583 16.454496 0.384870 0.959185 -1.67563351189 30.279715 -0.055711 1.052320 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 22 452 3 3 ZTF_r 593441821015 0 1.5397 143.961 4.83905 26.034 2.58175e-05 0.0285425 0.103327 3.73705e-05 228 30. 0.058012 0.062506 20.7013 26.034 3 2458347.9418287 452120210 -0.18111099105 20.755856 -0.009706 0.884670 -33.709564146 42.711948 -0.794546 1.031224 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 23 452 3 3 ZTF_g 593481261015 0 2.8399 98.2035 3.89715 26.1615 2.77337e-05 0.0294958 -0.014376 4.08375e-05 222 30. 0.061231 0.055958 20.7521 26.1615 3 2458347.9812616 452120110 29.03928137789 21.687033 1.489500 0.993731 28.7623042262 34.498486 0.839342 1.095729 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 24 452 3 3 ZTF_r 594434531015 0 2.0049 147.636 4.78991 26.0583 1.91434e-05 0.0250748 0.116394 2.75429e-05 239 30. 0.055712 0.055889 20.578 26.0583 3 2458348.934537 452120210 -7.37879610232 19.507015 -0.420775 0.977217 8.06405015822 36.232315 0.224064 1.044472 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 25 452 3 3 ZTF_g 594482461015 0 2.9628 99.2005 3.92789 26.1597 3.63718e-05 0.0346916 -0.0095408 5.3165e-05 234 30. 0.07143 0.063115 20.653 26.1597 3 2458348.9824653 452120110 7.28361315872 23.625380 0.342944 0.853005 5.77554834957 36.203854 0.160603 1.106976 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 26 452 3 3 ZTF_g 595423611015 0 1.9048 97.0276 4.03583 26.1475 1.85015e-05 0.0247574 -0.0317711 2.68626e-05 238 30. 0.058736 0.061758 20.8369 26.1475 1 2458349.9236111 452120110 -2.96081073423 18.225372 -0.180713 0.910102 -0.10746322897 33.036766 -0.003275 1.055999 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 27 452 3 3 ZTF_g 595424511015 0 2.0859 96.9422 4.02599 26.1682 2.84324e-05 0.0306532 -0.0471425 4.16772e-05 237 30. 0.062573 0.059416 20.8892 26.1682 3 2458349.9245139 452120110 16.08429572652 16.332567 1.095475 1.007597 16.50320297843 29.102449 0.570892 1.055263 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 28 452 3 3 ZTF_r 595495531015 0 1.5459 154.56 5.04566 26.1006 1.94417e-05 0.0251075 0.11214 2.80101e-05 236 30. 0.059084 0.061578 20.7578 26.1006 1 2458349.9955324 452120210 28.46323129056 18.832987 1.681202 0.987197 23.86346121573 37.372135 0.642837 1.036583 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 29 452 3 3 ZTF_r 595496441015 0 1.6199 153.681 5.09738 26.1045 2.13545e-05 0.026326 0.108733 3.04985e-05 238 30. 0.057681 0.061823 20.6927 26.1045 3 2458349.9964468 452120210 1.05096515069 19.912693 0.058710 0.917998 26.15380462112 40.264267 0.653929 1.036571 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 30 452 3 3 ZTF_g 596461231015 0 1.9177 96.5064 3.87384 26.1554 2.10659e-05 0.0265446 -0.051892 3.06851e-05 238 30. 0.05621 0.05955 20.9255 26.1554 3 2458350.9612384 452120110 17.63827594483 15.429141 1.271655 0.961310 32.93875856593 28.820101 1.150607 1.050117 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 31 452 3 3 ZTF_r 596500331015 0 1.5908 148.336 5.29176 26.0643 1.59138e-05 0.0228295 0.10086 2.2871e-05 237 30. 0.058699 0.061917 20.6095 26.0643 3 2458351.0003356 452120210 22.78479559062 21.883190 1.158215 0.952509 -9.78593317702 44.059986 -0.223601 1.035341 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 32 452 3 3 ZTF_g 597449011015 0 2.0748 98.5603 3.6404 26.165 2.46455e-05 0.0281078 -0.0312971 3.59433e-05 226 30. 0.05297 0.060538 20.9749 26.165 3 2458351.9490162 452120110 -3.76771362065 16.279636 -0.257447 0.953782 -11.43106809867 28.871071 -0.398602 1.064884 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 33 452 3 3 ZTF_r 597493501015 0 1.5872 153.461 4.47919 26.1095 2.10092e-05 0.0258639 0.105132 3.0609e-05 226 30. 0.050497 0.062101 20.8432 26.1095 3 2458351.9935069 452120210 29.96433499244 17.334185 1.922897 0.977603 42.83650169648 35.624866 1.210531 1.031286 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 34 452 3 3 ZTF_g 598439541015 0 2.7842 98.6679 3.75935 26.1425 2.11629e-05 0.0263613 -0.00462265 3.05149e-05 239 30. 0.064117 0.060296 20.9014 26.1425 3 2458352.9395486 452120110 4.39615028576 16.176601 0.302301 1.064578 12.0510256489 26.701136 0.454370 1.091413 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 35 452 3 3 ZTF_g 598440461015 0 2.0614 98.229 3.75325 26.1512 2.48088e-05 0.0287369 -0.0270909 3.59548e-05 241 30. 0.059201 0.057285 20.99 26.1512 1 2458352.940463 452120110 22.32370938277 17.059109 1.455676 0.980554 5.05859407784 29.040359 0.175365 1.076264 0.0115921126196177 20.4210001945496 0.034000001847744 0.703000009059906 0.034000001847744 2458314.977014 2458366.930162 0
 36 452 3 3 ZTF_r 598496571015 0 1.5205 153.872 4.565 26.1016 2.24816e-05 0.0270305 0.108673 3.2154e-05 241 30. 0.060802 0.060704 20.8525 26.1016 1 2458352.9965741 452120210 22.51884969964 16.794388 1.491547 0.983960 59.38417019706 34.492172 1.733267 1.033814 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
 37 452 3 3 ZTF_r 598497481015 0 1.7327 154.366 4.58314 26.1158 2.40321e-05 0.0280089 0.0969275 3.44022e-05 241 30. 0.061793 0.068771 20.8387 26.1158 3 2458352.9974884 452120210 28.04989117735 16.325741 1.911231 1.151476 4.66104360316 32.387348 0.144885 1.034088 0.0137783111479583 19.708000087738 0.0320000015199184 0.939999997615814 0.0759999975562096 2458314.942234 2458437.795845 0
