# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.5 on 2023-10-31 at 14:32:30
#
# Requested input R.A. = 22.444625 degrees
# Requested input Dec. = 15.0825556 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460247.91250103 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 553 3 3 ZTF_r 530476001015 33556480 2.2486 39.0657 8.97908 24.7522 0.00103655 0.216041 0.119908 0.00144375 306 30. 0.097766 0.072228 18.4349 24.7522 1 2458284.9760069 553120210 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458294.981481 2458428.752870 57,61
 1 502 15 1 ZTF_r 534464525615 0 3.7513 138.994 7.46361 26.0806 2.88272e-05 0.0396918 0.100038 3.87245e-05 390 30. 0.078614 0.072378 19.5417 26.0806 1 2458288.9645255 502120256 -69.76474844194 48.738358 -1.592282 0.934553 -61.16132893074 63.594536 -0.968216 1.151807 0.123735945230455 18.6420001029968 0.0179999992251396 0.654999971389771 0.0509999990463257 2458321.977882 2458364.885093 0
 2 553 3 3 ZTF_r 534464971015 0 4.5348 129.803 6.64218 26.0545 3.30087e-05 0.044335 0.105974 4.3097e-05 403 30. 0.089976 0.067066 19.4844 26.0545 1 2458288.9649769 553120210 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458294.981481 2458428.752870 57,61
 3 553 3 3 ZTF_g 537449441015 0 2.3477 66.8983 4.76261 26.0965 1.54681e-05 0.0305738 -0.0565246 2.03833e-05 412 30. 0.075385 0.058735 20.4614 26.0965 1 2458291.9494444 553120110 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458291.949444 2458362.973067 57,61
 4 502 15 1 ZTF_r 540481015615 0 2.1276 144.859 11.3948 26.1275 1.55355e-05 0.0289507 0.100223 2.06206e-05 387 30. 0.056583 0.050492 19.5836 26.1275 1 2458294.9810185 502120256 -124.5613910764 48.018520 -2.885556 1.085913 -83.41373668423 90.649574 -0.926375 1.041163 0.123735945230455 18.6420001029968 0.0179999992251396 0.654999971389771 0.0509999990463257 2458321.977882 2458364.885093 0
 5 553 3 3 ZTF_r 540481481015 0 1.8271 135.244 11.3878 26.1109 1.61309e-05 0.0311183 0.0986247 2.1302e-05 409 30. 0.055149 0.052696 19.7336 26.1109 1 2458294.9814815 553120210 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458294.981481 2458428.752870 57,61
 6 553 3 3 ZTF_r 543425691015 0 2.2529 127.347 14.9988 26.0239 2.0618e-05 0.0356333 0.115287 2.73815e-05 414 30. 0.060667 0.050441 19.1663 26.0239 1 2458297.9256944 553120210 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458294.981481 2458428.752870 57,61
 7 502 15 1 ZTF_r 544454655615 0 2.8083 138.063 12.4729 26.0694 2.76805e-05 0.0388894 0.105298 3.70735e-05 387 30. 0.070409 0.065072 19.235 26.0694 1 2458298.9546528 502120256 -92.48540701791 67.785133 -1.517727 1.023636 -44.95122193401 102.981049 -0.439440 1.089626 0.123735945230455 18.6420001029968 0.0179999992251396 0.654999971389771 0.0509999990463257 2458321.977882 2458364.885093 0
 8 502 15 1 ZTF_g 544463175615 0 2.7104 83.5715 14.6798 26.156 6.02585e-05 0.0455564 -0.0537942 0.000119463 238 30. 0.065368 0.060132 19.1691 26.156 1 2458298.9631713 502120156 -62.08807143836 79.177467 -0.872291 0.963129 -171.99598514428 122.311447 -1.415684 1.112756 0.181129039184706 19.0810000419617 0.0230000000447035 0.698000013828278 0.0450000017881393 2458304.962292 2458349.935775 0
