# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v5.5 on 2023-10-31 at 14:50:56
#
# Requested input R.A. = 39.0157083 degrees
# Requested input Dec. = -0.5139444 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460247.91099238 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 401 13 3 ZTF_g 559465895015 0 2.2368 66.9886 4.79397 25.8512 3.91574e-05 0.0370073 -0.0371003 6.06112e-05 240 30. 0.114927 0.090794 20.2752 25.8512 1 2458313.9658912 401120150 -10.78472374132 23.872837 -0.502527 0.973560 -28.48283347777 40.439503 -0.709076 1.088708 0.144173591505862 19.026000213623 0.0189999993890524 0.425999999046326 -0.025000000372529 2458313.965891 2458366.948021 0
 1 401 13 4 ZTF_g 559465895115 0 2.2979 62.8163 4.9537 25.7418 6.02958e-05 0.0442099 -0.0134819 8.4834e-05 228 30. 0.11161 0.101629 20.1103 25.7418 1 2458313.9658912 401120151 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458313.965891 2458366.948021 57,61
 2 401 13 3 ZTF_g 566462585015 33554432 6.1709 33.7962 4.9634 25.0924 0.00018877 0.0716334 0.0480084 0.000388181 179 30. 0.083764 0.067954 19.4443 25.0924 1 2458320.962581 401120150 -68.22347786149 28.436098 -2.668816 1.035016 -106.46961998369 44.278915 -2.420717 1.167124 0.144173591505862 19.026000213623 0.0189999993890524 0.425999999046326 -0.025000000372529 2458313.965891 2458366.948021 0
 3 401 13 4 ZTF_g 566462585115 33554432 2.1538 32.0966 4.92317 25.0207 0.00087406 0.14328 0.0177503 0.00163975 144 30. 0.073341 0.065133 19.3755 25.0207 1 2458320.962581 401120151 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458313.965891 2458366.948021 57,61
 4 401 13 3 ZTF_r 566484545015 0 1.6572 96.1356 6.1699 25.8181 9.82836e-05 0.0588648 0.104522 0.000148312 245 30. 0.056255 0.046767 20.17 25.8181 1 2458320.9845486 401120250 -10.91048335153 23.431784 -0.517957 1.117390 4.81400341006 47.319656 0.102419 1.039431 0.113623076666919 18.5700000762939 0.0219999998807907 0.954999983310699 -0.0469999983906746 2458335.960116 2458366.998229 0
 5 401 13 4 ZTF_r 566484545115 0 1.6207 82.2744 6.20202 25.6186 0.000102017 0.0583206 0.0949448 0.00013235 244 30. 0.056278 0.050897 19.9848 25.6186 1 2458320.9845486 401120251 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458335.960116 2458369.937361 57,61
 6 401 13 3 ZTF_g 569441595015 0 2.5594 81.494 4.95912 26.0326 5.17878e-05 0.0425297 -0.00432768 8.28843e-05 232 30. 0.07958 0.079724 20.391 26.0326 1 2458323.9415972 401120150 -60.44787909808 26.909611 -2.498782 1.079704 -98.88474852933 40.968658 -2.429924 1.211739 0.144173591505862 19.026000213623 0.0189999993890524 0.425999999046326 -0.025000000372529 2458313.965891 2458366.948021 0
 7 401 13 4 ZTF_g 569441595115 0 2.2675 76.5621 4.97797 25.9421 5.55714e-05 0.0423579 -0.00648147 8.01527e-05 217 30. 0.079948 0.083388 20.1831 25.9421 1 2458323.9415972 401120151 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458313.965891 2458366.948021 57,61
 8 401 13 3 ZTF_r 569484665015 0 1.8801 131.525 6.51996 26.1512 1.9462e-05 0.0263902 0.107758 2.91937e-05 247 30. 0.059666 0.053807 20.3863 26.1512 1 2458323.9846644 401120250 13.24949092028 26.917772 0.547539 1.034891 35.02839077279 51.455185 0.685340 1.049261 0.113623076666919 18.5700000762939 0.0219999998807907 0.954999983310699 -0.0469999983906746 2458335.960116 2458366.998229 0
