mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58390.28	18.25	0.05	8.86e-17	4.11e-18
58390.28	11.74	nan	3.57e-14	nan
58397.32	11.71	nan	3.68e-14	nan
58397.32	18.21	0.02	9.21e-17	1.44e-18
58426.30	11.58	nan	4.15e-14	nan
58426.30	18.22	0.04	9.14e-17	3.33e-18
58430.25	11.73	nan	3.61e-14	nan
58430.25	18.25	0.03	8.92e-17	2.27e-18
58431.27	11.71	nan	3.68e-14	nan
58431.27	18.32	0.07	8.37e-17	5.54e-18
58434.25	11.75	nan	3.54e-14	nan
58434.25	18.28	0.05	8.68e-17	3.77e-18
58435.25	18.13	0.05	9.95e-17	4.37e-18
58738.40	11.70	nan	3.72e-14	nan
58738.40	18.82	0.05	5.26e-17	2.44e-18
58746.37	18.70	0.05	5.87e-17	2.54e-18
58746.37	11.66	nan	3.83e-14	nan
58747.35	11.64	nan	3.93e-14	nan
58747.36	18.79	0.04	5.42e-17	1.75e-18
58747.37	18.69	0.03	5.95e-17	1.53e-18
58747.37	11.66	nan	3.85e-14	nan
58750.35	18.77	0.07	5.53e-17	3.44e-18
58750.35	11.59	nan	4.12e-14	nan
58751.35	11.62	nan	4.01e-14	nan
58751.35	18.66	0.04	6.10e-17	2.26e-18
58751.35	18.70	0.04	5.90e-17	2.02e-18
58751.35	11.60	nan	4.06e-14	nan
58757.36	18.68	0.03	5.98e-17	1.66e-18
58757.36	11.68	nan	3.78e-14	nan
58757.37	11.68	nan	3.78e-14	nan
58757.37	18.69	0.02	5.92e-17	1.20e-18
58761.33	11.69	nan	3.75e-14	nan
58761.33	18.68	0.04	6.00e-17	2.18e-18
58765.33	11.68	nan	3.79e-14	nan
58765.33	18.66	0.03	6.10e-17	1.86e-18
58765.33	18.65	0.03	6.16e-17	1.98e-18
58769.28	11.71	nan	3.69e-14	nan
58769.31	11.73	nan	3.62e-14	nan
59114.38	18.67	0.03	6.07e-17	1.50e-18
59114.38	11.76	nan	3.52e-14	nan
59119.31	11.82	nan	3.32e-14	nan
59121.27	11.79	nan	3.43e-14	nan
59140.35	11.78	nan	3.44e-14	nan
59140.35	18.60	0.03	6.47e-17	1.53e-18
59141.29	18.76	0.02	5.56e-17	1.20e-18
59144.29	18.74	0.01	5.68e-17	3.94e-19
59144.29	11.80	nan	3.39e-14	nan
59146.27	18.75	0.10	5.63e-17	5.35e-18
59147.27	11.80	nan	3.37e-14	nan
59165.27	11.84	nan	3.26e-14	nan
59182.29	11.84	nan	3.26e-14	nan
59182.29	18.68	0.10	6.00e-17	5.66e-18
59183.23	19.07	nan	4.16e-17	nan
59183.28	10.02	nan	1.75e-13	nan
59184.32	18.90	0.11	4.87e-17	4.79e-18
59184.33	11.82	nan	3.33e-14	nan
59187.27	18.71	0.08	5.82e-17	4.34e-18
59187.28	11.83	nan	3.28e-14	nan
59190.22	18.81	0.09	5.33e-17	4.19e-18
59190.22	11.55	nan	4.27e-14	nan
59200.29	11.38	nan	4.96e-14	nan
59200.29	18.51	0.10	7.03e-17	6.28e-18
59203.26	18.71	0.08	5.83e-17	4.53e-18
59203.26	11.82	nan	3.33e-14	nan
59206.13	10.68	nan	9.53e-14	nan
59211.18	11.85	nan	3.24e-14	nan
59211.19	18.77	0.09	5.53e-17	4.34e-18
59217.19	19.04	nan	4.31e-17	nan
59217.20	11.28	nan	5.45e-14	nan
59220.17	18.76	0.05	5.59e-17	2.48e-18
