mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58370.43	18.40	0.01	1.18e-16	1.17e-18
58371.41	12.53	nan	2.64e-14	nan
58371.41	18.43	0.01	1.15e-16	9.40e-19
58371.43	18.40	0.01	1.18e-16	1.20e-18
58371.43	12.43	nan	2.88e-14	nan
58371.43	18.41	0.01	1.17e-16	8.04e-19
58371.43	12.41	nan	2.95e-14	nan
58372.39	12.40	nan	2.96e-14	nan
58372.39	18.41	0.01	1.17e-16	1.52e-18
58373.45	18.40	0.02	1.19e-16	1.69e-18
58373.45	12.40	nan	2.97e-14	nan
58374.36	12.40	nan	2.98e-14	nan
58374.36	12.41	nan	2.95e-14	nan
58374.39	18.38	0.01	1.20e-16	1.37e-18
58374.39	18.44	0.01	1.14e-16	1.03e-18
58375.37	12.39	nan	2.99e-14	nan
58375.37	18.40	0.01	1.18e-16	1.39e-18
58377.41	18.34	0.02	1.24e-16	2.01e-18
58377.41	18.37	0.02	1.22e-16	1.81e-18
58377.42	12.37	nan	3.05e-14	nan
58377.43	12.40	nan	2.96e-14	nan
58378.38	18.39	0.01	1.19e-16	1.51e-18
58378.38	12.43	nan	2.90e-14	nan
58379.40	18.32	0.02	1.27e-16	1.79e-18
58379.40	12.43	nan	2.89e-14	nan
58380.31	18.54	0.01	1.04e-16	1.13e-18
58380.31	12.60	nan	2.46e-14	nan
58380.43	12.38	nan	3.03e-14	nan
58380.43	18.39	0.02	1.20e-16	1.68e-18
58380.43	12.37	nan	3.06e-14	nan
58380.43	18.43	0.02	1.15e-16	1.59e-18
58382.34	18.35	0.03	1.24e-16	3.01e-18
58382.34	12.39	nan	3.00e-14	nan
58383.35	18.39	0.02	1.20e-16	2.51e-18
58383.35	12.47	nan	2.79e-14	nan
58383.38	12.34	nan	3.13e-14	nan
58383.40	18.38	0.03	1.20e-16	3.31e-18
58383.40	12.39	nan	2.99e-14	nan
58383.40	18.28	0.03	1.32e-16	3.27e-18
58385.30	18.42	0.06	1.16e-16	6.26e-18
58385.32	12.37	nan	3.07e-14	nan
58386.27	12.39	nan	3.00e-14	nan
58386.28	12.40	nan	2.97e-14	nan
58386.40	18.37	0.07	1.22e-16	7.88e-18
58386.41	18.31	0.06	1.28e-16	7.59e-18
58389.31	12.32	nan	3.21e-14	nan
58389.48	18.38	0.06	1.20e-16	6.89e-18
58397.40	18.30	0.01	1.30e-16	1.33e-18
58397.41	12.36	nan	3.08e-14	nan
58422.32	12.36	nan	3.07e-14	nan
58423.38	18.32	0.01	1.27e-16	1.57e-18
58423.38	12.46	nan	2.81e-14	nan
58424.26	18.32	0.03	1.27e-16	3.78e-18
58424.26	12.14	nan	3.78e-14	nan
58425.23	11.23	nan	8.70e-14	nan
58425.23	18.14	0.11	1.51e-16	1.55e-17
58425.25	11.45	nan	7.11e-14	nan
58425.25	18.42	0.08	1.16e-16	8.28e-18
58426.27	18.31	0.01	1.28e-16	1.54e-18
58426.27	12.40	nan	2.98e-14	nan
58428.23	18.32	0.02	1.28e-16	2.19e-18
58428.25	12.38	nan	3.01e-14	nan
58428.27	18.31	0.01	1.29e-16	1.02e-18
58428.27	12.50	nan	2.70e-14	nan
58429.33	18.29	0.01	1.31e-16	8.28e-19
58429.33	12.48	nan	2.76e-14	nan
58431.20	18.33	0.04	1.26e-16	4.81e-18
58431.20	12.36	nan	3.09e-14	nan
58431.33	12.45	nan	2.84e-14	nan
58431.33	18.36	0.05	1.22e-16	5.34e-18
58432.32	18.31	0.03	1.28e-16	3.92e-18
58432.32	12.48	nan	2.75e-14	nan
58434.20	18.29	0.03	1.31e-16	3.33e-18
58434.20	12.38	nan	3.02e-14	nan
58435.33	18.20	0.04	1.42e-16	5.40e-18
58435.33	12.50	nan	2.71e-14	nan
58436.27	18.45	0.19	1.13e-16	1.94e-17
58436.27	11.78	nan	5.27e-14	nan
58437.27	18.32	0.03	1.27e-16	3.00e-18
58437.28	12.50	nan	2.70e-14	nan
58437.28	18.29	0.02	1.31e-16	1.97e-18
58437.30	12.39	nan	3.00e-14	nan
58437.30	12.39	nan	3.00e-14	nan
58438.28	18.15	0.14	1.49e-16	1.89e-17
58438.28	11.17	nan	9.18e-14	nan
58438.29	9.45	nan	4.50e-13	nan
58439.26	11.97	nan	4.43e-14	nan
58439.26	18.36	0.07	1.23e-16	8.03e-18
58441.27	12.37	nan	3.05e-14	nan
58447.33	18.36	0.05	1.22e-16	6.02e-18
58447.34	12.36	nan	3.08e-14	nan
58447.34	12.35	nan	3.11e-14	nan
58449.33	11.41	nan	7.39e-14	nan
58450.31	10.20	nan	2.25e-13	nan
58450.31	10.16	nan	2.33e-13	nan
58455.30	12.36	nan	3.08e-14	nan
58456.19	18.38	0.02	1.21e-16	2.62e-18
58456.20	18.41	0.02	1.18e-16	1.71e-18
58456.20	12.52	nan	2.67e-14	nan
