mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58291.45	12.30	nan	5.89e-14	nan
58298.46	19.08	0.14	1.14e-16	1.45e-17
58300.46	12.35	nan	5.58e-14	nan
58301.48	19.05	0.10	1.18e-16	1.08e-17
58303.45	12.32	nan	5.74e-14	nan
58304.46	18.99	0.07	1.24e-16	8.51e-18
58307.46	12.24	nan	6.18e-14	nan
58312.48	19.11	0.03	1.11e-16	3.49e-18
58313.46	12.25	nan	6.13e-14	nan
58318.45	19.02	0.04	1.20e-16	4.08e-18
58319.43	12.38	nan	5.47e-14	nan
58321.44	19.05	0.02	1.17e-16	2.41e-18
58322.46	12.46	nan	5.08e-14	nan
58324.44	18.98	0.08	1.25e-16	8.73e-18
58325.44	12.34	nan	5.65e-14	nan
58327.48	19.14	0.13	1.08e-16	1.24e-17
58330.48	19.04	0.12	1.18e-16	1.33e-17
58331.48	12.42	nan	5.23e-14	nan
58335.48	19.02	0.05	1.21e-16	5.42e-18
58335.48	12.43	nan	5.20e-14	nan
58338.42	19.02	0.03	1.21e-16	2.93e-18
58338.46	12.42	nan	5.27e-14	nan
58342.42	12.30	nan	5.87e-14	nan
58342.46	18.94	0.03	1.29e-16	3.84e-18
58345.42	12.37	nan	5.51e-14	nan
58345.42	12.36	nan	5.54e-14	nan
58345.44	18.98	0.03	1.24e-16	3.37e-18
58345.44	18.99	0.03	1.24e-16	3.28e-18
58346.47	12.33	nan	5.70e-14	nan
58346.47	18.92	0.03	1.32e-16	3.34e-18
58347.47	18.88	0.01	1.37e-16	1.83e-18
58347.47	12.40	nan	5.36e-14	nan
58347.51	12.40	nan	5.35e-14	nan
58348.48	12.41	nan	5.32e-14	nan
58348.48	18.94	0.01	1.30e-16	1.75e-18
58348.48	12.42	nan	5.27e-14	nan
58348.48	18.93	0.01	1.31e-16	1.57e-18
58348.50	18.91	0.03	1.34e-16	3.16e-18
58348.50	12.38	nan	5.47e-14	nan
58348.50	18.86	0.03	1.40e-16	3.96e-18
58349.44	12.43	nan	5.21e-14	nan
58349.44	18.93	0.01	1.31e-16	1.78e-18
58350.42	12.44	nan	5.17e-14	nan
58350.44	19.09	0.01	1.13e-16	1.21e-18
58351.43	12.43	nan	5.23e-14	nan
58351.43	12.42	nan	5.27e-14	nan
58351.45	18.86	0.01	1.40e-16	1.84e-18
58351.45	18.86	0.01	1.39e-16	1.21e-18
58352.43	12.41	nan	5.30e-14	nan
58352.43	18.84	0.01	1.42e-16	1.12e-18
58362.47	12.47	nan	5.01e-14	nan
58362.47	18.71	0.05	1.60e-16	6.69e-18
58362.47	12.47	nan	4.99e-14	nan
58362.47	18.73	0.05	1.58e-16	7.67e-18
58363.38	12.42	nan	5.24e-14	nan
58363.39	18.70	0.04	1.61e-16	5.76e-18
58363.39	12.43	nan	5.19e-14	nan
58363.40	18.79	0.05	1.49e-16	7.41e-18
58364.41	18.83	0.04	1.44e-16	5.89e-18
58364.41	12.42	nan	5.23e-14	nan
58364.43	12.41	nan	5.31e-14	nan
58364.43	18.78	0.04	1.50e-16	4.91e-18
58365.41	12.48	nan	4.99e-14	nan
58365.41	18.72	0.02	1.58e-16	3.44e-18
58365.41	12.48	nan	4.96e-14	nan
58365.41	18.75	0.02	1.54e-16	3.05e-18
58366.41	12.48	nan	4.96e-14	nan
58366.41	18.70	0.02	1.61e-16	2.62e-18
58366.45	18.77	0.02	1.52e-16	2.74e-18
58366.45	12.48	nan	4.96e-14	nan
58367.40	18.66	0.01	1.68e-16	2.19e-18
58367.41	12.50	nan	4.86e-14	nan
58367.45	12.49	nan	4.92e-14	nan
58368.38	12.48	nan	4.98e-14	nan
58368.38	12.48	nan	4.95e-14	nan
58368.40	18.70	0.02	1.62e-16	2.63e-18
58368.40	18.68	0.02	1.65e-16	2.35e-18
58369.44	18.71	0.02	1.60e-16	2.52e-18
58369.44	12.52	nan	4.80e-14	nan
58370.39	12.50	nan	4.89e-14	nan
58370.39	18.67	0.02	1.66e-16	2.86e-18
58371.36	12.52	nan	4.81e-14	nan
58371.36	12.50	nan	4.88e-14	nan
58371.38	18.66	0.02	1.67e-16	2.55e-18
58371.38	18.67	0.01	1.65e-16	2.23e-18
58372.41	12.48	nan	4.95e-14	nan
58372.41	18.66	0.02	1.67e-16	2.53e-18
58372.43	18.65	0.01	1.68e-16	1.63e-18
58372.43	12.51	nan	4.82e-14	nan
58373.38	12.50	nan	4.89e-14	nan
58373.41	18.65	0.02	1.69e-16	2.71e-18
58373.42	12.45	nan	5.09e-14	nan
58373.42	18.70	0.01	1.62e-16	2.03e-18
58374.40	18.65	0.02	1.70e-16	2.99e-18
58374.40	12.53	nan	4.77e-14	nan
58374.41	18.67	0.02	1.66e-16	2.54e-18
58374.41	12.54	nan	4.72e-14	nan
58375.42	18.62	0.02	1.73e-16	2.62e-18
58375.42	12.54	nan	4.70e-14	nan
58376.44	18.62	0.02	1.74e-16	2.57e-18
58376.44	12.50	nan	4.88e-14	nan
58377.36	18.60	0.02	1.77e-16	2.68e-18
58377.36	18.65	0.02	1.70e-16	2.63e-18
58377.38	12.47	nan	5.03e-14	nan
58377.38	12.49	nan	4.94e-14	nan
58378.35	12.48	nan	4.97e-14	nan
58378.45	18.68	0.02	1.65e-16	2.91e-18
58379.37	18.60	0.02	1.78e-16	3.17e-18
58379.44	12.50	nan	4.86e-14	nan
58380.36	18.70	0.02	1.61e-16	3.19e-18
58380.36	12.48	nan	4.99e-14	nan
58380.36	18.75	0.02	1.54e-16	2.84e-18
58380.36	12.48	nan	4.99e-14	nan
58382.43	18.58	0.02	1.81e-16	2.56e-18
58382.45	12.49	nan	4.95e-14	nan
58383.42	18.57	0.04	1.82e-16	6.32e-18
58383.42	18.56	0.04	1.83e-16	7.14e-18
58383.45	12.47	nan	5.00e-14	nan
58383.45	12.46	nan	5.06e-14	nan
58384.32	18.58	0.06	1.80e-16	9.56e-18
58384.32	12.43	nan	5.20e-14	nan
58384.47	12.40	nan	5.35e-14	nan
58384.47	18.56	0.06	1.83e-16	9.65e-18
58385.38	18.58	0.08	1.80e-16	1.39e-17
58385.38	12.46	nan	5.07e-14	nan
58385.40	12.47	nan	5.04e-14	nan
58385.40	18.60	0.06	1.77e-16	9.97e-18
58386.47	18.58	0.11	1.81e-16	1.83e-17
58386.47	12.48	nan	4.99e-14	nan
58386.47	12.43	nan	5.21e-14	nan
58386.47	18.51	0.12	1.93e-16	2.10e-17
58389.36	12.47	nan	5.01e-14	nan
58389.38	18.65	0.06	1.69e-16	1.00e-17
58389.39	12.45	nan	5.10e-14	nan
58389.39	18.51	0.06	1.93e-16	9.94e-18
58390.36	12.48	nan	4.95e-14	nan
58390.36	18.55	0.04	1.86e-16	6.87e-18
58397.36	18.49	0.02	1.97e-16	2.72e-18
58397.36	12.48	nan	4.99e-14	nan
58422.27	12.47	nan	5.00e-14	nan
58425.20	18.49	0.04	1.97e-16	6.51e-18
58425.34	12.47	nan	5.00e-14	nan
58427.33	12.27	nan	6.01e-14	nan
58427.33	18.58	0.04	1.80e-16	6.83e-18
58428.22	18.54	0.02	1.87e-16	3.13e-18
58428.22	12.50	nan	4.89e-14	nan
58430.30	18.55	0.01	1.85e-16	2.29e-18
58430.30	12.47	nan	5.03e-14	nan
58431.23	12.44	nan	5.16e-14	nan
58431.23	18.54	0.04	1.87e-16	6.45e-18
58434.27	12.49	nan	4.92e-14	nan
58434.27	18.56	0.03	1.83e-16	5.43e-18
58435.20	18.60	0.03	1.78e-16	5.15e-18
