mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
59182.29	18.79	0.14	5.40e-17	6.86e-18
59182.29	11.77	nan	3.49e-14	nan
59184.33	11.75	nan	3.53e-14	nan
59184.33	18.71	0.09	5.82e-17	4.91e-18
59187.27	18.77	0.09	5.51e-17	4.74e-18
59187.27	11.75	nan	3.53e-14	nan
59190.26	11.08	nan	6.57e-14	nan
59190.26	19.58	nan	2.62e-17	nan
59200.28	11.61	nan	4.02e-14	nan
59200.28	18.64	0.07	6.23e-17	4.29e-18
59203.25	11.73	nan	3.60e-14	nan
59203.25	18.72	0.09	5.77e-17	4.79e-18
59206.28	18.01	nan	1.11e-16	nan
59206.28	10.82	nan	8.38e-14	nan
59211.19	11.74	nan	3.59e-14	nan
59211.19	18.63	0.07	6.27e-17	4.28e-18
59217.21	11.23	nan	5.70e-14	nan
59217.21	18.67	0.12	6.03e-17	6.57e-18
59220.18	18.61	0.03	6.40e-17	2.03e-18
59220.18	11.72	nan	3.63e-14	nan
59223.23	11.73	nan	3.62e-14	nan
59223.23	18.68	0.05	5.96e-17	2.99e-18
59226.15	11.72	nan	3.65e-14	nan
59226.15	18.76	0.11	5.56e-17	5.40e-18
59229.17	18.60	0.11	6.43e-17	6.30e-18
59229.17	11.72	nan	3.64e-14	nan
59232.25	18.62	0.04	6.34e-17	2.48e-18
59232.25	11.70	nan	3.72e-14	nan
59253.14	11.69	nan	3.74e-14	nan
59253.14	18.52	0.04	6.91e-17	2.77e-18
59256.20	18.64	0.06	6.19e-17	3.41e-18
59256.20	11.65	nan	3.89e-14	nan
59266.17	18.68	0.15	5.97e-17	8.08e-18
59266.17	11.71	nan	3.69e-14	nan
59270.17	18.47	0.10	7.27e-17	6.64e-18
59270.17	11.69	nan	3.74e-14	nan
59424.47	18.71	0.09	5.83e-17	4.65e-18
59424.47	11.61	nan	4.03e-14	nan
59436.40	11.46	nan	4.64e-14	nan
59436.40	18.62	0.05	6.33e-17	2.69e-18
59450.49	11.61	nan	4.03e-14	nan
59450.49	18.46	0.11	7.37e-17	7.30e-18
59459.41	11.70	nan	3.71e-14	nan
59459.41	18.71	0.04	5.84e-17	2.40e-18
59462.45	18.58	0.04	6.58e-17	2.50e-18
59462.45	11.70	nan	3.70e-14	nan
59465.38	18.67	0.06	6.03e-17	3.23e-18
59465.38	11.66	nan	3.86e-14	nan
59468.40	18.70	0.04	5.89e-17	2.22e-18
59468.40	11.66	nan	3.83e-14	nan
59471.41	11.62	nan	4.01e-14	nan
59471.41	18.64	0.05	6.24e-17	2.87e-18
59476.38	11.72	nan	3.64e-14	nan
59476.38	18.80	0.10	5.38e-17	5.08e-18
59479.32	11.67	nan	3.80e-14	nan
59479.32	18.52	0.12	6.92e-17	7.71e-18
59484.44	11.67	nan	3.83e-14	nan
59484.44	18.62	0.07	6.35e-17	4.01e-18
59485.43	19.10	nan	4.06e-17	nan
59485.43	11.08	nan	6.56e-14	nan
59487.31	18.60	0.08	6.43e-17	4.95e-18
59487.31	11.66	nan	3.85e-14	nan
59491.34	11.53	nan	4.34e-14	nan
59491.34	18.62	0.06	6.36e-17	3.63e-18
59497.40	11.73	nan	3.62e-14	nan
59497.40	18.61	0.06	6.40e-17	3.55e-18
59502.31	18.59	0.08	6.49e-17	4.59e-18
59502.31	11.72	nan	3.66e-14	nan
59505.34	11.72	nan	3.63e-14	nan
59505.34	18.69	0.11	5.95e-17	6.02e-18
59511.42	12.36	nan	2.02e-14	nan
59511.42	19.08	0.16	4.16e-17	6.27e-18
59512.34	11.73	nan	3.61e-14	nan
59512.34	18.65	0.06	6.15e-17	3.33e-18
59520.34	18.61	0.05	6.39e-17	3.01e-18
59520.34	11.74	nan	3.57e-14	nan
59522.33	11.75	nan	3.55e-14	nan
59522.33	18.50	0.04	7.07e-17	2.63e-18
59523.24	11.74	nan	3.56e-14	nan
59523.24	18.60	0.05	6.42e-17	3.05e-18
59526.30	18.51	0.03	6.97e-17	2.24e-18
59526.30	11.76	nan	3.52e-14	nan
59529.30	18.72	0.07	5.76e-17	3.69e-18
59529.30	11.75	nan	3.56e-14	nan
59532.32	18.47	0.06	7.25e-17	4.05e-18
59532.32	11.77	nan	3.48e-14	nan
59540.29	18.56	0.10	6.72e-17	6.05e-18
59540.29	11.75	nan	3.54e-14	nan
59550.32	18.64	0.04	6.24e-17	2.17e-18
59550.32	11.72	nan	3.63e-14	nan
59623.18	18.55	0.07	6.76e-17	4.35e-18
59623.18	11.73	nan	3.62e-14	nan
