mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58323.48	18.73	0.03	8.73e-17	2.14e-18
58323.48	12.26	nan	3.38e-14	nan
58330.42	12.11	nan	3.90e-14	nan
58330.42	12.01	nan	4.24e-14	nan
58336.46	12.30	nan	3.26e-14	nan
58336.46	18.68	0.03	9.10e-17	2.56e-18
58340.46	18.79	0.04	8.28e-17	2.82e-18
58340.46	12.01	nan	4.27e-14	nan
58343.50	18.79	0.03	8.25e-17	2.03e-18
58343.50	12.29	nan	3.29e-14	nan
58345.48	18.74	0.03	8.68e-17	2.02e-18
58345.48	12.26	nan	3.37e-14	nan
58346.44	18.76	0.03	8.49e-17	2.10e-18
58346.44	12.17	nan	3.67e-14	nan
58346.45	12.20	nan	3.56e-14	nan
58346.45	18.73	0.02	8.76e-17	1.97e-18
58347.44	12.25	nan	3.42e-14	nan
58347.44	18.75	0.03	8.56e-17	2.45e-18
58348.46	12.29	nan	3.30e-14	nan
58348.46	18.74	0.02	8.67e-17	1.87e-18
58349.50	18.75	0.02	8.55e-17	1.96e-18
58349.50	12.28	nan	3.32e-14	nan
58349.50	18.78	0.03	8.32e-17	1.96e-18
58349.50	12.27	nan	3.36e-14	nan
58352.51	12.30	nan	3.27e-14	nan
58352.51	18.72	0.02	8.80e-17	1.40e-18
58352.51	18.81	0.02	8.14e-17	1.52e-18
58352.51	12.33	nan	3.17e-14	nan
58353.44	18.75	0.03	8.59e-17	2.36e-18
58353.44	12.32	nan	3.19e-14	nan
58353.48	18.77	0.02	8.39e-17	1.77e-18
58353.48	12.31	nan	3.23e-14	nan
58354.44	18.76	0.05	8.46e-17	3.63e-18
58354.44	12.29	nan	3.28e-14	nan
58355.40	18.78	0.07	8.30e-17	5.13e-18
58355.40	12.28	nan	3.32e-14	nan
58355.40	12.25	nan	3.42e-14	nan
58355.40	18.76	0.05	8.49e-17	4.25e-18
58355.50	12.34	nan	3.15e-14	nan
58355.50	18.82	0.04	8.02e-17	3.06e-18
58356.38	18.86	0.08	7.74e-17	5.75e-18
58356.44	12.34	nan	3.14e-14	nan
58356.44	18.96	0.08	7.08e-17	5.20e-18
58357.40	18.82	0.06	8.05e-17	4.12e-18
58357.46	12.35	nan	3.10e-14	nan
58357.46	18.90	0.07	7.47e-17	4.77e-18
58357.48	18.78	0.06	8.30e-17	4.83e-18
58357.48	12.35	nan	3.12e-14	nan
58358.44	12.34	nan	3.15e-14	nan
58358.44	18.75	0.08	8.56e-17	6.34e-18
58358.44	12.34	nan	3.15e-14	nan
58358.44	18.72	0.08	8.78e-17	6.78e-18
58359.44	19.02	nan	6.69e-17	nan
58359.44	11.84	nan	4.97e-14	nan
58359.50	12.20	nan	3.58e-14	nan
58359.50	18.67	0.10	9.25e-17	8.19e-18
58363.48	12.32	nan	3.20e-14	nan
58363.48	18.73	0.06	8.72e-17	4.56e-18
58363.48	18.80	0.06	8.16e-17	4.34e-18
58363.48	12.33	nan	3.18e-14	nan
58364.50	18.85	0.04	7.81e-17	2.89e-18
58364.50	12.30	nan	3.25e-14	nan
58365.50	12.33	nan	3.18e-14	nan
58365.50	18.84	0.03	7.86e-17	2.12e-18
58366.50	12.35	nan	3.10e-14	nan
58366.50	18.74	0.02	8.68e-17	1.90e-18
58366.50	12.33	nan	3.16e-14	nan
58366.50	18.75	0.03	8.55e-17	2.11e-18
58368.44	18.77	0.03	8.43e-17	2.02e-18
58368.44	12.32	nan	3.20e-14	nan
58369.42	18.75	0.03	8.56e-17	2.09e-18
58369.42	12.30	nan	3.26e-14	nan
58369.43	18.78	0.03	8.35e-17	2.36e-18
58369.43	12.32	nan	3.20e-14	nan
58370.50	18.75	0.02	8.60e-17	1.90e-18
58370.50	12.35	nan	3.10e-14	nan
58371.44	18.73	0.02	8.71e-17	1.58e-18
58371.44	12.32	nan	3.19e-14	nan
58372.48	18.73	0.02	8.69e-17	1.59e-18
58372.48	12.34	nan	3.12e-14	nan
58372.49	18.71	0.02	8.92e-17	1.67e-18
58372.49	12.33	nan	3.16e-14	nan
58373.48	18.72	0.03	8.83e-17	2.45e-18
58373.48	12.33	nan	3.17e-14	nan
58374.50	18.70	0.03	8.97e-17	2.39e-18
58374.50	12.32	nan	3.18e-14	nan
58375.49	12.32	nan	3.18e-14	nan
58375.49	18.72	0.03	8.79e-17	2.20e-18
58375.49	18.74	0.03	8.67e-17	2.29e-18
58375.49	12.32	nan	3.19e-14	nan
58376.42	18.71	0.02	8.92e-17	1.63e-18
58376.42	12.34	nan	3.13e-14	nan
58377.43	18.78	0.03	8.33e-17	2.17e-18
58377.43	12.34	nan	3.13e-14	nan
58378.43	18.77	0.02	8.43e-17	1.82e-18
58378.43	12.35	nan	3.11e-14	nan
58378.43	18.74	0.02	8.61e-17	1.87e-18
58378.43	12.35	nan	3.11e-14	nan
58379.42	12.36	nan	3.09e-14	nan
58379.42	18.74	0.02	8.62e-17	1.86e-18
58380.42	18.71	0.03	8.89e-17	2.59e-18
58380.42	12.39	nan	3.01e-14	nan
58382.37	18.74	0.05	8.66e-17	4.27e-18
58382.37	12.34	nan	3.13e-14	nan
58382.37	12.30	nan	3.25e-14	nan
58382.37	18.75	0.04	8.60e-17	3.22e-18
58383.40	12.29	nan	3.28e-14	nan
58383.40	18.69	0.05	9.05e-17	3.87e-18
58384.53	12.29	nan	3.29e-14	nan
58384.53	18.72	0.06	8.84e-17	4.69e-18
58385.32	18.76	0.11	8.51e-17	8.24e-18
58385.32	12.25	nan	3.42e-14	nan
58385.32	18.87	0.12	7.68e-17	8.32e-18
58385.32	12.26	nan	3.39e-14	nan
58386.39	18.84	0.07	7.87e-17	5.32e-18
58386.40	12.32	nan	3.19e-14	nan
58386.40	18.78	0.08	8.34e-17	6.48e-18
58390.26	12.25	nan	3.41e-14	nan
58390.26	18.77	0.10	8.39e-17	8.10e-18
58397.43	12.33	nan	3.17e-14	nan
58397.43	18.82	0.03	8.00e-17	1.87e-18
58423.37	18.77	0.03	8.43e-17	2.39e-18
58424.29	18.78	0.11	8.33e-17	8.55e-18
58425.28	18.74	0.02	8.63e-17	1.86e-18
58425.30	12.30	nan	3.27e-14	nan
58425.30	18.66	0.04	9.31e-17	3.71e-18
58428.27	12.34	nan	3.13e-14	nan
58428.27	18.68	0.03	9.18e-17	2.82e-18
58429.32	18.88	0.03	7.62e-17	2.42e-18
58431.29	12.27	nan	3.33e-14	nan
58431.29	18.78	0.07	8.36e-17	5.39e-18
58431.35	18.77	0.08	8.39e-17	5.85e-18
58432.31	18.80	0.04	8.22e-17	2.67e-18
58434.31	18.76	0.07	8.47e-17	5.18e-18
58434.31	12.32	nan	3.19e-14	nan
58435.33	18.83	0.09	7.99e-17	6.70e-18
58436.30	18.77	0.09	8.42e-17	6.78e-18
58437.31	18.80	0.04	8.21e-17	3.10e-18
58437.31	12.36	nan	3.07e-14	nan
58438.28	18.72	0.12	8.77e-17	9.66e-18
58439.30	18.81	0.06	8.10e-17	4.16e-18
58447.35	12.32	nan	3.20e-14	nan
58447.35	18.73	0.10	8.74e-17	8.42e-18
58450.31	9.84	nan	3.13e-13	nan
58450.31	17.54	nan	2.60e-16	nan
58456.22	18.78	0.04	8.35e-17	3.29e-18
58456.22	12.34	nan	3.15e-14	nan
58456.25	18.79	0.04	8.27e-17	2.72e-18
58456.25	12.34	nan	3.15e-14	nan
58462.27	18.52	0.09	1.06e-16	8.48e-18
58462.27	11.76	nan	5.36e-14	nan
58462.27	18.81	0.12	8.09e-17	9.11e-18
58462.27	11.66	nan	5.88e-14	nan
58464.27	12.32	nan	3.21e-14	nan
58464.27	18.78	0.05	8.35e-17	3.86e-18
58466.23	18.52	0.15	1.06e-16	1.50e-17
58466.23	11.39	nan	7.55e-14	nan
58466.23	18.69	0.21	9.02e-17	1.71e-17
58466.23	11.36	nan	7.74e-14	nan
58468.25	18.76	0.05	8.51e-17	3.89e-18
58468.25	12.33	nan	3.17e-14	nan
58469.21	10.78	nan	1.32e-13	nan
58469.21	18.25	nan	1.36e-16	nan
58474.31	18.87	0.13	7.67e-17	9.04e-18
58474.31	12.31	nan	3.22e-14	nan
58474.31	12.29	nan	3.27e-14	nan
58474.31	18.67	0.11	9.22e-17	9.09e-18
58475.29	18.75	0.09	8.58e-17	6.75e-18
58475.29	12.27	nan	3.34e-14	nan
58481.31	12.24	nan	3.44e-14	nan
58481.31	18.77	0.06	8.39e-17	5.01e-18
58486.14	18.82	0.05	8.01e-17	3.93e-18
58486.14	12.33	nan	3.16e-14	nan
58487.23	18.72	0.05	8.81e-17	3.68e-18
58487.23	12.32	nan	3.21e-14	nan
58487.24	18.71	0.04	8.88e-17	3.00e-18
58487.24	12.32	nan	3.20e-14	nan
58488.12	18.62	0.07	9.63e-17	6.48e-18
58488.12	11.91	nan	4.66e-14	nan
58490.18	18.71	0.04	8.86e-17	3.18e-18
58490.18	12.34	nan	3.15e-14	nan
58491.22	12.31	nan	3.23e-14	nan
58491.22	18.74	0.05	8.66e-17	3.67e-18
58491.22	18.76	0.04	8.49e-17	3.31e-18
58491.22	12.31	nan	3.23e-14	nan
58492.17	11.33	nan	7.96e-14	nan
58492.17	18.47	0.15	1.11e-16	1.50e-17
58493.13	18.75	0.04	8.56e-17	3.34e-18
58493.13	12.28	nan	3.32e-14	nan
58503.13	12.32	nan	3.20e-14	nan
58503.13	18.75	0.07	8.53e-17	5.75e-18
58503.13	18.67	0.07	9.21e-17	6.13e-18
58503.13	12.33	nan	3.16e-14	nan
58505.11	18.72	0.08	8.84e-17	6.81e-18
58505.11	12.32	nan	3.20e-14	nan
58507.24	12.26	nan	3.38e-14	nan
58507.24	18.79	0.09	8.28e-17	6.96e-18
58507.24	18.71	0.10	8.87e-17	8.10e-18
58507.24	12.21	nan	3.53e-14	nan
58508.21	12.27	nan	3.34e-14	nan
58508.21	18.68	0.09	9.10e-17	7.15e-18
58510.23	11.30	nan	8.20e-14	nan
58510.23	18.90	nan	7.47e-17	nan
58514.11	18.73	0.03	8.74e-17	2.61e-18
58514.11	12.32	nan	3.19e-14	nan
58523.17	18.68	0.06	9.12e-17	5.36e-18
58523.17	12.10	nan	3.91e-14	nan
58540.12	18.76	0.05	8.48e-17	3.99e-18
58540.12	12.28	nan	3.30e-14	nan
58692.49	19.08	0.06	6.32e-17	3.34e-18
58692.49	12.18	nan	3.65e-14	nan
58693.50	19.01	0.06	6.72e-17	3.70e-18
58693.50	12.23	nan	3.48e-14	nan
58694.49	12.22	nan	3.51e-14	nan
58694.49	18.96	0.03	7.04e-17	2.22e-18
58695.48	19.09	0.04	6.24e-17	2.32e-18
58695.48	12.19	nan	3.61e-14	nan
58695.49	12.18	nan	3.65e-14	nan
58695.49	19.04	0.04	6.55e-17	2.58e-18
58696.48	12.23	nan	3.47e-14	nan
58696.48	19.12	0.04	6.08e-17	2.07e-18
58698.48	19.05	0.05	6.50e-17	3.12e-18
58698.48	12.06	nan	4.08e-14	nan
58701.48	10.53	nan	1.66e-13	nan
58701.48	19.19	nan	5.71e-17	nan
58704.50	18.98	0.05	6.94e-17	3.46e-18
58704.50	12.26	nan	3.38e-14	nan
58707.50	19.06	0.04	6.47e-17	2.54e-18
58707.50	12.26	nan	3.38e-14	nan
58708.50	18.98	0.04	6.95e-17	2.41e-18
58708.50	12.26	nan	3.39e-14	nan
58711.44	12.24	nan	3.45e-14	nan
58711.44	18.98	0.09	6.90e-17	5.64e-18
58713.50	12.26	nan	3.38e-14	nan
58713.50	18.97	0.09	7.02e-17	5.71e-18
58714.42	19.14	0.11	6.00e-17	5.99e-18
58714.42	12.21	nan	3.52e-14	nan
58714.44	12.23	nan	3.48e-14	nan
58714.44	19.07	0.09	6.38e-17	5.56e-18
58718.48	12.26	nan	3.39e-14	nan
58718.48	19.02	0.08	6.70e-17	4.84e-18
58727.51	12.22	nan	3.52e-14	nan
58727.51	18.99	0.06	6.89e-17	3.79e-18
58730.51	11.94	nan	4.52e-14	nan
58730.51	18.89	0.06	7.56e-17	4.35e-18
58732.48	18.96	0.04	7.05e-17	2.36e-18
58732.48	12.23	nan	3.46e-14	nan
58735.48	12.25	nan	3.41e-14	nan
58735.48	18.96	0.04	7.05e-17	2.59e-18
58738.40	12.24	nan	3.43e-14	nan
58738.40	19.00	0.08	6.83e-17	5.26e-18
58740.52	19.05	0.11	6.48e-17	6.69e-18
58740.52	18.93	0.10	7.26e-17	6.69e-18
58741.44	12.19	nan	3.59e-14	nan
58741.44	18.86	0.11	7.77e-17	7.88e-18
58748.38	18.81	0.03	8.10e-17	2.30e-18
58748.38	18.98	0.04	6.92e-17	2.33e-18
58748.44	18.88	0.05	7.60e-17	3.78e-18
58748.44	12.22	nan	3.51e-14	nan
58751.31	18.86	0.06	7.76e-17	4.45e-18
58757.52	12.21	nan	3.55e-14	nan
58757.52	18.91	0.05	7.40e-17	3.40e-18
58760.33	12.25	nan	3.41e-14	nan
58760.33	18.79	0.05	8.23e-17	3.48e-18
58761.42	18.84	0.03	7.88e-17	2.43e-18
58761.42	18.83	0.03	7.92e-17	2.18e-18
58763.36	12.25	nan	3.41e-14	nan
58763.36	18.76	0.04	8.46e-17	3.24e-18
58766.49	12.20	nan	3.58e-14	nan
58766.49	18.94	0.06	7.20e-17	4.14e-18
58769.36	12.24	nan	3.44e-14	nan
58769.36	18.62	0.11	9.68e-17	1.03e-17
58773.32	18.83	0.08	7.98e-17	5.53e-18
58773.32	18.78	0.07	8.31e-17	5.17e-18
58774.28	18.79	0.11	8.25e-17	8.36e-18
58774.28	18.90	0.10	7.47e-17	7.02e-18
58775.34	12.25	nan	3.42e-14	nan
58775.34	18.82	0.05	8.03e-17	3.98e-18
58775.34	19.00	0.05	6.81e-17	3.42e-18
58775.34	18.88	0.04	7.61e-17	2.78e-18
58776.32	18.82	0.06	8.03e-17	4.59e-18
58776.32	18.93	0.06	7.27e-17	4.02e-18
58777.45	18.83	0.06	7.98e-17	4.53e-18
58777.45	18.79	0.06	8.29e-17	4.71e-18
58778.38	12.25	nan	3.42e-14	nan
58778.38	18.78	0.06	8.32e-17	4.72e-18
58781.32	19.34	nan	4.99e-17	nan
58781.32	11.32	nan	8.00e-14	nan
58787.27	18.79	0.06	8.29e-17	4.92e-18
58787.27	18.95	0.07	7.12e-17	4.53e-18
58790.37	12.23	nan	3.46e-14	nan
58790.37	18.94	0.05	7.21e-17	3.52e-18
58793.36	18.84	0.05	7.85e-17	3.42e-18
58793.36	12.22	nan	3.50e-14	nan
58797.33	18.56	0.12	1.02e-16	1.13e-17
58797.33	12.22	nan	3.52e-14	nan
58800.31	12.23	nan	3.48e-14	nan
58800.31	18.92	0.19	7.34e-17	1.28e-17
58803.29	12.16	nan	3.71e-14	nan
58803.29	18.84	0.08	7.89e-17	5.60e-18
58803.34	18.81	0.07	8.08e-17	5.29e-18
58803.34	18.77	0.07	8.43e-17	5.13e-18
58811.30	18.73	0.05	8.72e-17	4.09e-18
58811.30	12.22	nan	3.50e-14	nan
58812.23	18.83	0.03	7.96e-17	2.25e-18
58812.29	12.21	nan	3.52e-14	nan
58812.29	18.77	0.04	8.39e-17	2.73e-18
58812.29	18.85	0.03	7.79e-17	2.20e-18
58814.19	18.67	0.20	9.21e-17	1.73e-17
58814.19	10.86	nan	1.23e-13	nan
58828.29	17.74	nan	2.18e-16	nan
58828.29	18.08	nan	1.59e-16	nan
58828.29	11.56	nan	6.41e-14	nan
58828.29	18.35	nan	1.24e-16	nan
58833.23	12.37	nan	3.06e-14	nan
58833.23	18.80	0.06	8.22e-17	4.68e-18
58850.13	19.00	0.18	6.81e-17	1.15e-17
58850.13	11.79	nan	5.19e-14	nan
58859.17	12.35	nan	3.12e-14	nan
58859.17	18.65	0.07	9.40e-17	5.98e-18
58860.20	18.70	0.07	8.97e-17	6.16e-18
58860.20	18.90	0.09	7.44e-17	5.91e-18
58860.20	18.92	0.10	7.35e-17	7.08e-18
58860.20	12.35	nan	3.10e-14	nan
58861.18	18.75	0.06	8.56e-17	4.73e-18
58861.18	18.78	0.06	8.32e-17	4.24e-18
58861.20	18.81	0.09	8.10e-17	6.42e-18
58861.20	12.36	nan	3.08e-14	nan
58862.20	12.34	nan	3.15e-14	nan
58862.20	18.80	0.05	8.18e-17	3.93e-18
58867.11	18.36	nan	1.23e-16	nan
58867.11	9.87	nan	3.05e-13	nan
58872.14	18.75	0.03	8.53e-17	2.70e-18
58872.14	12.38	nan	3.03e-14	nan
58872.14	12.36	nan	3.08e-14	nan
58873.16	12.35	nan	3.10e-14	nan
58873.16	18.71	0.03	8.86e-17	2.63e-18
