mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58315.44	19.28	0.05	9.51e-17	4.70e-18
58318.44	19.27	0.04	9.58e-17	3.91e-18
58321.44	19.31	0.05	9.22e-17	3.84e-18
58324.44	19.41	0.21	8.39e-17	1.65e-17
58330.46	19.70	nan	6.42e-17	nan
58335.48	19.14	0.08	1.07e-16	7.79e-18
58338.46	19.16	0.04	1.05e-16	3.42e-18
58342.43	19.28	0.03	9.47e-17	3.05e-18
58345.42	19.23	0.05	9.88e-17	4.30e-18
58345.42	19.19	0.05	1.03e-16	4.99e-18
58347.46	19.25	0.04	9.73e-17	3.30e-18
58348.46	19.40	0.04	8.45e-17	3.18e-18
58348.46	19.37	0.04	8.71e-17	3.58e-18
58349.44	19.26	0.03	9.63e-17	2.87e-18
58350.44	19.25	0.03	9.75e-17	2.84e-18
58351.45	19.36	0.03	8.80e-17	2.08e-18
58351.45	19.33	0.03	9.05e-17	2.40e-18
58352.44	19.37	0.04	8.75e-17	2.88e-18
58362.48	19.31	0.10	9.19e-17	8.10e-18
58362.48	19.30	0.09	9.28e-17	7.67e-18
58363.40	19.40	0.09	8.47e-17	6.74e-18
58363.40	12.40	nan	5.34e-14	nan
58363.40	19.31	0.10	9.22e-17	8.65e-18
58364.42	19.18	0.06	1.04e-16	6.06e-18
58365.41	19.18	0.04	1.04e-16	4.09e-18
58365.41	19.25	0.05	9.73e-17	4.11e-18
58366.43	19.23	0.03	9.92e-17	3.03e-18
58367.43	19.24	0.03	9.78e-17	2.69e-18
58368.40	19.19	0.03	1.03e-16	3.23e-18
58368.40	19.30	0.04	9.27e-17	3.34e-18
58369.46	19.20	0.04	1.02e-16	3.66e-18
58370.39	19.25	0.04	9.75e-17	3.19e-18
58371.38	19.29	0.03	9.41e-17	2.83e-18
58371.38	19.27	0.03	9.59e-17	3.04e-18
58372.41	19.31	0.07	9.23e-17	5.79e-18
58373.41	19.25	0.03	9.74e-17	3.06e-18
58374.40	19.18	0.04	1.04e-16	3.39e-18
58374.40	19.28	0.04	9.44e-17	3.36e-18
58375.44	19.23	0.04	9.94e-17	3.78e-18
58376.44	19.24	0.04	9.85e-17	3.55e-18
58377.38	19.23	0.04	9.95e-17	3.21e-18
58377.38	19.30	0.04	9.31e-17	3.10e-18
58378.35	19.20	0.03	1.02e-16	3.11e-18
58379.37	19.23	0.04	9.91e-17	3.20e-18
58380.41	19.30	0.03	9.32e-17	2.74e-18
58382.41	19.27	0.06	9.56e-17	4.85e-18
58383.42	19.28	0.10	9.51e-17	8.85e-18
58383.42	19.44	0.12	8.14e-17	8.89e-18
58384.38	19.40	0.15	8.47e-17	1.19e-17
58384.38	12.38	nan	5.46e-14	nan
58384.47	19.24	0.13	9.83e-17	1.14e-17
58385.38	19.89	nan	5.39e-17	nan
58389.35	19.23	0.11	9.93e-17	9.63e-18
58390.38	19.23	0.08	9.94e-17	7.00e-18
58390.38	12.45	nan	5.12e-14	nan
58397.34	19.25	0.03	9.77e-17	2.65e-18
58422.27	19.71	0.08	6.40e-17	4.72e-18
58425.20	19.59	0.08	7.13e-17	5.03e-18
58428.22	19.55	0.06	7.40e-17	4.31e-18
58431.23	19.40	0.09	8.46e-17	7.25e-18
58434.27	19.30	0.08	9.33e-17	7.15e-18
58436.22	12.47	nan	5.02e-14	nan
58436.22	19.28	0.07	9.43e-17	6.20e-18
58437.23	19.43	0.10	8.24e-17	7.23e-18
58440.24	17.14	nan	6.81e-16	nan
58450.27	16.94	nan	8.17e-16	nan
58472.17	19.23	0.13	9.91e-17	1.20e-17
58482.15	19.36	0.08	8.81e-17	6.61e-18
58487.15	19.36	0.05	8.83e-17	3.89e-18
58491.16	19.51	0.09	7.70e-17	6.25e-18
58491.16	19.45	0.07	8.10e-17	5.60e-18
58492.19	18.20	nan	2.55e-16	nan
58493.17	19.60	0.09	7.03e-17	5.91e-18
58494.15	19.42	0.06	8.34e-17	4.94e-18
58494.16	19.66	0.08	6.68e-17	5.02e-18
58495.16	19.82	nan	5.74e-17	nan
58503.17	19.91	nan	5.32e-17	nan
58503.19	19.25	0.19	9.72e-17	1.74e-17
58505.17	19.68	nan	6.55e-17	nan
58507.20	19.38	0.16	8.61e-17	1.28e-17
58507.20	20.21	nan	4.00e-17	nan
58509.17	19.57	0.19	7.22e-17	1.23e-17
58510.15	19.48	0.21	7.89e-17	1.50e-17
58511.13	19.61	0.11	7.00e-17	7.22e-18
58667.44	19.49	0.07	7.80e-17	4.88e-18
58670.46	19.44	0.04	8.17e-17	3.28e-18
58673.47	19.49	0.05	7.80e-17	3.95e-18
58682.48	19.41	0.16	8.44e-17	1.21e-17
58683.49	19.57	0.22	7.24e-17	1.44e-17
58684.44	20.02	nan	4.79e-17	nan
58690.46	19.17	0.06	1.05e-16	6.14e-18
58693.46	19.26	0.04	9.64e-17	3.18e-18
58696.43	19.25	0.03	9.76e-17	2.89e-18
58699.48	19.18	0.04	1.04e-16	4.11e-18
58703.50	19.23	0.05	9.95e-17	4.95e-18
58706.46	19.18	0.03	1.04e-16	3.12e-18
58709.46	19.12	0.09	1.09e-16	9.51e-18
58717.44	19.08	0.09	1.14e-16	9.23e-18
58723.46	19.06	0.03	1.16e-16	2.90e-18
58726.44	19.18	0.04	1.04e-16	3.43e-18
58730.47	19.09	0.04	1.13e-16	3.74e-18
58733.46	19.06	0.03	1.16e-16	3.36e-18
58746.48	19.19	0.08	1.03e-16	7.77e-18
58746.48	12.32	nan	5.74e-14	nan
58746.48	12.33	nan	5.70e-14	nan
58746.48	19.17	0.07	1.05e-16	7.16e-18
58747.32	19.05	0.07	1.17e-16	7.42e-18
58749.44	19.07	0.05	1.15e-16	5.21e-18
58749.44	12.31	nan	5.84e-14	nan
58749.44	19.07	0.05	1.15e-16	4.86e-18
58749.44	12.31	nan	5.82e-14	nan
58750.36	19.16	0.06	1.05e-16	6.15e-18
58756.40	19.04	0.05	1.18e-16	5.09e-18
58759.40	19.06	0.04	1.16e-16	4.30e-18
58765.44	19.17	0.05	1.05e-16	4.39e-18
58766.34	12.33	nan	5.72e-14	nan
58766.34	12.33	nan	5.72e-14	nan
58766.34	12.31	nan	5.81e-14	nan
58766.34	12.35	nan	5.61e-14	nan
58767.40	19.05	0.18	1.17e-16	1.93e-17
58767.40	12.32	nan	5.77e-14	nan
58767.40	19.24	0.18	9.86e-17	1.66e-17
58767.40	12.33	nan	5.71e-14	nan
58768.31	19.25	0.21	9.71e-17	1.85e-17
58772.25	19.10	0.19	1.11e-16	1.92e-17
58775.19	19.31	0.06	9.24e-17	4.92e-18
58785.32	19.44	0.08	8.20e-17	5.68e-18
58788.19	19.28	0.08	9.45e-17	6.72e-18
58791.27	19.50	0.07	7.75e-17	4.67e-18
58800.21	19.83	nan	5.69e-17	nan
58803.21	19.39	0.17	8.58e-17	1.31e-17
58811.19	19.62	0.11	6.94e-17	6.96e-18
58814.23	19.43	0.14	8.25e-17	1.09e-17
58820.17	19.62	nan	6.90e-17	nan
58831.15	19.42	0.15	8.36e-17	1.19e-17
58836.13	19.39	0.05	8.57e-17	3.97e-18
58846.09	19.50	0.07	7.75e-17	5.21e-18
58854.10	19.41	0.19	8.39e-17	1.51e-17
58859.09	19.50	0.18	7.71e-17	1.29e-17
58862.13	19.66	0.07	6.65e-17	4.53e-18
58867.13	19.72	nan	6.34e-17	nan
58872.15	19.60	0.08	7.06e-17	5.45e-18
58875.13	19.50	0.07	7.74e-17	4.77e-18
58881.14	19.48	0.19	7.84e-17	1.35e-17
58885.11	19.42	0.18	8.29e-17	1.34e-17
58892.15	19.33	0.11	9.03e-17	9.45e-18
58895.13	19.64	0.14	6.78e-17	8.84e-18
59038.48	19.39	0.18	8.53e-17	1.41e-17
59046.48	19.34	0.06	8.95e-17	4.70e-18
59047.47	19.49	0.04	7.82e-17	2.98e-18
59048.46	19.42	0.04	8.29e-17	2.81e-18
59054.46	19.46	0.04	8.00e-17	2.65e-18
59057.42	19.39	0.05	8.59e-17	4.02e-18
59062.42	19.41	0.14	8.39e-17	1.05e-17
59066.40	19.20	0.16	1.02e-16	1.55e-17
59073.42	19.29	0.07	9.38e-17	5.71e-18
59075.45	19.35	0.05	8.86e-17	3.68e-18
59075.45	12.36	nan	5.53e-14	nan
59075.45	19.28	0.03	9.51e-17	2.23e-18
59075.45	19.24	0.03	9.81e-17	2.62e-18
59075.45	12.37	nan	5.51e-14	nan
59076.46	19.28	0.05	9.46e-17	4.78e-18
59076.49	19.38	0.05	8.64e-17	3.99e-18
59077.43	19.37	0.04	8.74e-17	2.95e-18
59080.48	19.32	0.04	9.15e-17	3.54e-18
59082.41	19.41	0.05	8.38e-17	4.20e-18
59082.41	19.32	0.05	9.12e-17	3.98e-18
59082.41	12.17	nan	6.62e-14	nan
59082.41	19.33	0.04	9.07e-17	3.62e-18
59082.41	12.16	nan	6.67e-14	nan
59084.39	19.50	0.05	7.75e-17	3.42e-18
59084.41	12.35	nan	5.60e-14	nan
59084.41	12.36	nan	5.56e-14	nan
59084.41	12.36	nan	5.53e-14	nan
59084.41	12.35	nan	5.58e-14	nan
59085.43	19.52	0.04	7.62e-17	3.07e-18
59085.43	12.35	nan	5.58e-14	nan
59085.43	19.30	0.03	9.32e-17	2.98e-18
59085.43	19.34	0.04	8.97e-17	2.94e-18
59085.43	12.35	nan	5.60e-14	nan
59086.46	19.46	0.04	8.03e-17	2.60e-18
59089.38	19.48	0.06	7.86e-17	4.53e-18
59089.39	12.29	nan	5.90e-14	nan
59089.39	12.29	nan	5.92e-14	nan
59089.39	12.29	nan	5.91e-14	nan
59089.39	12.30	nan	5.86e-14	nan
59089.42	19.45	0.05	8.08e-17	3.72e-18
