mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58337.48	18.66	0.04	6.10e-17	1.99e-18
58342.39	18.73	0.06	5.73e-17	2.96e-18
58347.39	18.72	0.05	5.75e-17	2.50e-18
58351.34	18.72	0.05	5.76e-17	2.61e-18
58362.29	18.77	0.07	5.51e-17	3.50e-18
58366.29	18.85	0.09	5.13e-17	4.14e-18
58371.27	18.74	0.06	5.65e-17	3.29e-18
58375.31	18.74	0.04	5.69e-17	2.22e-18
58390.28	18.82	0.07	5.24e-17	3.16e-18
58397.32	18.68	0.04	5.98e-17	1.94e-18
58422.31	18.82	0.08	5.28e-17	3.84e-18
58426.29	18.78	0.09	5.46e-17	4.62e-18
58430.23	18.87	0.05	5.05e-17	2.32e-18
58434.25	18.76	0.10	5.56e-17	4.94e-18
58697.44	18.71	0.04	5.83e-17	1.94e-18
58701.42	18.64	0.04	6.24e-17	2.23e-18
58705.43	18.62	0.03	6.32e-17	1.85e-18
58713.42	18.56	0.11	6.70e-17	6.84e-18
58718.39	18.74	0.06	5.69e-17	3.01e-18
58725.30	18.64	0.08	6.23e-17	4.56e-18
58733.42	18.56	0.03	6.68e-17	2.09e-18
58738.40	18.60	0.06	6.47e-17	3.58e-18
58746.37	18.54	0.05	6.79e-17	3.25e-18
58747.38	18.66	0.05	6.09e-17	2.55e-18
58750.34	18.57	0.08	6.61e-17	4.62e-18
58757.36	18.54	0.05	6.79e-17	2.87e-18
58761.33	18.70	0.04	5.89e-17	2.42e-18
58765.33	18.62	0.05	6.35e-17	2.70e-18
59141.29	18.79	0.05	5.41e-17	2.34e-18
59173.26	18.84	0.04	5.18e-17	2.14e-18
59182.28	18.81	0.10	5.31e-17	4.66e-18
59187.25	18.84	0.09	5.18e-17	4.41e-18
59190.21	17.83	nan	1.31e-16	nan
59203.16	18.85	0.08	5.11e-17	3.59e-18
59211.19	18.88	0.10	4.99e-17	4.41e-18
59217.19	18.77	0.19	5.51e-17	9.78e-18
59223.20	18.75	0.07	5.62e-17	3.56e-18
59226.13	18.85	0.07	5.11e-17	3.21e-18
59229.15	18.84	0.09	5.15e-17	4.42e-18
59253.13	18.76	0.06	5.55e-17	3.06e-18
59395.46	18.54	nan	6.84e-17	nan
59417.40	19.02	0.17	4.38e-17	6.95e-18
59427.40	18.99	0.08	4.51e-17	3.13e-18
59435.44	19.12	0.05	4.00e-17	1.78e-18
59443.43	19.06	0.06	4.21e-17	2.24e-18
59450.47	18.82	0.18	5.25e-17	8.76e-18
59454.46	19.09	0.08	4.12e-17	2.95e-18
59459.40	19.05	0.05	4.24e-17	1.95e-18
59462.45	19.15	0.04	3.89e-17	1.51e-18
59465.39	18.95	0.05	4.65e-17	2.11e-18
59471.42	19.02	0.07	4.38e-17	2.69e-18
59476.39	19.12	0.11	4.01e-17	3.94e-18
59483.32	19.25	0.14	3.53e-17	4.62e-18
59486.33	18.80	0.10	5.37e-17	4.78e-18
59489.30	18.92	0.09	4.79e-17	4.03e-18
59496.34	18.84	0.07	5.17e-17	3.12e-18
59503.20	18.89	0.10	4.92e-17	4.63e-18
59512.25	19.05	0.07	4.26e-17	2.67e-18
59522.28	19.18	0.05	3.78e-17	1.74e-18
59525.18	19.02	0.08	4.37e-17	3.36e-18
59529.27	19.04	0.08	4.28e-17	3.32e-18
59532.15	19.06	0.09	4.20e-17	3.32e-18
59540.28	19.13	0.17	3.96e-17	6.08e-18
