mjd	ab_mag	ab_mag_err	flux_dens	flux_dens_err
58315.48	19.09	0.06	6.24e-17	3.45e-18
58321.48	19.10	0.03	6.19e-17	1.82e-18
58324.48	19.06	0.04	6.44e-17	2.09e-18
58327.42	18.44	nan	1.14e-16	nan
58330.44	19.09	0.13	6.26e-17	7.56e-18
58335.48	19.17	0.06	5.82e-17	3.31e-18
58338.50	19.13	0.04	6.01e-17	1.97e-18
58342.48	19.14	0.04	5.99e-17	2.33e-18
58346.42	19.11	0.03	6.17e-17	1.59e-18
58347.44	19.14	0.03	5.99e-17	1.55e-18
58348.44	19.11	0.03	6.16e-17	1.51e-18
58348.44	19.17	0.02	5.81e-17	1.19e-18
58349.46	19.19	0.03	5.73e-17	1.53e-18
58350.41	19.14	0.02	5.97e-17	1.11e-18
58351.50	19.17	0.02	5.84e-17	1.25e-18
58353.39	19.14	0.05	5.97e-17	2.95e-18
58353.39	19.17	0.05	5.82e-17	2.76e-18
58353.39	12.42	nan	2.93e-14	nan
58353.39	12.40	nan	2.96e-14	nan
58353.44	19.21	0.04	5.61e-17	1.97e-18
58353.48	19.15	0.02	5.91e-17	1.28e-18
58354.42	19.23	0.07	5.49e-17	3.38e-18
58354.44	19.03	0.06	6.64e-17	3.46e-18
58354.49	19.05	0.02	6.49e-17	1.42e-18
58354.49	19.11	0.02	6.16e-17	1.25e-18
58355.40	19.21	0.08	5.59e-17	4.18e-18
58355.48	19.09	0.06	6.23e-17	3.59e-18
58356.41	19.19	0.10	5.73e-17	5.49e-18
58356.41	12.43	nan	2.88e-14	nan
58356.41	12.43	nan	2.88e-14	nan
58356.42	19.18	0.10	5.78e-17	5.15e-18
58356.48	19.02	0.09	6.67e-17	5.25e-18
58357.42	19.14	0.09	5.96e-17	5.04e-18
58357.42	19.13	0.09	6.06e-17	5.01e-18
58357.46	19.24	0.10	5.43e-17	4.79e-18
58357.47	19.01	0.09	6.77e-17	5.58e-18
58358.43	19.68	nan	3.62e-17	nan
58362.40	19.11	0.06	6.17e-17	3.41e-18
58362.40	19.34	0.07	4.96e-17	3.27e-18
58362.41	19.26	0.06	5.34e-17	3.13e-18
58362.41	12.45	nan	2.84e-14	nan
58362.41	12.43	nan	2.88e-14	nan
58363.47	19.20	0.06	5.65e-17	3.31e-18
58364.38	19.21	0.05	5.59e-17	2.62e-18
58365.38	19.09	0.04	6.23e-17	2.16e-18
58365.39	19.10	0.04	6.21e-17	2.23e-18
58366.37	19.09	0.03	6.26e-17	1.90e-18
58367.37	19.12	0.03	6.07e-17	1.88e-18
58368.42	19.06	0.04	6.42e-17	2.07e-18
58368.42	19.11	0.03	6.13e-17	1.80e-18
58369.40	19.09	0.03	6.24e-17	1.95e-18
58370.43	19.07	0.03	6.38e-17	1.54e-18
