mjd,flux,fluxe,flux_rolling_mean,flux_rolling_rmsd
58381.23,8.34e-17,1.12e-17,8.306666666666667e-17,6.3484444444444445e-18
58387.21,7.38e-17,1.25e-17,8.210666666666667e-17,5.475888888888889e-18
58390.31,8.17e-17,1.12e-17,8.169666666666666e-17,5.153e-18
58426.15,7.84e-17,7.82e-18,8.213666666666666e-17,4.644333333333333e-18
58429.17,7.8e-17,3.28e-18,8.200666666666666e-17,4.722000000000001e-18
58432.17,7.85e-17,6.68e-18,8.191e-17,4.763111111111111e-18
58457.09,7.12e-17,8.13e-18,8.166e-17,4.7869999999999985e-18
58469.12,8.1e-17,1.16e-17,8.173666666666667e-17,4.758777777777777e-18
58607.47,9.25e-17,3.98e-18,8.147333333333333e-17,4.648999999999999e-18
58634.46,8.47e-17,2.33e-18,8.169666666666666e-17,4.383499999999998e-18
58637.46,8.1e-17,2.04e-18,8.130666666666666e-17,4.114888888888888e-18
58640.44,8.88e-17,3.02e-18,8.087000000000001e-17,4.137333333333333e-18
58646.42,7.4e-17,4.48e-18,8.147333333333333e-17,4.748666666666665e-18
58660.42,7.78e-17,8.69e-18,8.234333333333334e-17,5.2832222222222216e-18
58663.48,8.91e-17,8.39e-18,8.253333333333333e-17,5.057777777777776e-18
58666.46,8.82e-17,2.52e-18,8.244e-17,5.128111111111109e-18
58669.44,8.66e-17,2.34e-18,8.232666666666666e-17,5.193777777777776e-18
58672.42,8.03e-17,2.86e-18,8.250666666666667e-17,5.0127777777777774e-18
58690.3,8.03e-17,3.23e-18,8.287333333333334e-17,5.3777777777777774e-18
58693.32,7.84e-17,3.36e-18,8.278333333333332e-17,5.4467777777777776e-18
58699.43,7.94e-17,3.18e-18,8.285e-17,5.369944444444444e-18
58727.26,8.43e-17,3.35e-18,8.298666666666666e-17,5.292555555555554e-18
58732.3,8.1e-17,3.41e-18,8.292e-17,5.355611111111111e-18
58747.27,8.15e-17,6.03e-18,8.249333333333334e-17,5.778888888888888e-18
58754.25,8.08e-17,3.65e-18,8.193333333333333e-17,5.615499999999998e-18
58757.19,7.58e-17,3.02e-18,8.163e-17,5.717666666666665e-18
58769.19,1.01e-16,1.5e-17,8.204333333333334e-17,6.09472222222222e-18
58773.19,1.04e-16,1.44e-17,8.205333333333333e-17,6.0901111111111106e-18
58794.15,8.18e-17,1.21e-17,8.234e-17,5.900444444444443e-18
58797.13,7.59e-17,1.48e-17,8.262e-17,5.9501111111111105e-18
58801.18,8e-17,1.44e-17,8.230333333333333e-17,5.756333333333332e-18
58805.09,7.92e-17,1.2e-17,8.207666666666667e-17,5.585666666666666e-18
58834.09,9.27e-17,1.08e-17,8.174666666666666e-17,5.5892222222222205e-18
58987.46,7.57e-17,2.46e-18,8.150666666666667e-17,5.800277777777776e-18
58996.45,8e-17,2.69e-18,8.170166666666666e-17,5.8701666666666655e-18
58999.41,8.26e-17,3.57e-18,8.151166666666667e-17,6.029499999999998e-18
59002.44,6.92e-17,5.9e-18,8.155166666666668e-17,5.9556111111111095e-18
59017.32,6.82e-17,3.9e-18,8.1635e-17,6.088499999999998e-18
59023.34,7.57e-17,3.5e-18,8.182499999999999e-17,6.194833333333331e-18
59026.38,7.56e-17,3.09e-18,8.166833333333333e-17,6.337611111111108e-18
59030.36,9.34e-17,7.59e-18,8.178166666666667e-17,6.365388888888886e-18
59033.44,8.91e-17,1.02e-17,8.130833333333333e-17,6.878499999999997e-18
59039.35,8.26e-17,1.07e-17,8.081666666666666e-17,6.367166666666664e-18
59042.34,8.62e-17,5.27e-18,8.016666666666667e-17,5.70983333333333e-18
59045.44,7.96e-17,3.28e-18,8.035333333333334e-17,5.855166666666664e-18
59048.38,8.14e-17,1.96e-18,8.076e-17,5.823055555555553e-18
59054.44,7.67e-17,3.33e-18,8.107999999999999e-17,5.9821666666666646e-18
59057.39,7.31e-17,1.81e-18,8.163833333333333e-17,6.340722222222219e-18
59060.34,8.615e-17,6.0750000000000004e-18,8.148000000000001e-17,6.1528333333333305e-18
59063.42,7.27e-17,1.44e-17,8.186333333333333e-17,6.097055555555553e-18
59067.33,8.06e-17,1.07e-17,8.183333333333333e-17,6.1701111111111086e-18
59070.37,8.68e-17,4.92e-18,8.15e-17,6.4943888888888874e-18
59072.34,8.67e-17,4.05e-18,8.159000000000001e-17,6.467666666666664e-18
59076.29,7.68e-17,3.1e-18,8.207666666666666e-17,6.040999999999998e-18
59079.32,8.42e-17,2.86e-18,8.223333333333333e-17,5.926999999999999e-18
59082.29,6.16e-17,6.02e-18,8.282333333333333e-17,6.057555555555554e-18
59084.4,8.625e-17,4.1850000000000005e-18,8.263333333333334e-17,5.821222222222221e-18
59086.27,8.45e-17,3.33e-18,8.227333333333333e-17,5.742444444444443e-18
59088.32,8.74e-17,6.1599999999999996e-18,8.250000000000001e-17,5.879999999999998e-18
59089.32,8.81e-17,9.49e-18,8.234333333333334e-17,5.7457777777777765e-18
59089.34,8.96e-17,7.62e-18,8.252333333333333e-17,5.777999999999999e-18
59090.36,9.595e-17,9.79e-18,8.231666666666666e-17,6.034888888888888e-18
59098.23,8.795e-17,7.445e-18,8.263333333333334e-17,5.968111111111109e-18
59099.36,8.72e-17,1.18e-17,8.306666666666667e-17,5.7783888888888876e-18
59106.27,7.91e-17,9.39e-18,8.299333333333334e-17,5.654055555555554e-18
59108.27,7.26e-17,5.96e-18,8.341666666666667e-17,5.4387777777777765e-18
59109.23,7.19e-17,5.14e-18,8.345e-17,5.437611111111111e-18
59110.29,8.28e-17,1.12e-17,8.3435e-17,5.360555555555555e-18
59114.21,8.04e-17,2.975e-18,8.3105e-17,5.423944444444444e-18
59125.19,9.33e-17,1.05e-17,8.3315e-17,5.2504444444444446e-18
59125.22,8.77e-17,9.23e-18,8.317166666666667e-17,5.304055555555556e-18
59125.25,7.83e-17,8.82e-18,8.372833333333333e-17,4.741333333333334e-18
59128.19,8.94e-17,6.71e-18,8.349000000000001e-17,4.733166666666667e-18
59130.17,8.15e-17,2.94e-18,8.350666666666668e-17,4.729000000000001e-18
59131.19,8.5e-17,3.15e-18,8.328e-17,4.642166666666667e-18
59131.21,7.52e-17,2.32e-18,8.354666666666666e-17,4.885555555555555e-18
59134.15,8.62e-17,4.1e-18,8.382333333333334e-17,5.15361111111111e-18
59135.23,8.61e-17,3.97e-18,8.325333333333332e-17,4.8253333333333335e-18
59136.13,8.395e-17,3.58e-18,8.301e-17,4.710499999999999e-18
59137.23,8.54e-17,4.63e-18,8.2695e-17,4.718999999999999e-18
59137.26,8.16e-17,9.62e-18,8.279833333333333e-17,4.5929999999999986e-18
59138.2,8.635e-17,4.115e-18,8.336166666666666e-17,4.468666666666665e-18
59140.15,7.68e-17,2.35e-18,8.381166666666666e-17,4.172111111111109e-18
59140.16,8.31e-17,2.95e-18,8.317166666666668e-17,4.790666666666665e-18
59142.11,7.99e-17,3.3699999999999998e-18,8.3475e-17,4.907999999999997e-18
59143.19,7.83e-17,3.02e-18,8.264166666666667e-17,5.077888888888887e-18
59144.16,7.91e-17,1.35e-17,8.247166666666666e-17,4.960666666666666e-18
59150.16,8.5e-17,1.09e-17,8.289833333333334e-17,5.027555555555555e-18
59151.14,8.06e-17,1.17e-17,8.289499999999999e-17,5.015500000000001e-18
59151.15,9.61e-17,1.38e-17,8.304166666666666e-17,5.023222222222222e-18
59153.16,9.79e-17,1.37e-17,8.278166666666667e-17,5.173111111111112e-18
59155.15,7.885e-17,8.96e-18,8.2635e-17,5.2954444444444455e-18
59156.11,8.065e-17,4.78e-18,8.252166666666666e-17,5.229555555555556e-18
59158.15,7.775e-17,6.68e-18,8.213833333333334e-17,5.3760555555555566e-18
59165.16,8.22e-17,4.21e-18,8.208666666666667e-17,5.357611111111113e-18
59167.13,8.95e-17,4.93e-18,8.241333333333334e-17,5.696722222222223e-18
59168.1,8.54e-17,4.75e-18,8.274666666666668e-17,5.976166666666667e-18
59173.13,6.36e-17,6.16e-18,8.279166666666667e-17,6.0787222222222225e-18
59178.11,8.95e-17,9.06e-18,8.327500000000001e-17,6.176166666666667e-18
59182.13,6.83e-17,1.3e-17,8.338166666666667e-17,6.3193888888888895e-18
59184.15,8.26e-17,1.58e-17,8.361166666666668e-17,6.371166666666667e-18
59185.12,9.11e-17,1.3e-17,8.3665e-17,6.294055555555557e-18
59188.17,8.93e-17,9.72e-18,8.375166666666666e-17,6.186055555555557e-18
59339.43,8.59e-17,8.02e-18,8.366166666666666e-17,6.1416111111111114e-18
59342.47,7.72e-17,2.77e-18,8.341666666666668e-17,6.338833333333335e-18
59345.43,7.08e-17,5.45e-18,8.281666666666667e-17,5.999222222222223e-18
59348.44,8.28e-17,3.32e-18,8.24e-17,5.642555555555556e-18
59352.46,7.46e-17,3.67e-18,8.184166666666668e-17,6.1611111111111135e-18
